"Sitzungsland","Sitzungsort","Monat","Empfehlungsplattform","Landing-Page-URL","Durchschnittliche Sitzungsdauer","Seitenaufrufe pro Sitzung","Absprünge","Sitzungen, in denen Artikel zum Warenkorb hinzugefügt wurden","Sitzungen, bei denen der Checkout erreicht wurde","Sitzungen, bei denen der Checkout abgeschlossen wurde","Sitzungen"
"Germany","Nuremberg","2024-10-01","direct","https://www.whiskyquartier.de/pages/datenschutz",368,5,0,0,0,0,1
"Germany","Munich","2024-10-01","direct","https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie",237,7,0,1,1,0,1
"United Kingdom","London","2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Germany","Hausach","2024-10-01","direct","https://7bb991-55.myshopify.com/",0,1,1,0,0,0,1
"Germany","Burgthann","2024-10-01","direct","https://7bb991-55.myshopify.com/",327.55555555555554,1.8888888888888888,7,0,0,0,9
"Germany","Nuremberg","2024-10-01","direct","https://7bb991-55.myshopify.com/?_ab=0&_fd=0&_sc=1",579.6666666666666,4.333333333333333,1,0,0,0,3
"Canada",,"2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Ukraine","Kyiv","2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Germany","Nuremberg","2024-10-01","direct","https://www.whiskyquartier.de/",4999,14.666666666666666,2,2,1,0,6
"Germany","Nuremberg","2024-10-01","direct","https://www.whiskyquartier.de/password",776,9.5,0,0,0,0,2
"France",,"2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Germany","Nuremberg","2024-10-01","good-apps","https://www.whiskyquartier.de/products/suntory-hibiki-100th-anniversary-0-7l-kopie?offerId=7991&appName=GoodApps-AgeVerification18+",2203,20,0,0,0,0,1
"Canada","Montreal","2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Switzerland",,"2024-10-01","alphabet","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Ireland","Dublin","2024-10-01","direct","https://www.whiskyquartier.de/password",0,1,4,0,0,0,4
"Germany","Dachau","2024-11-01","direct","https://www.whiskyquartier.de/",24,2,0,0,0,0,1
"Germany","Böblingen","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",92,5,0,0,0,0,1
"Bulgaria","Varna","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie",76,5,0,0,0,0,1
"The Netherlands","Amsterdam","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/gold-double-cask-0-7l",0,1,1,0,0,0,1
"Canada",,"2024-11-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Germany","Neumarkt in der Oberpfalz","2024-11-01","direct","https://www.whiskyquartier.de/policies/legal-notice",0,1,1,0,0,0,1
"Germany","Ludwigshafen am Rhein","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHSyQHZB-fro4ILPKHV7AB4K45KlhJRUxGsA_e8ebQvPwIrLtNl7OxBiAkg_aem_QS1dQX7kD9ZVFMQV9udFgw",19,2,0,0,0,0,1
"Germany","Cologne","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0CMTEAAR0C3LjZJF5aIyd5AdjKdsnX9k7CQ1A_RlT5YKfOy7JxeXn-njwsp0qc7VM_aem_rMdWClT1r10lA_816Pj2qw",0,1,1,0,0,0,1
"Germany","Bochum","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHegpY7Yyt6svlCdiB5nKmKfD1jRxcDTvYnFvWw3LLyXq0u_RH7kRgg3O2w_aem_ud4KLCSSeAGv9V3Swfbmbw",20,2,0,0,0,0,1
"Finland","Helsinki","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHSaFPDF1lkN2nC608UgoA22EhO9nli4yyA9c4yTj7ssqWdrawbsTrSGSSA_aem_crGqpuUr-9iCQ6Y-hEMFMA",0,1,1,0,0,0,1
"Germany","Bamberg","2024-11-01","direct","https://www.whiskyquartier.de/policies/legal-notice",0,1,1,0,0,0,1
"Germany","Berlin","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Germany","Oldenburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHTd4L0DIcRrZHSsSaRbgzjA4qJoRXis1lyuyHejCvvOOzBobDoT1y7tsWQ_aem_AUkBgr6ENABPYJJNoLEYNA",0,1,1,0,0,0,1
"Germany","Mainhausen","2024-11-01","7bb991-55","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"South Korea","Gwanak-gu","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l",15,2,0,0,0,0,1
"Germany","Uffenheim","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHfnkewEhmLSH2UPSRgmBguxQdsENxODxNdMu6bCjyUV54PtEVarXg9zqfw_aem_CVO2QHPwdLARwMZF3hVPDg",0,1,1,0,0,0,1
"Portugal","Vila Nova de Famalicão","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/1824-gold-0-7l-kopie",30,3,0,0,0,0,1
