"Tag","Vertriebskanal","Bestellungen","Bruttoumsatz","Rabatte","Rückgaben","Nettoumsatz","Versandgebühren","Steuern","Gesamtumsatz"
"2024-11-14","CedCommerce eBay Integration",2,127,0,0,127,11.98,0,138.98
"2024-11-15","Online Store",1,33,0,0,33,5.49,0,38.49
"2024-11-19","CedCommerce eBay Integration",1,43,0,0,43,5.99,0,48.99
"2024-11-20","Online Store",1,375,0,0,375,5.49,0,380.49
"2024-11-23","CedCommerce eBay Integration",1,46,0,0,46,5.99,0,51.99
"2024-11-25","CedCommerce eBay Integration",1,190,0,0,190,11.98,0,201.98
"2024-12-03","Online Store",1,90,0,0,90,0,0,90
"2024-12-15","Online Store",1,43,0,0,43,5.49,0,48.49
"2024-12-24","Online Store",1,126,0,0,126,5.49,0,131.49
"2024-12-27","Online Store",1,129,0,0,129,5.49,0,134.49
"2024-12-30","Online Store",1,254,0,0,254,16.49,0,270.49
"2025-01-20","CedCommerce eBay Integration",1,47,0,0,47,5.99,0,52.99
"2025-01-22","CedCommerce eBay Integration",1,73.5,0,0,73.5,6.19,0,79.69
"2025-01-23","CedCommerce eBay Integration",1,95,0,0,95,6.19,0,101.19
"2025-01-27","CedCommerce eBay Integration",1,47,0,0,47,6.19,0,53.19
"2025-02-09","CedCommerce eBay Integration",1,69,0,0,69,6.19,0,75.19
"2025-02-17","Online Store",1,220,0,0,220,6.19,0,226.19
"2025-02-23","CedCommerce eBay Integration",1,39,0,0,39,6.19,0,45.19
"2025-02-24","CedCommerce eBay Integration",1,39,0,0,39,6.19,0,45.19
"2025-02-25","Online Store",2,2,0,0,2,0,0,2
"2025-02-26","Online Store",1,659,0,0,659,16.49,0,675.49
"2025-02-27","CedCommerce eBay Integration",1,290,0,0,290,6.19,0,296.19
"2025-03-06","Online Store",1,50,0,0,50,0,0,50
"2025-03-15","Online Store",1,165,0,0,165,10.49,0,175.49
"2025-03-16","Online Store",1,75,0,0,75,6.19,0,81.19
"2025-03-26","CedCommerce eBay Integration",2,78,0,0,78,12.38,0,90.38
"2025-03-28","Online Store",1,555,0,0,555,16.49,0,571.49
"2025-03-28","CedCommerce eBay Integration",1,78,0,0,78,12.38,0,90.38
"2025-03-29","CedCommerce eBay Integration",1,270,0,0,270,6.19,0,276.19
"2025-04-01","CedCommerce eBay Integration",1,40,0,0,40,6.19,0,46.19
"2025-04-03","Online Store",1,74.99,-12.95,0,62.04,0,0,62.04
"2025-04-04","Online Store",1,189,0,0,189,6.19,0,195.19
"2025-04-08","Online Store",2,263.97,0,0,263.97,22.68,0,286.65
"2025-05-12","Online Store",1,65,0,0,65,0,0,65
"2025-05-30","CedCommerce eBay Integration",1,104.5,0,0,104.5,6.19,0,110.69
"2025-06-16","Online Store",1,75,0,0,75,14.49,0,89.49
"2025-06-17","Online Store",1,75,0,0,75,6.19,0,81.19
"2025-06-22","Online Store",1,185,0,0,185,14.49,0,199.49
"2025-07-10","CedCommerce eBay Integration",1,191.4,0,0,191.4,24.76,0,216.16
"2025-07-10","Online Store",1,204,0,0,204,7.69,0,211.69
"2025-07-13","Online Store",1,78,0,0,78,6.19,0,84.19
"2025-07-18","Online Store",1,68,0,0,68,6.19,0,74.19
"2025-08-08","CedCommerce eBay Integration",1,99,0,0,99,12.38,0,111.38
"2025-08-17","Online Store",1,78,0,0,78,6.19,0,84.19
"2025-08-18","Online Store",1,39,0,0,39,6.19,0,45.19
"2025-08-18","CedCommerce eBay Integration",1,60.5,0,0,60.5,6.19,0,66.69
"2025-08-19","CedCommerce eBay Integration",2,203.5,0,0,203.5,18.57,0,222.07
"2025-08-21","CedCommerce eBay Integration",1,214.47,0,0,214.47,18.57,0,233.04
"2025-08-24","CedCommerce eBay Integration",1,41.8,0,0,41.8,6.19,0,47.99
