"sess_ctry","sess_loc","datum","sug_platform","session_duration","pages_per_sess","jump_offs","sess_cart_add","sess_co","sess_co_done","sessions","land_pg","country","state","county","name","lat","lng"
Germany,Nuremberg,"2024-10-01",direct,368.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/pages/datenschutz,,,,,,
Germany,Munich,"2024-10-01",direct,237.0,7.0,0,1,1,0,1,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l,DE,Bavaria,"",Munich,48.13743,11.57549
Germany,Burgthann,"2024-10-01",direct,327.55554,1.8888888,7,0,0,0,9,https://7bb991-55.myshopify.com/,DE,Bavaria,Nürnberger Land,Burgthann,49.35202,11.31154
Germany,Nuremberg,"2024-10-01",direct,579.6667,4.3333335,1,0,0,0,3,https://7bb991-55.myshopify.com/?_ab=0&_fd=0&_sc=1,,,,,,
Germany,Nuremberg,"2024-10-01",direct,4999.0,14.666667,2,2,1,0,6,https://www.whiskyquartier.de/,,,,,,
Germany,Nuremberg,"2024-10-01",direct,776.0,9.5,0,0,0,0,2,https://www.whiskyquartier.de/password,,,,,,
Germany,Nuremberg,"2024-10-01",good-apps,2203.0,20.0,0,0,0,0,1,https://www.whiskyquartier.de/products/suntory-hibiki-100th-anniv,,,,,,
Germany,Dachau,"2024-11-01",direct,24.0,2.0,0,0,0,0,1,https://www.whiskyquartier.de/,DE,Bavaria,Landkreis Dachau,Dachau,48.26,11.43402
Germany,Böblingen,"2024-11-01",whiskybase,92.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/products/harmony-collection-green-m,DE,Baden-Württemberg,Landkreis Böblingen,Böblingen,48.68212,9.01171
Germany,Neumarkt in der Oberpfalz,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/policies/legal-notice,DE,Bavaria,Landkreis Neumarkt in der Oberpfalz,Neumarkt in der Oberpfalz,49.28028,11.46278
Germany,Ludwigshafen am Rhein,"2024-11-01",meta,19.0,2.0,0,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGD,DE,Rhineland-Palatinate,"",Ludwigshafen am Rhein,49.48121,8.44641
Germany,Cologne,"2024-11-01",meta,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0CMTEAAR0C3LjZJ,US,Minnesota,Carver County,Cologne,44.77163,-93.78135
Germany,Cologne,"2024-11-01",meta,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0CMTEAAR0C3LjZJ,IT,Lombardy,Brescia,Cologne,45.57862,9.9418
Germany,Bochum,"2024-11-01",meta,20.0,2.0,0,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGD,ZA,Limpopo,Capricorn District Municipality,Bochum,-23.28609,29.13964
Germany,Bochum,"2024-11-01",meta,20.0,2.0,0,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGD,DE,North Rhine-Westphalia,"",Bochum,51.48165,7.21648
Germany,Bamberg,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/policies/legal-notice,US,South Carolina,Bamberg County,Bamberg,33.2971,-81.03482
Germany,Bamberg,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/policies/legal-notice,DE,Bavaria,"",Bamberg,49.89873,10.90067
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,Wisconsin,Green Lake County,Berlin,43.96804,-88.94345
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,New Hampshire,Coos County,Berlin,44.46867,-71.18508
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,Massachusetts,Worcester County,Berlin,42.3812,-71.63701
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,Pennsylvania,Somerset County,Berlin,39.92064,-78.9578
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,New Jersey,Camden County,Berlin,39.79123,-74.92905
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,US,Maryland,Worcester County,Berlin,38.32262,-75.21769
Germany,Berlin,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,DE,"","",Berlin,52.52437,13.41053
Germany,Mainhausen,"2024-11-01","7bb991-55",0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,,,,,,
