"sess_ctry","sess_loc","datum","sug_platform","session_duration","pages_per_sess","jump_offs","sess_cart_add","sess_co","sess_co_done","sessions","land_pg","country","state","county","name","lat","lng"
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,US,California,Tulare County,London,36.47606,-119.44318
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,US,Ohio,Madison County,London,39.88645,-83.44825
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,US,Kentucky,Laurel County,London,37.12898,-84.08326
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,US,Arkansas,Pope County,London,35.32897,-93.25296
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,GB,England,"",London,51.50853,-0.12574
United Kingdom,London,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,CA,Ontario,London,London,42.98339,-81.23304
Canada,"","2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,IT,Piemont,Torino,"",44.93645,7.54015
Ukraine,Kyiv,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,UA,"","",Kyiv,50.45466,30.5238
France,"","2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,IT,Piemont,Torino,"",44.93645,7.54015
Canada,Montreal,"2024-10-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,,,,,,
Switzerland,"","2024-10-01",alphabet,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/password,IT,Piemont,Torino,"",44.93645,7.54015
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,California,Alameda County,Dublin,37.70215,-121.93579
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,Pennsylvania,Bucks County,Dublin,40.37177,-75.20156
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,Ohio,Franklin County,Dublin,40.09923,-83.11408
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,New Hampshire,Cheshire County,Dublin,42.90758,-72.06258
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,Virginia,Pulaski County,Dublin,37.10568,-80.68534
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,Texas,Erath County,Dublin,32.08514,-98.34199
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,US,Georgia,Laurens County,Dublin,32.54044,-82.90375
Ireland,Dublin,"2024-10-01",direct,0.0,1.0,4,0,0,0,4,https://www.whiskyquartier.de/password,IE,"",County Dublin,Dublin,53.33306,-6.24889
Bulgaria,Varna,"2024-11-01",whiskybase,76.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l,RU,Chelyabinsk Oblast,Varnensky District,Varna,53.38194,60.97472
Bulgaria,Varna,"2024-11-01",whiskybase,76.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l,RS,Central Serbia,Macva Administrative District,Varna,44.67914,19.6515
Bulgaria,Varna,"2024-11-01",whiskybase,76.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l,IT,Trentino-Alto Adige/Südtirol,South Tyrol,Varna,46.73901,11.63749
Bulgaria,Varna,"2024-11-01",whiskybase,76.0,5.0,0,0,0,0,1,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l,BG,"",Varna,Varna,43.21667,27.91667
The Netherlands,Amsterdam,"2024-11-01",whiskybase,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/products/gold-double-cask-0-7l,US,New York,Montgomery County,Amsterdam,42.93869,-74.18819
The Netherlands,Amsterdam,"2024-11-01",whiskybase,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/products/gold-double-cask-0-7l,NL,North Holland,"",Amsterdam,52.37403,4.88969
Canada,"","2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/,IT,Piemont,Torino,"",44.93645,7.54015
Finland,Helsinki,"2024-11-01",meta,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGD,FI,"",Uusimaa,Helsinki,60.16952,24.93545
South Korea,Gwanak-gu,"2024-11-01",whiskybase,15.0,2.0,0,0,0,0,1,https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l,,,,,,
Croatia,Sisak,"2024-11-01",direct,0.0,1.0,1,0,0,0,1,https://www.whiskyquartier.de/collections/neu-im-shop,HR,"",Sisak-Moslavina County,Sisak,45.46611,16.37833
The Netherlands,Purmerend,"2024-11-01",direct,11.833333,1.1666666,5,0,0,0,6,https://www.whiskyquartier.de/products/classic-cut-2020-0-7l,NL,North Holland,"",Purmerend,52.505,4.95972
