brand,date,price
acer,2019-10-01,26796.49
acer,2019-10-02,27199.86
acer,2019-10-03,19057.68
acer,2019-10-04,27836.97
acer,2019-10-05,23464.5
acer,2019-10-06,22908.66
acer,2019-10-07,14381.96
acer,2019-10-08,30724.9
acer,2019-10-09,33526.23
acer,2019-10-10,19796.11
acer,2019-10-11,24531.02
acer,2019-10-12,33176.07
acer,2019-10-13,35174.909999999996
acer,2019-10-14,28194.03
acer,2019-10-15,23559.55
acer,2019-10-16,31431.35
acer,2019-10-17,28698.6
acer,2019-10-18,27487.65
acer,2019-10-19,37081.46
acer,2019-10-20,18202.27
acer,2019-10-21,35446.44
acer,2019-10-22,27455.86
acer,2019-10-23,27667.65
acer,2019-10-24,16788.420000000002
acer,2019-10-25,33797.79
acer,2019-10-26,28040.26
acer,2019-10-27,24894.55
acer,2019-10-28,21463.11
acer,2019-10-29,21616.58
acer,2019-10-30,26114.99
acer,2019-10-31,26818.86
aces,2019-10-01,891.3
aces,2019-10-02,2353.12
aces,2019-10-03,570.52
aces,2019-10-04,641.56
aces,2019-10-05,410.13
aces,2019-10-06,2941.95
aces,2019-10-07,410.13
aces,2019-10-08,1961.3
aces,2019-10-09,2211.04
aces,2019-10-10,2442.47
aces,2019-10-11,801.9499999999999
aces,2019-10-12,2144.01
aces,2019-10-13,1573.49
aces,2019-10-14,1314.02
aces,2019-10-15,2072.97
aces,2019-10-16,2621.17
aces,2019-10-17,1887.4
aces,2019-10-18,410.13
aces,2019-10-19,3117.79
aces,2019-10-20,3022.72
aces,2019-10-21,496.62
aces,2019-10-22,2707.66
aces,2019-10-23,345.96
aces,2019-10-24,1595.81
aces,2019-10-25,2470.51
aces,2019-10-26,259.46999999999997
aces,2019-10-27,1079.73
aces,2019-10-28,2441.25
aces,2019-10-29,3611.55
aces,2019-10-30,1534.5
aces,2019-10-31,2492.83
acme,2019-10-01,8265.53
acme,2019-10-02,13449.17
acme,2019-10-03,11626.78
acme,2019-10-04,8516.42
acme,2019-10-05,11263.92
acme,2019-10-06,13585.58
acme,2019-10-07,10594.13
acme,2019-10-08,11259.75
acme,2019-10-09,12505.82
acme,2019-10-10,9924.64
acme,2019-10-11,13980.56
acme,2019-10-12,11208.1
acme,2019-10-13,12071.53
acme,2019-10-14,13593.87
acme,2019-10-15,13141.15
acme,2019-10-16,18391.31
acme,2019-10-17,17321.55
acme,2019-10-18,12565.83
acme,2019-10-19,12319.33
acme,2019-10-20,14162.59
acme,2019-10-21,10215.75
acme,2019-10-22,8082.72
acme,2019-10-23,8019.14
acme,2019-10-24,9999.44
acme,2019-10-25,9719.58
acme,2019-10-26,11181.07
acme,2019-10-27,13572.17
acme,2019-10-28,9139.25
acme,2019-10-29,8201.79
acme,2019-10-30,6331.11
acme,2019-10-31,9704.53
acqua,2019-10-03,2.96
acqua,2019-10-04,2.96
acqua,2019-10-05,26.64
acqua,2019-10-06,32.56
acqua,2019-10-07,11.84
acqua,2019-10-08,29.6
acqua,2019-10-09,26.64
acqua,2019-10-10,14.8
acqua,2019-10-11,2.96
acqua,2019-10-12,23.68
acqua,2019-10-13,17.759999999999998
acqua,2019-10-14,5.92
acqua,2019-10-15,20.72
acqua,2019-10-16,84.6
acqua,2019-10-17,29.6
acqua,2019-10-18,20.72
acqua,2019-10-19,20.72
acqua,2019-10-20,47.36
acqua,2019-10-21,35.519999999999996
acqua,2019-10-22,11.84
acqua,2019-10-23,20.72
acqua,2019-10-24,8.879999999999999
acqua,2019-10-25,29.44
acqua,2019-10-26,7.43
acqua,2019-10-27,7.43
acqua,2019-10-29,14.86
acv,2019-10-02,128.7
acv,2019-10-03,257.4
acv,2019-10-04,707.8499999999999
acv,2019-10-05,193.05
acv,2019-10-06,514.8
acv,2019-10-08,193.05
