date,event_type,count
2019-10-01,cart,14024
2019-10-01,purchase,11278
2019-10-01,view,439438
2019-10-02,cart,14505
2019-10-02,purchase,11569
2019-10-02,view,435389
2019-10-03,cart,16266
2019-10-03,purchase,11518
2019-10-03,view,423295
2019-10-04,cart,32263
2019-10-04,purchase,15478
2019-10-04,view,505807
2019-10-05,cart,26161
2019-10-05,purchase,13262
2019-10-05,view,463413
2019-10-06,cart,24456
2019-10-06,purchase,12595
2019-10-06,view,463330
2019-10-07,cart,14786
2019-10-07,purchase,11901
2019-10-07,view,418902
2019-10-08,cart,14862
2019-10-08,purchase,12293
2019-10-08,view,430679
2019-10-09,cart,14814
2019-10-09,purchase,12285
2019-10-09,view,437982
2019-10-10,cart,15654
2019-10-10,purchase,12174
2019-10-10,view,444848
2019-10-11,cart,17452
2019-10-11,purchase,13675
2019-10-11,view,484473
2019-10-12,cart,16495
2019-10-12,purchase,13001
2019-10-12,view,477701
2019-10-13,cart,19206
2019-10-13,purchase,14680
2019-10-13,view,520417
2019-10-14,cart,29828
2019-10-14,purchase,16930
2019-10-14,view,523255
2019-10-15,cart,33295
2019-10-15,purchase,15615
2019-10-15,view,548138
2019-10-16,cart,30687
2019-10-16,purchase,18634
2019-10-16,view,544924
2019-10-17,cart,27680
2019-10-17,purchase,16527
2019-10-17,view,508331
2019-10-18,cart,27447
2019-10-18,purchase,14922
2019-10-18,view,510170
2019-10-19,cart,27114
2019-10-19,purchase,14032
2019-10-19,view,518959
2019-10-20,cart,27284
2019-10-20,purchase,14020
2019-10-20,view,537621
2019-10-21,cart,25076
2019-10-21,purchase,14314
2019-10-21,view,487048
2019-10-22,cart,25161
2019-10-22,purchase,14482
2019-10-22,view,487742
2019-10-23,cart,24699
2019-10-23,purchase,14007
2019-10-23,view,476561
2019-10-24,cart,24483
2019-10-24,purchase,13808
2019-10-24,view,469873
2019-10-25,cart,25195
2019-10-25,purchase,13488
2019-10-25,view,491982
2019-10-26,cart,23646
2019-10-26,purchase,13108
2019-10-26,view,480632
2019-10-27,cart,23472
2019-10-27,purchase,13509
2019-10-27,view,496318
2019-10-28,cart,14919
2019-10-28,purchase,12135
2019-10-28,view,434726
2019-10-29,cart,14404
2019-10-29,purchase,11665
2019-10-29,view,425151
2019-10-30,cart,14078
2019-10-30,purchase,11879
2019-10-30,view,424033
2019-10-31,cart,13934
2019-10-31,purchase,11577
2019-10-31,view,434103
2019-11-01,cart,15241
2019-11-01,purchase,12762
2019-11-01,view,507369
2019-11-02,cart,15542
2019-11-02,purchase,12017
2019-11-02,view,537065
2019-11-03,cart,16250
2019-11-03,purchase,12560
2019-11-03,view,550431
2019-11-04,cart,17185
2019-11-04,purchase,14381
2019-11-04,view,609159
2019-11-05,cart,15224
2019-11-05,purchase,12914
2019-11-05,view,564920
2019-11-06,cart,15709
2019-11-06,purchase,13399
2019-11-06,view,560922
2019-11-07,cart,15517
2019-11-07,purchase,12874
2019-11-07,view,588852
2019-11-08,cart,37502
2019-11-08,purchase,14358
2019-11-08,view,625416
2019-11-09,cart,33233
2019-11-09,purchase,12539
2019-11-09,view,618966
2019-11-10,cart,33136
2019-11-10,purchase,12233
2019-11-10,view,641483
2019-11-11,cart,34767
2019-11-11,purchase,13293
2019-11-11,view,649612
2019-11-12,cart,33296
2019-11-12,purchase,12518
2019-11-12,view,649096
2019-11-13,cart,35626
2019-11-13,purchase,12822
2019-11-13,view,674114
2019-11-14,cart,91733
2019-11-14,purchase,12722
2019-11-14,view,1047870
2019-11-15,cart,243222
2019-11-15,view,1854033
2019-11-16,cart,194950
2019-11-16,purchase,35791
2019-11-16,view,1855277
2019-11-17,cart,193441
2019-11-17,purchase,87923
2019-11-17,view,1712666
2019-11-18,cart,41187
2019-11-18,purchase,16128
2019-11-18,view,665910
2019-11-19,cart,35521
2019-11-19,purchase,14164
2019-11-19,view,569019
2019-11-20,cart,34274
2019-11-20,purchase,13717
2019-11-20,view,545347
2019-11-21,cart,33832
2019-11-21,purchase,13381
2019-11-21,view,524880
2019-11-22,cart,33441
2019-11-22,purchase,13249
2019-11-22,view,511444
2019-11-23,cart,32172
2019-11-23,purchase,12596
2019-11-23,view,531863
2019-11-24,cart,32974
2019-11-24,purchase,12972
2019-11-24,view,542547
2019-11-25,cart,33051
2019-11-25,purchase,13343
2019-11-25,view,526334
2019-11-26,cart,34602
2019-11-26,purchase,13379
2019-11-26,view,531682
2019-11-27,cart,35298
2019-11-27,purchase,13701
2019-11-27,view,537443
2019-11-28,cart,35886
2019-11-28,purchase,13896
2019-11-28,view,563053
2019-11-29,cart,48529
2019-11-29,purchase,18771
2019-11-29,view,665117
2019-11-30,cart,41611
2019-11-30,purchase,16116
2019-11-30,view,611732
2019-12-01,cart,6095
2019-12-01,purchase,2109
2019-12-01,view,168118
2019-12-02,cart,5795
2019-12-02,purchase,2106
2019-12-02,view,159547
2019-12-03,cart,5045
2019-12-03,purchase,1816
2019-12-03,view,156745
2019-12-04,cart,5030
2019-12-04,purchase,1941
2019-12-04,view,150746
2019-12-05,cart,5188
2019-12-05,purchase,1950
2019-12-05,view,160139
2019-12-06,cart,5554
2019-12-06,purchase,1904
2019-12-06,view,166375
2019-12-07,cart,5546
2019-12-07,purchase,1787
2019-12-07,view,171931
2019-12-08,cart,5254
2019-12-08,purchase,1720
2019-12-08,view,174874
2019-12-09,cart,5574
2019-12-09,purchase,1923
2019-12-09,view,163537
2019-12-10,cart,5555
2019-12-10,purchase,1876
2019-12-10,view,165781
2019-12-11,cart,5672
2019-12-11,purchase,1866
2019-12-11,view,162642
2019-12-12,cart,5589
2019-12-12,purchase,1851
2019-12-12,view,163775
2019-12-13,cart,5661
2019-12-13,purchase,1871
2019-12-13,view,159506
2019-12-14,cart,5548
2019-12-14,purchase,1807
2019-12-14,view,171054
2019-12-15,cart,7565
2019-12-15,purchase,2549
2019-12-15,view,209142
2019-12-16,cart,10873
2019-12-16,purchase,3990
2019-12-16,view,216097
2020-01-01,cart,3982
2020-01-01,purchase,237
2020-01-01,view,141007
2020-01-02,cart,4849
2020-01-02,view,158022
2020-01-03,cart,6265
2020-01-03,purchase,1729
2020-01-03,view,170444
2020-01-04,cart,5284
2020-01-04,purchase,2075
2020-01-04,view,169047
2020-01-05,cart,5011
2020-01-05,purchase,1898
2020-01-05,view,166781
2020-01-06,cart,4957
2020-01-06,purchase,1947
2020-01-06,view,158946
2020-01-07,cart,5097
2020-01-07,purchase,1885
2020-01-07,view,162275
2020-01-08,cart,4928
2020-01-08,purchase,1871
2020-01-08,view,153235
2020-01-09,cart,5005
2020-01-09,purchase,1882
2020-01-09,view,153905
2020-01-10,cart,5026
2020-01-10,purchase,1860
2020-01-10,view,154265
2020-01-11,cart,4834
2020-01-11,purchase,1876
2020-01-11,view,156780
2020-01-12,cart,5113
2020-01-12,purchase,1784
2020-01-12,view,158611
2020-01-13,cart,4389
2020-01-13,purchase,1754
2020-01-13,view,155210
2020-01-14,cart,4834
2020-01-14,purchase,1871
2020-01-14,view,157407
2020-01-15,cart,4976
2020-01-15,purchase,1969
2020-01-15,view,152034
2020-01-16,cart,5718
2020-01-16,purchase,2161
2020-01-16,view,175030
2020-01-17,cart,7532
2020-01-17,purchase,2648
2020-01-17,view,181907
2020-01-18,cart,7178
2020-01-18,purchase,2356
2020-01-18,view,192268
2020-01-19,cart,7060
2020-01-19,purchase,2398
2020-01-19,view,195169
2020-01-20,cart,6222
2020-01-20,purchase,2353
2020-01-20,view,166802
2020-01-21,cart,6047
2020-01-21,purchase,2175
2020-01-21,view,167565
2020-01-22,cart,5669
2020-01-22,purchase,2158
2020-01-22,view,153321
2020-01-23,cart,6019
2020-01-23,purchase,2315
2020-01-23,view,165665
2020-01-24,cart,5150
2020-01-24,purchase,2028
2020-01-24,view,156848
2020-01-25,cart,4964
2020-01-25,purchase,1842
