date,event_type,count
2019-10-01,cart,14024
2019-10-01,purchase,11278
2019-10-01,view,439438
2019-10-02,cart,14505
2019-10-02,purchase,11569
2019-10-02,view,435389
2019-10-03,cart,16266
2019-10-03,purchase,11518
2019-10-03,view,423295
2019-10-04,cart,32263
2019-10-04,purchase,15478
2019-10-04,view,505807
2019-10-05,cart,26161
2019-10-05,purchase,13262
2019-10-05,view,463413
2019-10-06,cart,24456
2019-10-06,purchase,12595
2019-10-06,view,463330
2019-10-07,cart,14786
2019-10-07,purchase,11901
2019-10-07,view,418902
2019-10-08,cart,14862
2019-10-08,purchase,12293
2019-10-08,view,430679
2019-10-09,cart,14814
2019-10-09,purchase,12285
2019-10-09,view,437982
2019-10-10,cart,15654
2019-10-10,purchase,12174
2019-10-10,view,444848
2019-10-11,cart,17452
2019-10-11,purchase,13675
2019-10-11,view,484473
2019-10-12,cart,16495
2019-10-12,purchase,13001
2019-10-12,view,477701
2019-10-13,cart,19206
2019-10-13,purchase,14680
2019-10-13,view,520417
2019-10-14,cart,29828
2019-10-14,purchase,16930
2019-10-14,view,523255
2019-10-15,cart,33295
2019-10-15,purchase,15615
2019-10-15,view,548138
2019-10-16,cart,30687
2019-10-16,purchase,18634
2019-10-16,view,544924
2019-10-17,cart,27680
2019-10-17,purchase,16527
2019-10-17,view,508331
2019-10-18,cart,27447
2019-10-18,purchase,14922
2019-10-18,view,510170
2019-10-19,cart,27114
2019-10-19,purchase,14032
2019-10-19,view,518959
2019-10-20,cart,27284
2019-10-20,purchase,14020
2019-10-20,view,537621
2019-10-21,cart,25076
2019-10-21,purchase,14314
2019-10-21,view,487048
2019-10-22,cart,25161
2019-10-22,purchase,14482
2019-10-22,view,487742
2019-10-23,cart,24699
2019-10-23,purchase,14007
2019-10-23,view,476561
2019-10-24,cart,24483
2019-10-24,purchase,13808
2019-10-24,view,469873
2019-10-25,cart,25195
2019-10-25,purchase,13488
2019-10-25,view,491982
2019-10-26,cart,23646
2019-10-26,purchase,13108
2019-10-26,view,480632
2019-10-27,cart,23472
2019-10-27,purchase,13509
2019-10-27,view,496318
2019-10-28,cart,14919
2019-10-28,purchase,12135
2019-10-28,view,434726
2019-10-29,cart,14404
2019-10-29,purchase,11665
2019-10-29,view,425151
2019-10-30,cart,14078
2019-10-30,purchase,11879
2019-10-30,view,424033
2019-10-31,cart,13934
2019-10-31,purchase,11577
2019-10-31,view,434103
