date,event_type,count
2020-03-01,cart,5226
2020-03-01,purchase,2042
2020-03-01,view,150597
2020-03-02,cart,9904
2020-03-02,purchase,3790
2020-03-02,view,210668
2020-03-03,cart,8557
2020-03-03,purchase,3038
2020-03-03,view,210885
2020-03-04,cart,8929
2020-03-04,purchase,3017
2020-03-04,view,214144
2020-03-05,cart,9093
2020-03-05,purchase,3059
2020-03-05,view,217068
2020-03-06,cart,9014
2020-03-06,purchase,3123
2020-03-06,view,190069
2020-03-07,cart,9234
2020-03-07,purchase,3075
2020-03-07,view,198283
2020-03-08,cart,8061
2020-03-08,purchase,2686
2020-03-08,view,176492
2020-03-09,cart,7953
2020-03-09,purchase,2710
2020-03-09,view,199131
2020-03-10,cart,7998
2020-03-10,purchase,2761
2020-03-10,view,192999
2020-03-11,cart,7438
2020-03-11,purchase,2711
2020-03-11,view,173818
2020-03-12,cart,6567
2020-03-12,purchase,2317
2020-03-12,view,152627
2020-03-13,cart,6699
2020-03-13,purchase,2379
2020-03-13,view,140498
2020-03-14,cart,6919
2020-03-14,purchase,2500
2020-03-14,view,152903
2020-03-15,cart,7246
2020-03-15,purchase,2597
2020-03-15,view,152410
2020-03-16,cart,5819
2020-03-16,purchase,2049
2020-03-16,view,140150
2020-03-17,cart,6322
2020-03-17,purchase,2187
2020-03-17,view,141430
2020-03-18,cart,6612
2020-03-18,purchase,2219
2020-03-18,view,145589
2020-03-19,cart,6314
2020-03-19,purchase,2102
2020-03-19,view,152774
2020-03-20,cart,6283
2020-03-20,purchase,2092
2020-03-20,view,152111
2020-03-21,cart,6101
2020-03-21,purchase,2059
2020-03-21,view,158148
2020-03-22,cart,5529
2020-03-22,purchase,1855
2020-03-22,view,148304
2020-03-23,cart,6175
2020-03-23,purchase,2127
2020-03-23,view,174048
2020-03-24,cart,6987
2020-03-24,purchase,2432
2020-03-24,view,190517
2020-03-25,cart,7922
2020-03-25,purchase,2672
2020-03-25,view,201354
2020-03-26,cart,8038
2020-03-26,purchase,2821
2020-03-26,view,201083
2020-03-27,cart,8850
2020-03-27,purchase,3038
2020-03-27,view,203013
2020-03-28,cart,9219
2020-03-28,purchase,3030
2020-03-28,view,202396
2020-03-29,cart,7588
2020-03-29,purchase,2340
2020-03-29,view,175296
2020-03-30,cart,8386
2020-03-30,purchase,2816
2020-03-30,view,193081
2020-03-31,cart,9956
2020-03-31,purchase,3200
2020-03-31,view,211543
