"Monat","Sitzungen","Sitzungen, in denen Artikel zum Warenkorb hinzugefügt wurden","Sitzungen, bei denen der Checkout erreicht wurde","Sitzungen, bei denen der Checkout abgeschlossen wurde","Conversion-Rate","Month (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)"
"2024-08-01",0,0,0,0,,"2023-08-01",0,0,0,0,
"2024-09-01",0,0,0,0,,"2023-09-01",0,0,0,0,
"2024-10-01",222,3,2,0,0,"2023-10-01",0,0,0,0,
"2024-11-01",363,9,6,3,0.008264462809917356,"2023-11-01",0,0,0,0,
"2024-12-01",298,11,11,5,0.016778523489932886,"2023-12-01",0,0,0,0,
"2025-01-01",122,1,1,0,0,"2024-01-01",0,0,0,0,
"2025-02-01",158,9,8,4,0.02531645569620253,"2024-02-01",0,0,0,0,
"2025-03-01",531,9,6,3,0.005649717514124294,"2024-03-01",0,0,0,0,
"2025-04-01",442,16,12,3,0.006787330316742082,"2024-04-01",0,0,0,0,
"2025-05-01",193,4,1,1,0.0051813471502590676,"2024-05-01",0,0,0,0,
"2025-06-01",174,10,6,2,0.011494252873563218,"2024-06-01",0,0,0,0,
"2025-07-01",416,17,16,2,0.004807692307692308,"2024-07-01",0,0,0,0,
"2025-08-01",854,11,7,1,0.00117096018735363,"2024-08-01",0,0,0,0,
