,datum,sess_ctry,sess_loc,sug_platform,landing_uri,session_duration,pages_per_sess,sess_co_done,sess_type
0,2024-10-01,Germany,Nuremberg,direct,https://www.whiskyquartier.de/pages/datenschutz,368.0,5.0,0,CO abgeschl.
1,2024-10-01,Germany,Munich,direct,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie,237.0,7.0,0,CO abgeschl.
2,2024-10-01,United Kingdom,London,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
3,2024-10-01,Germany,Hausach,direct,https://7bb991-55.myshopify.com/,0.0,1.0,0,CO abgeschl.
4,2024-10-01,Germany,Burgthann,direct,https://7bb991-55.myshopify.com/,327.55555555555554,1.8888888888888888,0,CO abgeschl.
5,2024-10-01,Germany,Nuremberg,direct,https://7bb991-55.myshopify.com/?_ab=0&_fd=0&_sc=1,579.6666666666666,4.333333333333333,0,CO abgeschl.
6,2024-10-01,Canada,,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
7,2024-10-01,Ukraine,Kyiv,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
8,2024-10-01,Germany,Nuremberg,direct,https://www.whiskyquartier.de/,4999.0,14.666666666666666,0,CO abgeschl.
9,2024-10-01,Germany,Nuremberg,direct,https://www.whiskyquartier.de/password,776.0,9.5,0,CO abgeschl.
10,2024-10-01,France,,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
11,2024-10-01,Germany,Nuremberg,good-apps,https://www.whiskyquartier.de/products/suntory-hibiki-100th-anniversary-0-7l-kopie?offerId=7991&appName=GoodApps-AgeVerification18+,2203.0,20.0,0,CO abgeschl.
12,2024-10-01,Canada,Montreal,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
13,2024-10-01,Switzerland,,alphabet,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
14,2024-10-01,Ireland,Dublin,direct,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
15,2024-11-01,Germany,Dachau,direct,https://www.whiskyquartier.de/,24.0,2.0,0,CO abgeschl.
16,2024-11-01,Germany,Böblingen,whiskybase,https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l,92.0,5.0,0,CO abgeschl.
17,2024-11-01,Bulgaria,Varna,whiskybase,https://www.whiskyquartier.de/products/kavalan-solist-brandy-0-7l-kopie,76.0,5.0,0,CO abgeschl.
18,2024-11-01,The Netherlands,Amsterdam,whiskybase,https://www.whiskyquartier.de/products/gold-double-cask-0-7l,0.0,1.0,0,CO abgeschl.
19,2024-11-01,Canada,,direct,https://www.whiskyquartier.de/,0.0,1.0,0,CO abgeschl.
20,2024-11-01,Germany,Neumarkt in der Oberpfalz,direct,https://www.whiskyquartier.de/policies/legal-notice,0.0,1.0,0,CO abgeschl.
21,2024-11-01,Germany,Ludwigshafen am Rhein,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHSyQHZB-fro4ILPKHV7AB4K45KlhJRUxGsA_e8ebQvPwIrLtNl7OxBiAkg_aem_QS1dQX7kD9ZVFMQV9udFgw,19.0,2.0,0,CO abgeschl.
22,2024-11-01,Germany,Cologne,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0CMTEAAR0C3LjZJF5aIyd5AdjKdsnX9k7CQ1A_RlT5YKfOy7JxeXn-njwsp0qc7VM_aem_rMdWClT1r10lA_816Pj2qw,0.0,1.0,0,CO abgeschl.
23,2024-11-01,Germany,Bochum,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHegpY7Yyt6svlCdiB5nKmKfD1jRxcDTvYnFvWw3LLyXq0u_RH7kRgg3O2w_aem_ud4KLCSSeAGv9V3Swfbmbw,20.0,2.0,0,CO abgeschl.
24,2024-11-01,Finland,Helsinki,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHSaFPDF1lkN2nC608UgoA22EhO9nli4yyA9c4yTj7ssqWdrawbsTrSGSSA_aem_crGqpuUr-9iCQ6Y-hEMFMA,0.0,1.0,0,CO abgeschl.
25,2024-11-01,Germany,Bamberg,direct,https://www.whiskyquartier.de/policies/legal-notice,0.0,1.0,0,CO abgeschl.
26,2024-11-01,Germany,Berlin,direct,https://www.whiskyquartier.de/,0.0,1.0,0,CO abgeschl.
27,2024-11-01,Germany,Oldenburg,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHTd4L0DIcRrZHSsSaRbgzjA4qJoRXis1lyuyHejCvvOOzBobDoT1y7tsWQ_aem_AUkBgr6ENABPYJJNoLEYNA,0.0,1.0,0,CO abgeschl.
28,2024-11-01,Germany,Mainhausen,7bb991-55,https://www.whiskyquartier.de/password,0.0,1.0,0,CO abgeschl.
29,2024-11-01,South Korea,Gwanak-gu,whiskybase,https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l,15.0,2.0,0,CO abgeschl.
30,2024-11-01,Germany,Uffenheim,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHfnkewEhmLSH2UPSRgmBguxQdsENxODxNdMu6bCjyUV54PtEVarXg9zqfw_aem_CVO2QHPwdLARwMZF3hVPDg,0.0,1.0,0,CO abgeschl.
31,2024-11-01,Portugal,Vila Nova de Famalicão,whiskybase,https://www.whiskyquartier.de/products/1824-gold-0-7l-kopie,30.0,3.0,0,CO abgeschl.
32,2024-11-01,Germany,Nuremberg,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRo313y6tMk5NdvGN_WLzrabZqMBMtRB0ZPQAk-9bz3PS8yV3fkLDjeOtg_aem_x8Kh3IYaWZcbaa8J4WMDig,0.0,1.0,0,CO abgeschl.
33,2024-11-01,Germany,Forchheim,direct,https://www.whiskyquartier.de/,51.0,2.0,0,CO abgeschl.
34,2024-11-01,Germany,Munich,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHa3fukbzFGbJJxu12MfbfQSmdJO-12QZI5k4lXJ1GzbKQ4DFML68Hr6Cyw_aem_LgYiXqR-QBPmxQdT6DAgww,0.0,1.0,0,CO abgeschl.
35,2024-11-01,Germany,Oldenburg,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHZJrjgSH8hEJRbydTRfm9YWiAWh7p7OpyvgVz-WyookNZzrJM8JzjS1MZg_aem_yI0WKm0qe1juq4EZBXmWpw,21.0,2.0,0,CO abgeschl.
36,2024-11-01,Croatia,Sisak,direct,https://www.whiskyquartier.de/collections/neu-im-shop,0.0,1.0,0,CO abgeschl.
37,2024-11-01,Germany,Hamburg,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRr97dwLAIZJM1_tLpl-ulx4xIahjHzpr_oT-VvfbRIUnrwGZIj9x6iYgw_aem_a_y1Gu2N8v_xmZtHWiDtHw,33.0,2.0,0,CO abgeschl.
38,2024-11-01,The Netherlands,Purmerend,direct,https://www.whiskyquartier.de/products/classic-cut-2020-0-7l,11.833333333333334,1.1666666666666667,0,CO abgeschl.
39,2024-11-01,Germany,Elterlein,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHfQ7XqlCMbLZsoKKVb_lWMX8C-QfEGBMMhqdnsjBKbXaij0_7fT9QQBmVg_aem_89PRSfHDduuEQIadlAy65g,0.0,1.0,0,CO abgeschl.
40,2024-11-01,Germany,Göllheim,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHQCv-s-Vmxkt-nv091h2nHzFHEl0oreIMoBcSwJ6jVmfqyhzwH1EwLdJ7Q_aem_WbFzFBvD-6Depcn5uDSm4A,0.0,1.0,0,CO abgeschl.
41,2024-11-01,Germany,Cologne,direct,https://www.whiskyquartier.de/,18.5,1.5,0,CO abgeschl.
42,2024-11-01,Germany,Postbauer-Heng,direct,https://www.whiskyquartier.de/,24.6,3.4,0,CO abgeschl.
43,2024-11-01,Germany,Hamburg,meta,https://www.whiskyquartier.de/?fbclid=IwY2xjawGtwyJleHRuA2FlbQEwAGFkaWQAAAYMPY0AnwEdEzZoBNJOpFBDua4TpnstYJxP1CRKVIUaSYBw_UkoJAoFMq4vzj6sbFp4_aem_AIUPZaMNLx_-aPb_He-MGQ,0.0,1.0,0,CO abgeschl.
44,2024-11-01,Germany,Müllheim,alphabet,https://www.whiskyquartier.de/?gad_source=1,0.0,1.0,0,CO abgeschl.
45,2024-11-01,Germany,Bünde,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHU0S299Tca2TZeG_1_Gnbd6PjLWQTV_VxvPHu_Tylolez72K74HN0gkoVQ_aem_LfFVrMw3nxjIy10KjM2iOA,52.0,3.0,0,CO abgeschl.
46,2024-11-01,Germany,Düsseldorf,direct,https://www.whiskyquartier.de/,0.0,1.0,0,CO abgeschl.
47,2024-11-01,Germany,,meta,https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRhTN7-l0ieY6EjtF0PtbF6uRc6uooca-fx8FQHSyWbQi4_axZ1PJzZ9pQ_aem_hGcgvD8yDSd0ZHxUgGZVbw,234.0,12.0,0,CO abgeschl.
48,2024-11-01,Germany,Burgthann,alphabet,https://www.whiskyquartier.de/,11.5,2.0,0,CO abgeschl.
