country,state,county,name,lat,lng
AE,Dubai,,Dubai,25.07725,55.30927
AE,Sharjah Emirate,,Sharjah,25.33737,55.41206
AF,Kabul Province,Kabul,Kabul,34.52813,69.17233
AR,Misiones,,San José,-27.76916,-55.78033
AR,Catamarca,,San José,-28.38756,-65.70087
AS,American Samoa,Eastern District,Pago Pago,-14.27806,-170.7025
AT,,,Vienna,48.20849,16.37208
AT,Upper Austria,Bezirk Vöcklabruck,Tiefgraben,47.87385,13.30591
AT,Salzburg,,Salzburg,47.79941,13.04399
AT,Burgenland,Bezirk Oberwart,Oberschützen,47.35138,16.20732
AT,Styria,Bezirk Bruck-Mürzzuschlag,Kapfenberg,47.44458,15.29331
AT,Tyrol,Bezirk Schwaz,Jenbach,47.39173,11.77245
AT,Tyrol,,Innsbruck,47.26266,11.39454
AT,Styria,,Graz,47.06667,15.45
AT,Vorarlberg,Bezirk Feldkirch,Götzis,47.33306,9.63306
AT,Salzburg,Bezirk Salzburg-Umgebung,Elixhausen,47.86667,13.06667
AU,New South Wales,,Sydney,-33.86785,151.20732
AU,Victoria,,Montrose,-37.81667,145.35
AU,Victoria,,Lucknow,-37.81667,147.65
AU,New South Wales,,Cardiff,-32.94201,151.6544
AU,Tasmania,,Cambridge,-42.83333,147.45
AU,Tasmania,,Montrose,-42.82895,147.24735
AZ,Baku,,Baku,40.37767,49.89201
BA,Federation of Bosnia and Herzegovina,,Čitluk,43.22861,17.70083
BE,East Flanders,Oudenaarde,Oudenaarde,50.85168,3.60891
BE,Hainaut,Mons,Mons,50.45413,3.95229
BE,,Brussels-Capital,Brussels,50.85045,4.34878
BG,,Yambol,Yambol,42.48333,26.5
BG,,Varna,Varna,43.21667,27.91667
BG,,Sofia-City,Sofia,42.69751,23.32415
BG,,Plovdiv,Plovdiv,42.15,24.75
BR,Piauí,,Porto,-3.89333,-42.71
BR,Rio Grande do Sul,,Santiago,-29.19167,-54.86722
BR,Santa Catarina,,Joinville,-26.30444,-48.84556
BR,Sergipe,,Itabaianinha,-11.27389,-37.79
BR,São Paulo,Região Metropolitana de São Paulo,Ferraz de Vasconcelos,-23.54083,-46.36861
BR,Minas Gerais,Região Metropolitana de Belo Horizonte,Belo Horizonte,-19.92083,-43.93778
BS,,,Nassau,25.05823,-77.34306
BY,,,Minsk,53.9,27.56667
CA,Quebec,Beauharnois-Salaberry,Beauharnois,45.31341,-73.8725
CA,Ontario,Huron County,Brussels,43.74316,-81.24998
CA,Ontario,Region of Waterloo,Cambridge,43.3601,-80.31269
CA,Ontario,London,London,42.98339,-81.23304
CA,Quebec,Québec (Agglomération),Québec,46.81228,-71.21454
CA,Nova Scotia,Cape Breton County,Sydney,46.1351,-60.1831
CH,St. Gallen,Wahlkreis St. Gallen,Waldkirch,47.46859,9.28665
CH,Wallis,Entremont,Verbier,46.1002,7.22651
CH,Aargau,Bezirk Baden,Ehrendingen,47.5025,8.34729
CH,Zurich,Bezirk Dietikon,Uitikon,47.36911,8.45699
CH,Aargau,Bezirk Baden,Spreitenbach,47.42285,8.36792
CH,St. Gallen,Wahlkreis Rorschach,Rorschach,47.478,9.4903
CH,Vaud,District de la Broye-Vully,Payerne,46.82192,6.93817
CH,Zurich,Bezirk Meilen,Männedorf,47.25686,8.69893
CH,Thurgau,Bezirk Frauenfeld,Frauenfeld,47.55776,8.89893
CH,Zurich,Bezirk Bülach,Bülach,47.52197,8.54049
CH,Basel-Country,Bezirk Arlesheim,Birsfelden,47.5529,7.62322
CH,Geneva,,Bernex,46.1765,6.07544
CH,Basel-City,,Basel,47.55839,7.57327
CH,Zurich,Bezirk Horgen,Adliswil,47.30997,8.52462
CH,Aargau,Bezirk Aarau,Aarau,47.39254,8.04422
CL,Santiago Metropolitan Region,Provincia de Santiago,Santiago,-33.45694,-70.64827
CN,,,Shanghai,31.22222,121.45806
CO,Antioquia,,Santo Domingo,6.47282,-75.16547
CO,Norte de Santander,,Santiago,7.86432,-72.7162
CO,Putumayo,,Santiago,1.14844,-77.0045
CO,Caldas,,San José,5.08221,-75.79107
CO,Nariño,Roberto Payán (San José),San José,1.69659,-78.24482
CO,Nariño,Albán (San José),San José,1.47446,-77.08144
CO,,,Madrid,4.73245,-74.26419
CR,,Cantón Santa Bárbara,Santo Domingo,10.06389,-84.15499
CR,,Cantón Palmares,Santiago,10.02275,-84.4442
CR,,Cantón Puriscal,Santiago,9.84636,-84.31428
CR,,Cantón Upala,San José,10.95192,-85.13572
CR,,Cantón San José,San José,9.93333,-84.08333
CU,Villa Clara,,Santo Domingo,22.58677,-80.24261
CV,,Praia,Praia,14.93152,-23.51254
CY,South Cyprus,,Nicosia,35.17531,33.3642
CY,South Cyprus,,Limassol,34.68406,33.03794
CY,South Cyprus,,Larnaca,34.92291,33.6233
CZ,Northwest,Ústecký kraj,Žatec,50.32717,13.54577
CZ,Prague,,Prague,50.08804,14.42076
CZ,Southeast,Jihomoravský kraj,Pohořelice,48.98119,16.52445
CZ,Northeast,Pardubický kraj,Pardubice,50.04075,15.77659
CZ,Central Bohemia,,Jesenice,50.09703,13.46948
CZ,Central Bohemia,,Jesenice,49.96814,14.5135
CZ,Central Bohemia,,Český Brod,50.0742,14.86081
CZ,Southwest,Jihočeský kraj,České Budějovice,48.97447,14.47434
CZ,Central Bohemia,,Beroun,49.96382,14.072
DE,Baden-Württemberg,Landkreis Emmendingen,Waldkirch,48.09585,7.96371
DE,Rhineland-Palatinate,Rhein-Lahn-Kreis,Nassau,50.31453,7.80025
DE,Baden-Württemberg,Bodenseekreis,Salem,47.76258,9.29031
DK,Region of Southern Denmark,,Vojens,55.24639,9.30603
DK,Region of Southern Denmark,,Varde,55.62112,8.48069
DK,Capital Region of Denmark,,Rønne,55.10091,14.70664
DK,Capital Region of Denmark,,Copenhagen,55.67594,12.56553
DK,Central Denmark Region,,Holstebro,56.36009,8.61607
DK,Region of Southern Denmark,,Esbjerg,55.47028,8.45187
DK,Capital Region of Denmark,,Charlottenlund,55.75238,12.5745
DK,North Denmark Region,,Brønderslev,57.27021,9.94102
DO,Distrito Nacional,,Santo Domingo,18.47186,-69.89232
EC,Zamora Chinchipe,Palanda,Valladolid,-4.55137,-79.13199
EC,Loja,Loja,Santiago,-3.7938,-79.28192
EC,Bolívar,San Miguel,Santiago,-1.69968,-78.99985
EE,,Harju maakond,Tallinn,59.43696,24.75353
EG,Cairo Governorate,,Cairo,30.06263,31.24967
EG,Giza Governorate,,Giza,30.00944,31.20861
ES,Andalusia,,San José,36.76048,-2.10912
ES,Castile and León,,Valladolid,41.65518,-4.72372
ES,Catalonia,Selva,Santa Coloma de Farners,41.86667,2.66667
ES,Castile and León,,Porto,42.16737,-6.89934
ES,Galicia,Ferrol,Narón,43.50175,-8.19082
ES,Community of Madrid,Área metropolitana de Madrid y Corredor del Henares,Madrid,40.4165,-3.70256
ES,Catalonia,Selva,Breda,41.74833,2.55964
FI,,Uusimaa,Helsinki,60.16952,24.93545
FR,Grand Est,Haut-Rhin,Rosenau,47.63688,7.53598
FR,Occitania,Gard,Mons,44.11563,4.17185
FR,Occitania,Haute-Garonne,Mons,43.6124,1.57207
FR,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,45.74846,4.84671
FR,Auvergne-Rhône-Alpes,Ardèche,Lavilledieu,44.57545,4.45314
FR,Grand Est,Haute-Marne,Joinville,48.44363,5.14144
FR,Provence-Alpes-Côte d'Azur,Maritime Alps,Grasse,43.65783,6.92537
FR,Ile-de-France,Essonne,Corbeil-Essonnes,48.60603,2.48757
GB,England,,City of Westminster,51.4975,-0.1357
GB,England,West Midlands Combined Authority,West Bromwich,52.51868,-1.9945
GB,England,,Southampton,50.90395,-1.40428
GB,Scotland,Angus,Montrose,56.71683,-2.46695
GB,England,Milton Keynes,Milton Keynes,52.04172,-0.75583
GB,England,Greater Manchester,Manchester,53.48095,-2.23743
GB,England,Luton,Luton,51.87967,-0.41748
GB,England,Milton Keynes,Loughton,52.03037,-0.78642
GB,England,,London,51.50853,-0.12574
GB,England,City of Leicester,Leicester,52.6386,-1.13169
GB,England,,Ilford,51.55765,0.07278
GB,Scotland,Glasgow City,Glasgow,55.86515,-4.25763
GB,Wales,Cardiff,Cardiff,51.48,-3.18
GB,England,Cambridgeshire,Cambridge,52.2,0.11667
GB,Scotland,Highland,Alness,57.69596,-4.2551
GE,Autonomous Republic of Adjara,,Batumi,41.64228,41.63392
GR,Attica,Regional Unit of East Attica,Vári,37.8332,23.80311
GR,Aegean,Syros Regional Unit,Vári,37.39859,24.94904
GR,Attica,Regional Unit of Central Athens,Athens,37.98376,23.72784
GT,Petén,,San José,16.98333,-89.9
HK,Hong Kong,,Hong Kong,22.27832,114.17469
HN,Copán,,San José,14.90235,-88.72063
HN,Yoro,,San José,15.31667,-87.16667
HN,La Paz,,San José,14.24809,-87.95951
HR,,,Zagreb,45.81444,15.97798
HR,,Sisak-Moslavina County,Sisak,45.46611,16.37833
HR,,Primorje-Gorski Kotar County,Rijeka,45.32673,14.44241
HR,,Zadar County,Jesenice,44.23,15.5775
HR,,Split-Dalmatia County,Jesenice,43.46158,16.60197
HU,,,Budapest,47.49835,19.04045
ID,Central Java,Brebes,Salem,-7.1825,108.8059
IE,,County Wicklow,Wicklow,52.975,-6.04944
IE,,County Dublin,Dublin,53.33306,-6.24889
IL,Tel Aviv District,,Tel Aviv,32.08088,34.78057
IL,Center District,,Ness Ziona,31.92933,34.79868
IL,Tel Aviv District,,Herzliya,32.16627,34.82536
IL,Center District,,Ganei Tikva,32.05971,34.8732
IN,Gujarat,,Surat,21.19594,72.83023
IN,Tamil Nadu,Salem,Salem,11.65376,78.15538
IN,Uttar Pradesh,Sadar,Lucknow,26.83928,80.92313
IN,Maharashtra,,Mumbai,19.07283,72.88261
IN,Karnataka,Bangalore North,Bengaluru,12.97194,77.59369
IT,Sicily,Enna,Nicosia,37.74747,14.39218
IT,Veneto,Venezia,Venice,45.43713,12.33265
IT,Trentino-Alto Adige/Südtirol,South Tyrol,Varna,46.73901,11.63749
IT,Piemont,Cuneo,Santa Vittoria d'Alba,44.69864,7.93733
IT,Lazio,Roma Capitale,Rome,41.89193,12.51133
IT,Emilia-Romagna,Modena,Modena,44.64783,10.92539
IT,Tuscany,Metropolitan City of Florence,Florence,43.77925,11.24626
IT,Emilia-Romagna,,Cesena,44.1391,12.24315
IT,Veneto,Treviso,Breda,45.7225,12.33083
IT,Emilia-Romagna,Bologna,Bologna,44.49381,11.33875
