"datum","sess_ctry","sess_loc","sessions","lng","lat","kontrollland"
"2025-08-01",Germany,Lauda-Königshofen,1,9.70816,49.56526,DE
"2025-08-01",Germany,Olpe,1,7.85139,51.02899,DE
"2025-08-01",Germany,Oldenburg,1,8.21467,53.14118,DE
"2025-08-01",Germany,Magdeburg,1,11.62916,52.12773,DE
"2025-08-01",Germany,Maintal,1,8.83333,50.15,DE
"2025-08-01",Germany,Lautertal,1,10.96667,50.33333,DE
"2025-08-01",Germany,Bad Langensalza,3,10.646,51.10771,DE
"2025-08-01",Germany,Bad König,1,9.0075,49.7432,DE
"2025-08-01",Germany,Offenbach,8,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,2,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Offenbach,1,8.76647,50.10061,DE
"2025-08-01",Germany,Freudenstadt,1,8.41371,48.46695,DE
"2025-08-01",Germany,Gotha,1,10.70193,50.94823,DE
"2025-08-01",Germany,Berlin,1,13.41053,52.52437,DE
"2025-08-01",Germany,Mannheim,1,8.46694,49.4891,DE
"2025-08-01",Germany,Oberkirch,1,8.07864,48.53241,DE
"2025-08-01",Germany,Oberhausen,1,6.8625,51.47805,DE
"2025-08-01",Germany,Oberhausen,1,6.8625,51.47805,DE
"2025-08-01",Germany,Mannheim,1,8.46694,49.4891,DE
"2025-08-01",Germany,Mannheim,1,8.46694,49.4891,DE
"2025-08-01",Germany,Marktoberdorf,1,10.61713,47.77964,DE
"2025-08-01",Germany,Marl,1,7.09038,51.65671,DE
"2025-08-01",Germany,Oberhausen,1,11.11151,48.72201,DE
"2025-08-01",Germany,Oberhausen,1,11.11151,48.72201,DE
"2025-08-01",Germany,Meerane,1,12.46473,50.84688,DE
"2025-08-01",Germany,Meiningen,1,10.41521,50.56787,DE
"2025-08-01",Germany,Meiningen,2,10.41521,50.56787,DE
"2025-08-01",Austria,Vienna,1,16.37208,48.20849,AT
"2025-08-01",Germany,Oberhausen,1,11.13333,47.78333,DE
"2025-08-01",Germany,Oberhausen,1,11.13333,47.78333,DE
"2025-08-01",Germany,Bad Frankenhausen,1,11.09977,51.35609,DE
"2025-08-01",Germany,Wuppertal,1,7.14816,51.25627,DE
"2025-08-01",Germany,Friedrichshafen,1,9.47554,47.65689,DE
"2025-08-01",Germany,Merseburg,1,11.98923,51.35478,DE
"2025-08-01",Germany,Wuppertal,1,7.14816,51.25627,DE
"2025-08-01",Germany,Mönchengladbach,1,6.44172,51.18539,DE
"2025-08-01",Germany,Norderstedt,1,9.98041,53.6859,DE
"2025-08-01",Germany,Bückeburg,1,9.04939,52.26065,DE
"2025-08-01",Germany,Norden,1,7.20639,53.59552,DE
"2025-08-01",Germany,Niederkassel,1,7.03777,50.81503,DE
"2025-08-01",Germany,Niebüll,1,8.82854,54.78663,DE
"2025-08-01",Germany,Nidderau,1,8.86704,50.23805,DE
"2025-08-01",Germany,Nidderau,2,8.86704,50.23805,DE
"2025-08-01",Germany,Burg bei Magdeburg,1,11.85493,52.27152,DE
"2025-08-01",Germany,Mönchengladbach,1,6.44172,51.18539,DE
"2025-08-01",Germany,Neuwied,1,7.47057,50.4336,DE
"2025-08-01",Germany,Grebenhain,1,9.33855,50.48924,DE
"2025-08-01",Germany,Mosbach,1,9.15106,49.35357,DE
"2025-08-01",Germany,Neustadt an der Weinstraße,1,8.13886,49.35009,DE
"2025-08-01",Germany,Neustadt an der Weinstraße,1,8.13886,49.35009,DE
"2025-08-01",Germany,Mühlhausen,1,9.65733,48.57661,DE
"2025-08-01",Czechia,Pohořelice,1,16.52445,48.98119,CZ
"2025-08-01",Germany,Mühlhausen,1,9.65733,48.57661,DE
"2025-08-01",Czechia,Pohořelice,1,16.52445,48.98119,CZ
"2025-08-01",Germany,Mühlhausen,1,9.65733,48.57661,DE
"2025-08-01",Germany,Mühlhausen,1,8.72667,49.24861,DE
"2025-08-01",Germany,Neumünster,1,9.98195,54.07477,DE
"2025-08-01",Germany,Mühlhausen,1,8.72667,49.24861,DE
"2025-08-01",Germany,Vechta,1,8.28598,52.72632,DE
"2025-08-01",Germany,Essen,1,7.01228,51.45657,DE
"2025-08-01",Germany,Mühlhausen,1,8.72667,49.24861,DE
"2025-08-01",Germany,Mühlhausen,1,10.77563,49.75443,DE
"2025-08-01",Germany,Mühlhausen,1,10.77563,49.75443,DE
"2025-08-01",Austria,Tiefgraben,1,13.30591,47.87385,AT
"2025-08-01",Germany,Mühlhausen,1,10.77563,49.75443,DE
"2025-08-01",Germany,Alfeld,1,11.55,49.43333,DE
"2025-08-01",Germany,Alfeld,1,9.81989,51.98382,DE
"2025-08-01",Germany,Essen,1,7.01228,51.45657,DE
"2025-08-01",Germany,Neuhaus am Rennweg,1,11.13787,50.51006,DE
"2025-08-01",Germany,Mühlhausen,1,10.45275,51.20896,DE
"2025-08-01",Germany,Altfraunhofen,1,12.16667,48.45,DE
"2025-08-01",Germany,Neuburg an der Donau,1,11.18709,48.73218,DE
"2025-08-01",Germany,Neubrandenburg,1,13.27532,53.56414,DE
"2025-08-01",Germany,Mühlhausen,1,10.45275,51.20896,DE
"2025-08-01",Germany,Mühlhausen,1,10.45275,51.20896,DE
