id,brand
1904,apple
1903,huawei
1905,samsung
1906,haier
1907,jbl
1908,xiaomi
1909,sony
1910,lg
1911,nokia
1912,elenberg
1913,oneplus
1914,casio
1915,oppo
1916,garmin
1917,bq
1918,elari
1919,fly
1920,prestigio
1921,meizu
1922,kicx
1923,gopro
1924,vivo
1925,yasin
1926,kivi
1927,alphard
1928,pride
1929,doogee
1930,tcl
1931,plantronics
1932,kingston
1933,wacom
1934,m-audio
1935,tissot
1936,asus
1937,honor
1938,toshiba
1939,denn
1940,fender
1941,microsoft
1942,dkny
1943,longines
1944,panasonic
1945,canon
1946,aimoto
1947,wonlex
1948,ritmix
1949,pioneer
1950,orient
1951,artel
1952,razer
1953,maxvi
1954,fossil
1955,tp-link
1956,armani
1957,byintek
1958,polar
1959,canyon
1960,olmio
1961,cinemood
1962,jvc
1963,withings
1964,hoco
1965,viewsonic
1966,trust
1967,rado
1968,boccia
1969,jinga
1970,yamaha
1971,texet
1972,philips
1973,alpine
1974,cover
1975,mykronoz
1976,infinity
1977,gionee
1978,mido
1979,google
1980,harper
1981,zeppelin
1982,defender
1983,suunto
1984,swatch
1985,seiko
1986,nakamichi
1987,bose
1988,beats
1989,epson
1990,hertz
1991,vivitek
1992,kenwood
1993,marshall
1994,nobby
1995,usams
1996,changhong
1997,lorus
1998,mystery
1999,squier
2000,inoi
2001,irbis
2002,fli
2003,numark
2004,phantom
2005,citizen
2006,edge
2007,audison
2008,lenovo
2009,rebus
2010,hiper
2011,joyroom
2012,blackberry
2013,tecno
2014,hanowa
2015,optoma
2016,shivaki
2017,olto
2018,sjcam
2019,nubia
2020,versace
2021,genius
2022,versus
2023,awei
2024,xp-pen
2025,huion
2026,hp
2027,romanson
2028,ark
2029,acme
2030,sven
2031,dji
2032,diesel
2033,redragon
2034,roamer
2035,intex
2036,hisense
2037,cortland
2038,orico
2039,ergo
2040,acer
2041,shure
2042,prolike
2043,zte
2044,veho
2045,fiio
2046,saturn
2047,stagg
2048,tesler
2049,nexttab
2050,nikon
2051,soundstream
2052,vestel
2053,westone
2054,audio-technica
2055,jet
2056,skagen
2057,focal
2058,adriatica
2059,blam
2060,motorola
2061,koss
2062,takamine
2063,calypso
2064,horizont
2065,laudio
2066,global
2067,inkax
2068,machete
2069,prology
2070,bluesonic
2071,certina
2072,morel
2073,oris
2074,jabra
2075,alesis
2076,akai
2077,microlab
2078,leem
2079,remax
2080,arturia
2081,sennheiser
2082,behringer
2083,peavey
2084,g-cube
2085,korg
2086,wster
2087,biema
2088,kef
2089,qcyber
2090,hyperx
2091,blg
2092,xgimi
2093,crown
2094,navitel
2095,intro
2096,neumann
2097,traser
2098,veston
2099,agu
2100,vibe
2101,gretsch
2102,jaguar
2103,otan
2104,fostex
2105,balmain
2106,momentum
2107,cort
2108,keneksi
2109,admira
2110,sonda
2111,medeli
2112,k-lite
2113,roland
2114,rockdale
2115,kurzweil
2116,dsppa
2117,flight
2118,htc
2119,gewa
2120,edox
2121,zoom
2122,manhattan
2123,bluedio
2124,leatherman
2125,avatar
2126,dls
2127,gembird
2128,gamemax
2129,electro-voice
2130,pro-karaoke
2131,kuppersbusch
2132,tanglewood
2133,micromax
2134,rombica
2135,swat
2136,beyerdynamic
2137,akg
2138,audac
2139,steelseries
2140,enya
2141,havit
2142,suzuki
2143,vasco
2144,meike
2145,kicker
2146,martinez
2147,skyworth
2148,ovation
2149,misfit
2150,aria
2151,t.bone
2152,ibanez
2153,krk
2154,homage
2155,vertex
2156,samson
2157,rode
2158,bulova
2159,leagoo
2160,bravis
2161,logitech
2162,apart
2163,work
2164,proel
2165,turbosound
2166,swissline
2167,studiomaster
2168,clarion
2169,urbanears
2170,fitbit
2171,cvgaudio
2172,ava
2173,monster
2174,edifier
2175,ipipoo
2176,sigma
2177,aces
2178,delux
2179,olympus
2180,element
2181,caraya
2182,soundking
2183,marley
2184,cowon
2185,presonus
2186,gigabyte
2187,superlux
2188,cnd
2189,rcf
2190,detomaso
2191,parrot
2192,gladen
2193,norman
2194,alvarez
2195,liberty
2196,heco
2197,continent
2198,magnat
2199,jamo
2200,ingersoll
2201,dunu
2202,adam
2203,zalman
2204,zinvo
2205,naranda
2206,acv
2207,tesoro
2208,nady
2209,madina
2210,hercules
2211,adagio
2212,crunch
2213,storm
2214,headrush
2215,tascam
2216,rapoo
2217,hamilton
2218,candy
2219,msi
2220,pebble
2221,dune
2222,mackie
2223,parkwood
2224,avermedia
2225,nomi
2226,force
2227,torgue
2228,yison
2229,creative
2230,acqua
2231,crusader
2232,nuforce
2233,leeco
2234,fujifilm
2235,sades
2236,celebrat
2237,aoc
2238,vox
2239,hifiman
2240,ortega
2241,ultrasone
2242,kehan
2243,verbatim
2244,blaupunkt
2245,siee
2246,troyka
2247,skullcandy
2248,fsd
2249,audiotop
2250,dauscher
2251,oukitel
2252,alpina
2253,sevenfriday
2254,bomberg
2255,wuw
2256,itc
2257,dynacord
2258,deppa
2259,arg
2260,recci
2261,luna
2262,mark
2263,alctron
2264,danielklein
2265,jacqueslemans
2266,artiny
2267,umi
2268,gamdias
2269,royallondon
2270,groundzero
2271,bosch
2272,calvinklein
2273,ecler
2274,energysistem
2275,magaudio
2276,avis
2277,festina
2278,irit
2279,pierrelannier
