date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,7bb991-55,https://shop.example.org/product?=,674,54.0,23.0,16.0
2024-08-02,7bb991-55,https://shop.example.org/product?=,1039,83.0,35.0,24.0
2024-08-03,7bb991-55,https://shop.example.org/imprint,780,62.0,26.0,18.0
2024-08-04,7bb991-55,https://shop.example.org/product?=,934,75.0,32.0,22.0
2024-08-05,7bb991-55,https://shop.example.org/product?=,540,43.0,18.0,12.0
2024-08-06,7bb991-55,https://shop.example.org/product?=,351,28.0,12.0,8.0
2024-08-07,7bb991-55,https://shop.example.org/product?=,1018,81.0,34.0,23.0
2024-08-08,7bb991-55,https://shop.example.org/imprint,324,26.0,11.0,8.0
2024-08-09,7bb991-55,https://shop.example.org/product?=,1032,83.0,35.0,24.0
2024-08-10,7bb991-55,https://shop.example.org/imprint,476,38.0,16.0,11.0
2024-08-11,7bb991-55,https://shop.example.org/imprint,1038,83.0,35.0,24.0
2024-08-12,7bb991-55,https://shop.example.org/imprint,536,43.0,18.0,12.0
2024-08-13,7bb991-55,https://shop.example.org/product?=,364,29.0,12.0,8.0
2024-08-14,7bb991-55,https://shop.example.org/imprint,124,10.0,4.0,3.0
2024-08-15,7bb991-55,https://shop.example.org/product?=,203,16.0,7.0,5.0
2024-08-16,7bb991-55,https://shop.example.org/product?=,565,45.0,19.0,13.0
2024-08-17,7bb991-55,https://shop.example.org/imprint,520,42.0,18.0,12.0
2024-08-18,7bb991-55,https://shop.example.org/imprint,227,18.0,8.0,6.0
2024-08-19,7bb991-55,https://shop.example.org/product?=,480,38.0,16.0,11.0
2024-08-20,7bb991-55,https://shop.example.org/imprint,587,47.0,20.0,14.0
2024-08-21,7bb991-55,https://shop.example.org/product?=,515,41.0,17.0,12.0
2024-08-22,7bb991-55,https://shop.example.org/imprint,141,11.0,5.0,3.0
2024-08-23,7bb991-55,https://shop.example.org/product?=,512,41.0,17.0,12.0
2024-08-24,7bb991-55,https://shop.example.org/imprint,1082,87.0,37.0,26.0
2024-08-25,7bb991-55,https://shop.example.org/product?=,807,65.0,27.0,19.0
2024-08-26,7bb991-55,https://shop.example.org/product?=,622,50.0,21.0,14.0
2024-08-27,7bb991-55,https://shop.example.org/product?=,268,21.0,9.0,6.0
2024-08-28,7bb991-55,https://shop.example.org/imprint,695,56.0,24.0,17.0
2024-08-29,7bb991-55,https://shop.example.org/product?=,674,54.0,23.0,16.0
2024-08-30,7bb991-55,https://shop.example.org/imprint,659,53.0,22.0,15.0
2024-08-31,7bb991-55,https://shop.example.org/imprint,322,26.0,11.0,8.0
2024-09-01,7bb991-55,https://shop.example.org/product?=,713,57.0,24.0,17.0
2024-09-02,7bb991-55,https://shop.example.org/imprint,644,52.0,22.0,15.0
2024-09-03,7bb991-55,https://shop.example.org/product?=,955,76.0,32.0,22.0
2024-09-04,7bb991-55,https://shop.example.org/product?=,732,59.0,25.0,17.0
2024-09-05,7bb991-55,https://shop.example.org/imprint,913,73.0,31.0,21.0
2024-09-06,7bb991-55,https://shop.example.org/imprint,291,23.0,10.0,7.0
2024-09-07,7bb991-55,https://shop.example.org/imprint,599,48.0,20.0,14.0
2024-09-08,7bb991-55,https://shop.example.org/imprint,708,57.0,24.0,17.0
2024-09-09,7bb991-55,https://shop.example.org/imprint,208,17.0,7.0,5.0
2024-09-10,7bb991-55,https://shop.example.org/product?=,911,73.0,31.0,21.0
2024-09-11,7bb991-55,https://shop.example.org/product?=,852,68.0,29.0,20.0
2024-09-12,7bb991-55,https://shop.example.org/product?=,515,41.0,17.0,12.0
2024-09-13,7bb991-55,https://shop.example.org/product?=,753,60.0,25.0,17.0
2024-09-14,7bb991-55,https://shop.example.org/product?=,124,10.0,4.0,3.0
2024-09-15,7bb991-55,https://shop.example.org/product?=,1080,86.0,36.0,25.0
2024-09-16,7bb991-55,https://shop.example.org/product?=,822,66.0,28.0,19.0
2024-09-17,7bb991-55,https://shop.example.org/product?=,698,56.0,24.0,17.0
2024-09-18,7bb991-55,https://shop.example.org/imprint,1018,81.0,34.0,23.0
2024-09-19,7bb991-55,https://shop.example.org/imprint,416,33.0,14.0,10.0
2024-09-20,7bb991-55,https://shop.example.org/product?=,382,31.0,13.0,9.0
2024-09-21,7bb991-55,https://shop.example.org/imprint,178,14.0,6.0,4.0
2024-09-22,7bb991-55,https://shop.example.org/imprint,1007,81.0,34.0,23.0
2024-09-23,7bb991-55,https://shop.example.org/imprint,171,14.0,6.0,4.0
2024-09-24,7bb991-55,https://shop.example.org/product?=,171,14.0,6.0,4.0
2024-09-25,7bb991-55,https://shop.example.org/imprint,418,33.0,14.0,10.0
2024-09-26,7bb991-55,https://shop.example.org/imprint,884,71.0,30.0,21.0
2024-09-27,7bb991-55,https://shop.example.org/product?=,342,27.0,11.0,8.0
2024-09-28,7bb991-55,https://shop.example.org/imprint,415,33.0,14.0,10.0
2024-09-29,7bb991-55,https://shop.example.org/imprint,599,48.0,20.0,14.0
2024-09-30,7bb991-55,https://shop.example.org/product?=,663,53.0,22.0,15.0
2024-10-01,7bb991-55,https://shop.example.org/imprint,855,68.0,29.0,20.0
2024-10-02,7bb991-55,https://shop.example.org/product?=,1003,80.0,34.0,23.0
2024-10-03,7bb991-55,https://shop.example.org/product?=,712,57.0,24.0,17.0
2024-10-04,7bb991-55,https://shop.example.org/product?=,463,37.0,16.0,11.0
2024-10-05,7bb991-55,https://shop.example.org/imprint,520,42.0,18.0,12.0
2024-10-06,7bb991-55,https://shop.example.org/product?=,189,15.0,6.0,4.0
2024-10-07,7bb991-55,https://shop.example.org/product?=,662,53.0,22.0,15.0
2024-10-08,7bb991-55,https://shop.example.org/imprint,695,56.0,24.0,17.0
2024-10-09,7bb991-55,https://shop.example.org/product?=,910,73.0,31.0,21.0
2024-10-10,7bb991-55,https://shop.example.org/product?=,597,48.0,20.0,14.0
2024-10-11,7bb991-55,https://shop.example.org/product?=,819,66.0,28.0,19.0
2024-10-12,7bb991-55,https://shop.example.org/product?=,484,39.0,16.0,11.0
2024-10-13,7bb991-55,https://shop.example.org/product?=,524,42.0,18.0,12.0
2024-10-14,7bb991-55,https://shop.example.org/product?=,197,16.0,7.0,5.0
2024-10-15,7bb991-55,https://shop.example.org/imprint,513,41.0,17.0,12.0
2024-10-16,7bb991-55,https://shop.example.org/product?=,433,35.0,15.0,10.0
2024-10-17,7bb991-55,https://shop.example.org/imprint,444,36.0,15.0,10.0
2024-10-18,7bb991-55,https://shop.example.org/imprint,329,26.0,11.0,8.0
2024-10-19,7bb991-55,https://shop.example.org/imprint,431,34.0,14.0,10.0
2024-10-20,7bb991-55,https://shop.example.org/product?=,718,57.0,24.0,17.0
2024-10-21,7bb991-55,https://shop.example.org/imprint,185,15.0,6.0,4.0
2024-10-22,7bb991-55,https://shop.example.org/product?=,920,74.0,31.0,21.0
2024-10-23,7bb991-55,https://shop.example.org/imprint,1077,86.0,36.0,25.0
2024-10-24,7bb991-55,https://shop.example.org/product?=,945,76.0,32.0,22.0
2024-10-25,7bb991-55,https://shop.example.org/imprint,672,54.0,23.0,16.0
2024-10-26,7bb991-55,https://shop.example.org/product?=,379,30.0,13.0,9.0
2024-10-27,7bb991-55,https://shop.example.org/imprint,429,34.0,14.0,10.0
2024-10-28,7bb991-55,https://shop.example.org/imprint,854,68.0,29.0,20.0
2024-10-29,7bb991-55,https://shop.example.org/product?=,446,36.0,15.0,10.0
2024-10-30,7bb991-55,https://shop.example.org/product?=,137,11.0,5.0,3.0
2024-10-31,7bb991-55,https://shop.example.org/product?=,559,45.0,19.0,13.0
2024-11-01,7bb991-55,https://shop.example.org/imprint,282,23.0,10.0,7.0
2024-11-02,7bb991-55,https://shop.example.org/imprint,700,56.0,24.0,17.0
2024-11-03,7bb991-55,https://shop.example.org/imprint,256,20.0,8.0,6.0
2024-11-04,7bb991-55,https://shop.example.org/imprint,448,36.0,15.0,10.0
2024-11-05,7bb991-55,https://shop.example.org/product?=,1040,83.0,35.0,24.0
2024-11-06,7bb991-55,https://shop.example.org/product?=,387,31.0,13.0,9.0
