date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,alphabet,https://shop.example.org/product?=,226,18.0,5.0,3.0
2024-08-02,alphabet,https://shop.example.org/product?=,176,14.0,4.0,2.0
2024-08-03,alphabet,https://shop.example.org/product?=,585,47.0,14.0,8.0
2024-08-04,alphabet,https://shop.example.org/product?=,1095,88.0,26.0,16.0
2024-08-05,alphabet,https://shop.example.org/product?=,564,45.0,13.0,8.0
2024-08-06,alphabet,https://shop.example.org/imprint,350,28.0,8.0,5.0
2024-08-07,alphabet,https://shop.example.org/product?=,220,18.0,5.0,3.0
2024-08-08,alphabet,https://shop.example.org/imprint,305,24.0,7.0,4.0
2024-08-09,alphabet,https://shop.example.org/product?=,202,16.0,5.0,3.0
2024-08-10,alphabet,https://shop.example.org/imprint,1059,85.0,25.0,15.0
2024-08-11,alphabet,https://shop.example.org/product?=,1049,84.0,24.0,14.0
2024-08-12,alphabet,https://shop.example.org/imprint,450,36.0,10.0,6.0
2024-08-13,alphabet,https://shop.example.org/product?=,516,41.0,12.0,7.0
2024-08-14,alphabet,https://shop.example.org/product?=,611,49.0,14.0,8.0
2024-08-15,alphabet,https://shop.example.org/product?=,697,56.0,16.0,10.0
2024-08-16,alphabet,https://shop.example.org/imprint,130,10.0,3.0,2.0
2024-08-17,alphabet,https://shop.example.org/product?=,650,52.0,15.0,9.0
2024-08-18,alphabet,https://shop.example.org/imprint,328,26.0,8.0,5.0
2024-08-19,alphabet,https://shop.example.org/product?=,559,45.0,13.0,8.0
2024-08-20,alphabet,https://shop.example.org/imprint,216,17.0,5.0,3.0
2024-08-21,alphabet,https://shop.example.org/imprint,364,29.0,8.0,5.0
2024-08-22,alphabet,https://shop.example.org/product?=,640,51.0,15.0,9.0
2024-08-23,alphabet,https://shop.example.org/product?=,247,20.0,6.0,4.0
2024-08-24,alphabet,https://shop.example.org/imprint,699,56.0,16.0,10.0
2024-08-25,alphabet,https://shop.example.org/product?=,234,19.0,6.0,4.0
2024-08-26,alphabet,https://shop.example.org/product?=,868,69.0,20.0,12.0
2024-08-27,alphabet,https://shop.example.org/product?=,462,37.0,11.0,7.0
2024-08-28,alphabet,https://shop.example.org/imprint,601,48.0,14.0,8.0
2024-08-29,alphabet,https://shop.example.org/imprint,380,30.0,9.0,5.0
2024-08-30,alphabet,https://shop.example.org/imprint,873,70.0,20.0,12.0
2024-08-31,alphabet,https://shop.example.org/imprint,538,43.0,12.0,7.0
2024-09-01,alphabet,https://shop.example.org/imprint,801,64.0,19.0,11.0
2024-09-02,alphabet,https://shop.example.org/imprint,629,50.0,14.0,8.0
2024-09-03,alphabet,https://shop.example.org/imprint,143,11.0,3.0,2.0
2024-09-04,alphabet,https://shop.example.org/imprint,661,53.0,15.0,9.0
2024-09-05,alphabet,https://shop.example.org/product?=,834,67.0,19.0,11.0
2024-09-06,alphabet,https://shop.example.org/imprint,788,63.0,18.0,11.0
2024-09-07,alphabet,https://shop.example.org/imprint,774,62.0,18.0,11.0
2024-09-08,alphabet,https://shop.example.org/imprint,409,33.0,10.0,6.0
2024-09-09,alphabet,https://shop.example.org/product?=,449,36.0,10.0,6.0
2024-09-10,alphabet,https://shop.example.org/imprint,536,43.0,12.0,7.0
2024-09-11,alphabet,https://shop.example.org/imprint,308,25.0,7.0,4.0
2024-09-12,alphabet,https://shop.example.org/imprint,493,39.0,11.0,7.0
2024-09-13,alphabet,https://shop.example.org/imprint,331,26.0,8.0,5.0
2024-09-14,alphabet,https://shop.example.org/product?=,284,23.0,7.0,4.0
2024-09-15,alphabet,https://shop.example.org/imprint,195,16.0,5.0,3.0
2024-09-16,alphabet,https://shop.example.org/product?=,351,28.0,8.0,5.0
2024-09-17,alphabet,https://shop.example.org/imprint,368,29.0,8.0,5.0
2024-09-18,alphabet,https://shop.example.org/imprint,688,55.0,16.0,10.0
