date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,direct,https://shop.example.org/product?=,899,27.0,8.0,6.0
2024-08-02,direct,https://shop.example.org/product?=,997,30.0,9.0,7.0
2024-08-03,direct,https://shop.example.org/product?=,801,24.0,7.0,5.0
2024-08-04,direct,https://shop.example.org/product?=,775,23.0,7.0,5.0
2024-08-05,direct,https://shop.example.org/product?=,924,28.0,8.0,6.0
2024-08-06,direct,https://shop.example.org/imprint,329,10.0,3.0,2.0
2024-08-07,direct,https://shop.example.org/product?=,231,7.0,2.0,2.0
2024-08-08,direct,https://shop.example.org/product?=,343,10.0,3.0,2.0
2024-08-09,direct,https://shop.example.org/imprint,498,15.0,4.0,3.0
2024-08-10,direct,https://shop.example.org/imprint,854,26.0,8.0,6.0
2024-08-11,direct,https://shop.example.org/imprint,425,13.0,4.0,3.0
2024-08-12,direct,https://shop.example.org/imprint,351,11.0,3.0,2.0
2024-08-13,direct,https://shop.example.org/product?=,775,23.0,7.0,5.0
2024-08-14,direct,https://shop.example.org/imprint,264,8.0,2.0,2.0
2024-08-15,direct,https://shop.example.org/product?=,409,12.0,4.0,3.0
2024-08-16,direct,https://shop.example.org/imprint,378,11.0,3.0,2.0
2024-08-17,direct,https://shop.example.org/imprint,739,22.0,7.0,5.0
2024-08-18,direct,https://shop.example.org/imprint,519,16.0,5.0,4.0
2024-08-19,direct,https://shop.example.org/product?=,926,28.0,8.0,6.0
2024-08-20,direct,https://shop.example.org/imprint,515,15.0,4.0,3.0
2024-08-21,direct,https://shop.example.org/product?=,239,7.0,2.0,2.0
2024-08-22,direct,https://shop.example.org/imprint,185,6.0,2.0,2.0
2024-08-23,direct,https://shop.example.org/product?=,242,7.0,2.0,2.0
2024-08-24,direct,https://shop.example.org/imprint,713,21.0,6.0,5.0
2024-08-25,direct,https://shop.example.org/imprint,436,13.0,4.0,3.0
2024-08-26,direct,https://shop.example.org/product?=,876,26.0,8.0,6.0
2024-08-27,direct,https://shop.example.org/imprint,662,20.0,6.0,5.0
2024-08-28,direct,https://shop.example.org/product?=,684,21.0,6.0,5.0
2024-08-29,direct,https://shop.example.org/product?=,807,24.0,7.0,5.0
2024-08-30,direct,https://shop.example.org/imprint,309,9.0,3.0,2.0
2024-08-31,direct,https://shop.example.org/imprint,209,6.0,2.0,2.0
2024-09-01,direct,https://shop.example.org/product?=,984,30.0,9.0,7.0
2024-09-02,direct,https://shop.example.org/imprint,980,29.0,9.0,7.0
2024-09-03,direct,https://shop.example.org/imprint,138,4.0,1.0,1.0
2024-09-04,direct,https://shop.example.org/product?=,498,15.0,4.0,3.0
2024-09-05,direct,https://shop.example.org/product?=,821,25.0,8.0,6.0
2024-09-06,direct,https://shop.example.org/imprint,685,21.0,6.0,5.0
2024-09-07,direct,https://shop.example.org/imprint,191,6.0,2.0,2.0
2024-09-08,direct,https://shop.example.org/product?=,808,24.0,7.0,5.0
2024-09-09,direct,https://shop.example.org/product?=,356,11.0,3.0,2.0
2024-09-10,direct,https://shop.example.org/imprint,341,10.0,3.0,2.0
2024-09-11,direct,https://shop.example.org/imprint,761,23.0,7.0,5.0
2024-09-12,direct,https://shop.example.org/product?=,437,13.0,4.0,3.0
2024-09-13,direct,https://shop.example.org/imprint,385,12.0,4.0,3.0
2024-09-14,direct,https://shop.example.org/imprint,759,23.0,7.0,5.0
2024-09-15,direct,https://shop.example.org/product?=,401,12.0,4.0,3.0
2024-09-16,direct,https://shop.example.org/product?=,893,27.0,8.0,6.0
2024-09-17,direct,https://shop.example.org/product?=,944,28.0,8.0,6.0
2024-09-18,direct,https://shop.example.org/product?=,1029,31.0,9.0,7.0
2024-09-19,direct,https://shop.example.org/product?=,933,28.0,8.0,6.0
2024-09-20,direct,https://shop.example.org/product?=,124,4.0,1.0,1.0
2024-09-21,direct,https://shop.example.org/imprint,218,7.0,2.0,2.0
2024-09-22,direct,https://shop.example.org/product?=,568,17.0,5.0,4.0
2024-09-23,direct,https://shop.example.org/product?=,1025,31.0,9.0,7.0
2024-09-24,direct,https://shop.example.org/product?=,952,29.0,9.0,7.0
2024-09-25,direct,https://shop.example.org/product?=,364,11.0,3.0,2.0
2024-09-26,direct,https://shop.example.org/imprint,1008,30.0,9.0,7.0
2024-09-27,direct,https://shop.example.org/imprint,996,30.0,9.0,7.0
2024-09-28,direct,https://shop.example.org/product?=,991,30.0,9.0,7.0
2024-09-29,direct,https://shop.example.org/imprint,198,6.0,2.0,2.0
2024-09-30,direct,https://shop.example.org/imprint,661,20.0,6.0,5.0
2024-10-01,direct,https://shop.example.org/imprint,1024,31.0,9.0,7.0
2024-10-02,direct,https://shop.example.org/imprint,951,29.0,9.0,7.0
2024-10-03,direct,https://shop.example.org/imprint,287,9.0,3.0,2.0
2024-10-04,direct,https://shop.example.org/product?=,710,21.0,6.0,5.0
2024-10-05,direct,https://shop.example.org/product?=,354,11.0,3.0,2.0
2024-10-06,direct,https://shop.example.org/imprint,958,29.0,9.0,7.0
2024-10-07,direct,https://shop.example.org/imprint,591,18.0,5.0,4.0
2024-10-08,direct,https://shop.example.org/imprint,650,20.0,6.0,5.0
2024-10-09,direct,https://shop.example.org/imprint,599,18.0,5.0,4.0
2024-10-10,direct,https://shop.example.org/imprint,849,25.0,8.0,6.0
2024-10-11,direct,https://shop.example.org/imprint,603,18.0,5.0,4.0
2024-10-12,direct,https://shop.example.org/imprint,505,15.0,4.0,3.0
2024-10-13,direct,https://shop.example.org/imprint,661,20.0,6.0,5.0
2024-10-14,direct,https://shop.example.org/imprint,815,24.0,7.0,5.0
2024-10-15,direct,https://shop.example.org/imprint,524,16.0,5.0,4.0
2024-10-16,direct,https://shop.example.org/product?=,477,14.0,4.0,3.0
2024-10-17,direct,https://shop.example.org/product?=,502,15.0,4.0,3.0
2024-10-18,direct,https://shop.example.org/imprint,618,19.0,6.0,5.0
2024-10-19,direct,https://shop.example.org/imprint,174,5.0,2.0,2.0
2024-10-20,direct,https://shop.example.org/product?=,447,13.0,4.0,3.0
2024-10-21,direct,https://shop.example.org/imprint,808,24.0,7.0,5.0
2024-10-22,direct,https://shop.example.org/product?=,976,29.0,9.0,7.0
2024-10-23,direct,https://shop.example.org/product?=,679,20.0,6.0,5.0
2024-10-24,direct,https://shop.example.org/imprint,844,25.0,8.0,6.0
2024-10-25,direct,https://shop.example.org/imprint,274,8.0,2.0,2.0
2024-10-26,direct,https://shop.example.org/imprint,905,27.0,8.0,6.0
2024-10-27,direct,https://shop.example.org/imprint,311,9.0,3.0,2.0
2024-10-28,direct,https://shop.example.org/imprint,733,22.0,7.0,5.0
2024-10-29,direct,https://shop.example.org/imprint,767,23.0,7.0,5.0
2024-10-30,direct,https://shop.example.org/product?=,170,5.0,2.0,2.0
2024-10-31,direct,https://shop.example.org/imprint,623,19.0,6.0,5.0
2024-11-01,direct,https://shop.example.org/imprint,959,29.0,9.0,7.0
2024-11-02,direct,https://shop.example.org/imprint,674,20.0,6.0,5.0
2024-11-03,direct,https://shop.example.org/product?=,633,19.0,6.0,5.0
2024-11-04,direct,https://shop.example.org/imprint,373,11.0,3.0,2.0
2024-11-05,direct,https://shop.example.org/imprint,886,27.0,8.0,6.0
2024-11-06,direct,https://shop.example.org/imprint,486,15.0,4.0,3.0
2024-11-07,direct,https://shop.example.org/imprint,634,19.0,6.0,5.0
2024-11-08,direct,https://shop.example.org/imprint,244,7.0,2.0,2.0
2024-11-09,direct,https://shop.example.org/product?=,653,20.0,6.0,5.0
2024-11-10,direct,https://shop.example.org/imprint,767,23.0,7.0,5.0
2024-11-11,direct,https://shop.example.org/imprint,179,5.0,2.0,2.0
2024-11-12,direct,https://shop.example.org/product?=,264,8.0,2.0,2.0
2024-11-13,direct,https://shop.example.org/imprint,186,6.0,2.0,2.0
2024-11-14,direct,https://shop.example.org/product?=,1000,30.0,9.0,7.0
2024-11-15,direct,https://shop.example.org/imprint,358,11.0,3.0,2.0
2024-11-16,direct,https://shop.example.org/imprint,371,11.0,3.0,2.0
2024-11-17,direct,https://shop.example.org/imprint,618,19.0,6.0,5.0
2024-11-18,direct,https://shop.example.org/imprint,157,5.0,2.0,2.0
2024-11-19,direct,https://shop.example.org/product?=,422,13.0,4.0,3.0
2024-11-20,direct,https://shop.example.org/product?=,957,29.0,9.0,7.0
2024-11-21,direct,https://shop.example.org/imprint,972,29.0,9.0,7.0
2024-11-22,direct,https://shop.example.org/imprint,745,22.0,7.0,5.0
2024-11-23,direct,https://shop.example.org/product?=,817,25.0,8.0,6.0
2024-11-24,direct,https://shop.example.org/imprint,699,21.0,6.0,5.0
2024-11-25,direct,https://shop.example.org/imprint,378,11.0,3.0,2.0
2024-11-26,direct,https://shop.example.org/product?=,625,19.0,6.0,5.0
2024-11-27,direct,https://shop.example.org/product?=,503,15.0,4.0,3.0
2024-11-28,direct,https://shop.example.org/imprint,930,28.0,8.0,6.0
2024-11-29,direct,https://shop.example.org/product?=,1012,30.0,9.0,7.0
