date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,duckduckgo,https://shop.example.org/imprint,652,13.0,2.0,1.0
2024-08-02,duckduckgo,https://shop.example.org/imprint,638,13.0,2.0,1.0
2024-08-03,duckduckgo,https://shop.example.org/imprint,245,5.0,1.0,1.0
2024-08-04,duckduckgo,https://shop.example.org/imprint,230,5.0,1.0,1.0
2024-08-05,duckduckgo,https://shop.example.org/product?=,819,16.0,2.0,1.0
2024-08-06,duckduckgo,https://shop.example.org/product?=,969,19.0,2.0,1.0
2024-08-07,duckduckgo,https://shop.example.org/imprint,674,13.0,2.0,1.0
2024-08-08,duckduckgo,https://shop.example.org/imprint,602,12.0,2.0,1.0
2024-08-09,duckduckgo,https://shop.example.org/imprint,586,12.0,2.0,1.0
2024-08-10,duckduckgo,https://shop.example.org/product?=,404,8.0,1.0,1.0
2024-08-11,duckduckgo,https://shop.example.org/imprint,879,18.0,2.0,1.0
2024-08-12,duckduckgo,https://shop.example.org/imprint,478,10.0,1.0,1.0
2024-08-13,duckduckgo,https://shop.example.org/product?=,694,14.0,2.0,1.0
2024-08-14,duckduckgo,https://shop.example.org/product?=,927,19.0,2.0,1.0
2024-08-15,duckduckgo,https://shop.example.org/product?=,766,15.0,2.0,1.0
2024-08-16,duckduckgo,https://shop.example.org/imprint,822,16.0,2.0,1.0
2024-08-17,duckduckgo,https://shop.example.org/product?=,823,16.0,2.0,1.0
2024-08-18,duckduckgo,https://shop.example.org/imprint,559,11.0,1.0,1.0
2024-08-19,duckduckgo,https://shop.example.org/product?=,560,11.0,1.0,1.0
2024-08-20,duckduckgo,https://shop.example.org/product?=,860,17.0,2.0,1.0
2024-08-21,duckduckgo,https://shop.example.org/imprint,284,6.0,1.0,1.0
2024-08-22,duckduckgo,https://shop.example.org/imprint,727,15.0,2.0,1.0
2024-08-23,duckduckgo,https://shop.example.org/product?=,452,9.0,1.0,1.0
2024-08-24,duckduckgo,https://shop.example.org/product?=,831,17.0,2.0,1.0
2024-08-25,duckduckgo,https://shop.example.org/imprint,279,6.0,1.0,1.0
2024-08-26,duckduckgo,https://shop.example.org/imprint,174,3.0,0.0,0.0
2024-08-27,duckduckgo,https://shop.example.org/product?=,934,19.0,2.0,1.0
2024-08-28,duckduckgo,https://shop.example.org/product?=,408,8.0,1.0,1.0
2024-08-29,duckduckgo,https://shop.example.org/imprint,376,8.0,1.0,1.0
2024-08-30,duckduckgo,https://shop.example.org/product?=,665,13.0,2.0,1.0
2024-08-31,duckduckgo,https://shop.example.org/product?=,320,6.0,1.0,1.0
2024-09-01,duckduckgo,https://shop.example.org/product?=,509,10.0,1.0,1.0
2024-09-02,duckduckgo,https://shop.example.org/product?=,404,8.0,1.0,1.0
2024-09-03,duckduckgo,https://shop.example.org/imprint,141,3.0,0.0,0.0
2024-09-04,duckduckgo,https://shop.example.org/product?=,445,9.0,1.0,1.0
2024-09-05,duckduckgo,https://shop.example.org/product?=,328,7.0,1.0,1.0
2024-09-06,duckduckgo,https://shop.example.org/imprint,495,10.0,1.0,1.0
2024-09-07,duckduckgo,https://shop.example.org/product?=,666,13.0,2.0,1.0
2024-09-08,duckduckgo,https://shop.example.org/product?=,777,16.0,2.0,1.0
2024-09-09,duckduckgo,https://shop.example.org/imprint,150,3.0,0.0,0.0
2024-09-10,duckduckgo,https://shop.example.org/imprint,270,5.0,1.0,1.0
2024-09-11,duckduckgo,https://shop.example.org/imprint,885,18.0,2.0,1.0
2024-09-12,duckduckgo,https://shop.example.org/product?=,710,14.0,2.0,1.0
2024-09-13,duckduckgo,https://shop.example.org/product?=,133,3.0,0.0,0.0
2024-09-14,duckduckgo,https://shop.example.org/imprint,532,11.0,1.0,1.0
2024-09-15,duckduckgo,https://shop.example.org/imprint,222,4.0,1.0,1.0
2024-09-16,duckduckgo,https://shop.example.org/imprint,340,7.0,1.0,1.0
2024-09-17,duckduckgo,https://shop.example.org/imprint,894,18.0,2.0,1.0
2024-09-18,duckduckgo,https://shop.example.org/product?=,695,14.0,2.0,1.0
2024-09-19,duckduckgo,https://shop.example.org/product?=,678,14.0,2.0,1.0
2024-09-20,duckduckgo,https://shop.example.org/imprint,933,19.0,2.0,1.0
2024-09-21,duckduckgo,https://shop.example.org/product?=,457,9.0,1.0,1.0
2024-09-22,duckduckgo,https://shop.example.org/product?=,1047,21.0,3.0,2.0
2024-09-23,duckduckgo,https://shop.example.org/product?=,456,9.0,1.0,1.0
2024-09-24,duckduckgo,https://shop.example.org/product?=,1049,21.0,3.0,2.0
2024-09-25,duckduckgo,https://shop.example.org/product?=,992,20.0,3.0,2.0
2024-09-26,duckduckgo,https://shop.example.org/imprint,631,13.0,2.0,1.0
2024-09-27,duckduckgo,https://shop.example.org/product?=,333,7.0,1.0,1.0
2024-09-28,duckduckgo,https://shop.example.org/imprint,180,4.0,1.0,1.0
2024-09-29,duckduckgo,https://shop.example.org/imprint,562,11.0,1.0,1.0
2024-09-30,duckduckgo,https://shop.example.org/imprint,734,15.0,2.0,1.0
2024-10-01,duckduckgo,https://shop.example.org/imprint,329,7.0,1.0,1.0
2024-10-02,duckduckgo,https://shop.example.org/imprint,283,6.0,1.0,1.0
2024-10-03,duckduckgo,https://shop.example.org/product?=,438,9.0,1.0,1.0
2024-10-04,duckduckgo,https://shop.example.org/imprint,274,5.0,1.0,1.0
2024-10-05,duckduckgo,https://shop.example.org/imprint,859,17.0,2.0,1.0
2024-10-06,duckduckgo,https://shop.example.org/product?=,195,4.0,1.0,1.0
2024-10-07,duckduckgo,https://shop.example.org/imprint,499,10.0,1.0,1.0
2024-10-08,duckduckgo,https://shop.example.org/product?=,1006,20.0,3.0,2.0
2024-10-09,duckduckgo,https://shop.example.org/product?=,711,14.0,2.0,1.0
2024-10-10,duckduckgo,https://shop.example.org/product?=,336,7.0,1.0,1.0
2024-10-11,duckduckgo,https://shop.example.org/imprint,550,11.0,1.0,1.0
2024-10-12,duckduckgo,https://shop.example.org/product?=,698,14.0,2.0,1.0
