date,event_type,count
2019-12-01,cart,6095
2019-12-01,purchase,2109
2019-12-01,view,168118
2019-12-02,cart,5795
2019-12-02,purchase,2106
2019-12-02,view,159547
2019-12-03,cart,5045
2019-12-03,purchase,1816
2019-12-03,view,156745
2019-12-04,cart,5030
2019-12-04,purchase,1941
2019-12-04,view,150746
2019-12-05,cart,5188
2019-12-05,purchase,1950
2019-12-05,view,160139
2019-12-06,cart,5554
2019-12-06,purchase,1904
2019-12-06,view,166375
2019-12-07,cart,5546
2019-12-07,purchase,1787
2019-12-07,view,171931
2019-12-08,cart,5254
2019-12-08,purchase,1720
2019-12-08,view,174874
2019-12-09,cart,5574
2019-12-09,purchase,1923
2019-12-09,view,163537
2019-12-10,cart,5555
2019-12-10,purchase,1876
2019-12-10,view,165781
2019-12-11,cart,5672
2019-12-11,purchase,1866
2019-12-11,view,162642
2019-12-12,cart,5589
2019-12-12,purchase,1851
2019-12-12,view,163775
2019-12-13,cart,5661
2019-12-13,purchase,1871
2019-12-13,view,159506
2019-12-14,cart,5548
2019-12-14,purchase,1807
2019-12-14,view,171054
2019-12-15,cart,7565
2019-12-15,purchase,2549
2019-12-15,view,209142
2019-12-16,cart,10873
2019-12-16,purchase,3990
2019-12-16,view,216097
