date,event_type,count
2019-11-01,cart,15241
2019-11-01,purchase,12762
2019-11-01,view,507369
2019-11-02,cart,15542
2019-11-02,purchase,12017
2019-11-02,view,537065
2019-11-03,cart,16250
2019-11-03,purchase,12560
2019-11-03,view,550431
2019-11-04,cart,17185
2019-11-04,purchase,14381
2019-11-04,view,609159
2019-11-05,cart,15224
2019-11-05,purchase,12914
2019-11-05,view,564920
2019-11-06,cart,15709
2019-11-06,purchase,13399
2019-11-06,view,560922
2019-11-07,cart,15517
2019-11-07,purchase,12874
2019-11-07,view,588852
2019-11-08,cart,37502
2019-11-08,purchase,14358
2019-11-08,view,625416
2019-11-09,cart,33233
2019-11-09,purchase,12539
2019-11-09,view,618966
2019-11-10,cart,33136
2019-11-10,purchase,12233
2019-11-10,view,641483
2019-11-11,cart,34767
2019-11-11,purchase,13293
2019-11-11,view,649612
2019-11-12,cart,33296
2019-11-12,purchase,12518
2019-11-12,view,649096
2019-11-13,cart,35626
2019-11-13,purchase,12822
2019-11-13,view,674114
2019-11-14,cart,91733
2019-11-14,purchase,12722
2019-11-14,view,1047870
2019-11-15,cart,243222
2019-11-15,view,1854033
2019-11-16,cart,194950
2019-11-16,purchase,35791
2019-11-16,view,1855277
2019-11-17,cart,193441
2019-11-17,purchase,87923
2019-11-17,view,1712666
2019-11-18,cart,41187
2019-11-18,purchase,16128
2019-11-18,view,665910
2019-11-19,cart,35521
2019-11-19,purchase,14164
2019-11-19,view,569019
2019-11-20,cart,34274
2019-11-20,purchase,13717
2019-11-20,view,545347
2019-11-21,cart,33832
2019-11-21,purchase,13381
2019-11-21,view,524880
2019-11-22,cart,33441
2019-11-22,purchase,13249
2019-11-22,view,511444
2019-11-23,cart,32172
2019-11-23,purchase,12596
2019-11-23,view,531863
2019-11-24,cart,32974
2019-11-24,purchase,12972
2019-11-24,view,542547
2019-11-25,cart,33051
2019-11-25,purchase,13343
2019-11-25,view,526334
2019-11-26,cart,34602
2019-11-26,purchase,13379
2019-11-26,view,531682
2019-11-27,cart,35298
2019-11-27,purchase,13701
2019-11-27,view,537443
2019-11-28,cart,35886
2019-11-28,purchase,13896
2019-11-28,view,563053
2019-11-29,cart,48529
2019-11-29,purchase,18771
2019-11-29,view,665117
2019-11-30,cart,41611
2019-11-30,purchase,16116
2019-11-30,view,611732
