date,event_type,count
2020-04-01,cart,12113
2020-04-01,purchase,3878
2020-04-01,view,259946
2020-04-02,cart,11856
2020-04-02,purchase,3915
2020-04-02,view,237065
2020-04-03,cart,10493
2020-04-03,purchase,3400
2020-04-03,view,218401
2020-04-04,cart,7996
2020-04-04,purchase,2489
2020-04-04,view,178833
2020-04-05,cart,7282
2020-04-05,purchase,2153
2020-04-05,view,177523
2020-04-06,cart,7677
2020-04-06,purchase,2313
2020-04-06,view,176880
2020-04-07,cart,6683
2020-04-07,purchase,1908
2020-04-07,view,172241
2020-04-08,cart,7359
2020-04-08,purchase,2207
2020-04-08,view,190174
2020-04-09,cart,7142
2020-04-09,purchase,2179
2020-04-09,view,189276
2020-04-10,cart,8084
2020-04-10,purchase,2522
2020-04-10,view,199976
2020-04-11,cart,8166
2020-04-11,purchase,2473
2020-04-11,view,202012
2020-04-12,cart,7303
2020-04-12,purchase,2340
2020-04-12,view,192110
2020-04-13,cart,8094
2020-04-13,purchase,2442
2020-04-13,view,209053
2020-04-14,cart,7945
2020-04-14,purchase,2411
2020-04-14,view,189781
2020-04-15,cart,10195
2020-04-15,purchase,3059
2020-04-15,view,231622
2020-04-16,cart,9534
2020-04-16,purchase,2923
2020-04-16,view,234445
2020-04-17,cart,9706
2020-04-17,purchase,3016
2020-04-17,view,229835
2020-04-18,cart,8583
2020-04-18,purchase,2603
2020-04-18,view,213140
2020-04-19,cart,7762
2020-04-19,purchase,2274
2020-04-19,view,183661
2020-04-20,cart,8433
2020-04-20,view,206248
2020-04-21,cart,8684
2020-04-21,purchase,6
2020-04-21,view,208576
2020-04-22,cart,9112
2020-04-22,purchase,3041
2020-04-22,view,217594
2020-04-23,cart,8913
2020-04-23,purchase,3056
2020-04-23,view,224568
2020-04-24,cart,9380
2020-04-24,purchase,3226
2020-04-24,view,230776
2020-04-25,cart,8890
2020-04-25,purchase,3032
2020-04-25,view,229852
2020-04-26,cart,8181
2020-04-26,purchase,2773
2020-04-26,view,231654
2020-04-27,cart,8595
2020-04-27,purchase,3097
2020-04-27,view,214348
2020-04-28,cart,8189
2020-04-28,purchase,2818
2020-04-28,view,226006
2020-04-29,cart,8259
2020-04-29,purchase,2910
2020-04-29,view,238242
2020-04-30,cart,7518
2020-04-30,purchase,2826
2020-04-30,view,231285
