date,event_type,count
2020-02-01,cart,14267
2020-02-01,purchase,2085
2020-02-01,view,184983
2020-02-02,cart,11151
2020-02-02,purchase,2163
2020-02-02,view,175492
2020-02-03,cart,9621
2020-02-03,purchase,1898
2020-02-03,view,153958
2020-02-04,cart,8305
2020-02-04,purchase,1846
2020-02-04,view,156236
2020-02-05,cart,8227
2020-02-05,purchase,1982
2020-02-05,view,155556
2020-02-06,cart,7983
2020-02-06,purchase,1977
2020-02-06,view,156682
2020-02-07,cart,7523
2020-02-07,purchase,1872
2020-02-07,view,157620
2020-02-08,cart,6758
2020-02-08,purchase,1687
2020-02-08,view,154967
2020-02-09,cart,7104
2020-02-09,purchase,1799
2020-02-09,view,166148
2020-02-10,cart,7146
2020-02-10,purchase,3205
2020-02-10,view,169397
2020-02-11,cart,7500
2020-02-11,purchase,4345
2020-02-11,view,184119
2020-02-12,cart,12255
2020-02-12,purchase,7720
2020-02-12,view,242133
2020-02-13,cart,10259
2020-02-13,purchase,6512
2020-02-13,view,218777
2020-02-14,cart,8848
2020-02-14,purchase,5510
2020-02-14,view,185373
2020-02-15,cart,9624
2020-02-15,purchase,5519
2020-02-15,view,185263
2020-02-16,cart,10173
2020-02-16,purchase,6639
2020-02-16,view,216468
2020-02-17,cart,7346
2020-02-17,purchase,4444
2020-02-17,view,179306
2020-02-18,cart,6808
2020-02-18,purchase,2639
2020-02-18,view,188911
2020-02-19,cart,7132
2020-02-19,purchase,2226
2020-02-19,view,185223
2020-02-20,cart,7436
2020-02-20,purchase,2227
2020-02-20,view,185787
2020-02-21,cart,6672
2020-02-21,purchase,2082
2020-02-21,view,170555
2020-02-22,cart,6281
2020-02-22,purchase,1956
2020-02-22,view,173135
2020-02-23,cart,6362
2020-02-23,purchase,2130
2020-02-23,view,176202
2020-02-24,cart,5627
2020-02-24,purchase,1818
2020-02-24,view,156824
2020-02-25,cart,5835
2020-02-25,purchase,1964
2020-02-25,view,154602
2020-02-26,cart,5751
2020-02-26,purchase,1906
2020-02-26,view,162482
2020-02-27,cart,551
2020-02-27,purchase,1897
2020-02-27,view,15077
2020-02-28,cart,2855
2020-02-28,purchase,1844
2020-02-28,view,92871
2020-02-29,cart,3307
2020-02-29,purchase,1710
2020-02-29,view,107553
