date,event_type,count
2020-01-01,cart,3982
2020-01-01,purchase,237
2020-01-01,view,141007
2020-01-02,cart,4849
2020-01-02,view,158022
2020-01-03,cart,6265
2020-01-03,purchase,1729
2020-01-03,view,170444
2020-01-04,cart,5284
2020-01-04,purchase,2075
2020-01-04,view,169047
2020-01-05,cart,5011
2020-01-05,purchase,1898
2020-01-05,view,166781
2020-01-06,cart,4957
2020-01-06,purchase,1947
2020-01-06,view,158946
2020-01-07,cart,5097
2020-01-07,purchase,1885
2020-01-07,view,162275
2020-01-08,cart,4928
2020-01-08,purchase,1871
2020-01-08,view,153235
2020-01-09,cart,5005
2020-01-09,purchase,1882
2020-01-09,view,153905
2020-01-10,cart,5026
2020-01-10,purchase,1860
2020-01-10,view,154265
2020-01-11,cart,4834
2020-01-11,purchase,1876
2020-01-11,view,156780
2020-01-12,cart,5113
2020-01-12,purchase,1784
2020-01-12,view,158611
2020-01-13,cart,4389
2020-01-13,purchase,1754
2020-01-13,view,155210
2020-01-14,cart,4834
2020-01-14,purchase,1871
2020-01-14,view,157407
2020-01-15,cart,4976
2020-01-15,purchase,1969
2020-01-15,view,152034
2020-01-16,cart,5718
2020-01-16,purchase,2161
2020-01-16,view,175030
2020-01-17,cart,7532
2020-01-17,purchase,2648
2020-01-17,view,181907
2020-01-18,cart,7178
2020-01-18,purchase,2356
2020-01-18,view,192268
2020-01-19,cart,7060
2020-01-19,purchase,2398
2020-01-19,view,195169
2020-01-20,cart,6222
2020-01-20,purchase,2353
2020-01-20,view,166802
2020-01-21,cart,6047
2020-01-21,purchase,2175
2020-01-21,view,167565
2020-01-22,cart,5669
2020-01-22,purchase,2158
2020-01-22,view,153321
2020-01-23,cart,6019
2020-01-23,purchase,2315
2020-01-23,view,165665
2020-01-24,cart,5150
2020-01-24,purchase,2028
2020-01-24,view,156848
2020-01-25,cart,4964
2020-01-25,purchase,1842
2020-01-25,view,158504
2020-01-26,cart,5088
2020-01-26,purchase,1923
2020-01-26,view,167645
2020-01-27,cart,4734
2020-01-27,purchase,1811
2020-01-27,view,149747
2020-01-28,cart,4704
2020-01-28,purchase,1825
2020-01-28,view,151673
2020-01-29,cart,4519
2020-01-29,purchase,1864
2020-01-29,view,148168
2020-01-30,cart,11511
2020-01-30,purchase,1882
2020-01-30,view,149013
2020-01-31,cart,19778
2020-01-31,purchase,2281
2020-01-31,view,180516
