date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,fb werbung,https://shop.example.org/imprint,333,17.0,3.0,2.0
2024-08-02,fb werbung,https://shop.example.org/product?=,323,16.0,3.0,2.0
2024-08-03,fb werbung,https://shop.example.org/product?=,758,38.0,6.0,3.0
2024-08-04,fb werbung,https://shop.example.org/imprint,845,42.0,7.0,4.0
2024-08-05,fb werbung,https://shop.example.org/product?=,1028,51.0,8.0,4.0
2024-08-06,fb werbung,https://shop.example.org/product?=,254,13.0,2.0,1.0
2024-08-07,fb werbung,https://shop.example.org/product?=,637,32.0,5.0,3.0
2024-08-08,fb werbung,https://shop.example.org/product?=,821,41.0,7.0,4.0
2024-08-09,fb werbung,https://shop.example.org/product?=,357,18.0,3.0,2.0
2024-08-10,fb werbung,https://shop.example.org/product?=,185,9.0,1.0,1.0
2024-08-11,fb werbung,https://shop.example.org/imprint,367,18.0,3.0,2.0
2024-08-12,fb werbung,https://shop.example.org/imprint,553,28.0,4.0,2.0
2024-08-13,fb werbung,https://shop.example.org/imprint,774,39.0,6.0,3.0
2024-08-14,fb werbung,https://shop.example.org/product?=,599,30.0,5.0,3.0
2024-08-15,fb werbung,https://shop.example.org/product?=,661,33.0,5.0,3.0
2024-08-16,fb werbung,https://shop.example.org/product?=,191,10.0,2.0,1.0
2024-08-17,fb werbung,https://shop.example.org/product?=,181,9.0,1.0,1.0
2024-08-18,fb werbung,https://shop.example.org/imprint,692,35.0,6.0,3.0
2024-08-19,fb werbung,https://shop.example.org/imprint,758,38.0,6.0,3.0
2024-08-20,fb werbung,https://shop.example.org/imprint,782,39.0,6.0,3.0
2024-08-21,fb werbung,https://shop.example.org/product?=,209,10.0,2.0,1.0
2024-08-22,fb werbung,https://shop.example.org/imprint,399,20.0,3.0,2.0
2024-08-23,fb werbung,https://shop.example.org/product?=,235,12.0,2.0,1.0
2024-08-24,fb werbung,https://shop.example.org/product?=,528,26.0,4.0,2.0
2024-08-25,fb werbung,https://shop.example.org/imprint,439,22.0,4.0,2.0
2024-08-26,fb werbung,https://shop.example.org/product?=,302,15.0,2.0,1.0
2024-08-27,fb werbung,https://shop.example.org/imprint,774,39.0,6.0,3.0
2024-08-28,fb werbung,https://shop.example.org/product?=,264,13.0,2.0,1.0
2024-08-29,fb werbung,https://shop.example.org/product?=,785,39.0,6.0,3.0
2024-08-30,fb werbung,https://shop.example.org/imprint,900,45.0,7.0,4.0
2024-08-31,fb werbung,https://shop.example.org/product?=,243,12.0,2.0,1.0
2024-09-01,fb werbung,https://shop.example.org/product?=,800,40.0,6.0,3.0
2024-09-02,fb werbung,https://shop.example.org/product?=,501,25.0,4.0,2.0
2024-09-03,fb werbung,https://shop.example.org/product?=,437,22.0,4.0,2.0
2024-09-04,fb werbung,https://shop.example.org/imprint,663,33.0,5.0,3.0
2024-09-05,fb werbung,https://shop.example.org/product?=,543,27.0,4.0,2.0
2024-09-06,fb werbung,https://shop.example.org/product?=,471,24.0,4.0,2.0
2024-09-07,fb werbung,https://shop.example.org/product?=,1012,51.0,8.0,4.0
2024-09-08,fb werbung,https://shop.example.org/imprint,149,7.0,1.0,1.0
2024-09-09,fb werbung,https://shop.example.org/imprint,849,42.0,7.0,4.0
2024-09-10,fb werbung,https://shop.example.org/imprint,1031,52.0,8.0,4.0
2024-09-11,fb werbung,https://shop.example.org/imprint,644,32.0,5.0,3.0
2024-09-12,fb werbung,https://shop.example.org/imprint,393,20.0,3.0,2.0
2024-09-13,fb werbung,https://shop.example.org/product?=,556,28.0,4.0,2.0
2024-09-14,fb werbung,https://shop.example.org/product?=,499,25.0,4.0,2.0
2024-09-15,fb werbung,https://shop.example.org/imprint,705,35.0,6.0,3.0
2024-09-16,fb werbung,https://shop.example.org/product?=,385,19.0,3.0,2.0
2024-09-17,fb werbung,https://shop.example.org/product?=,916,46.0,7.0,4.0
2024-09-18,fb werbung,https://shop.example.org/product?=,528,26.0,4.0,2.0
2024-09-19,fb werbung,https://shop.example.org/product?=,857,43.0,7.0,4.0
2024-09-20,fb werbung,https://shop.example.org/imprint,600,30.0,5.0,3.0
2024-09-21,fb werbung,https://shop.example.org/imprint,397,20.0,3.0,2.0
2024-09-22,fb werbung,https://shop.example.org/imprint,242,12.0,2.0,1.0
2024-09-23,fb werbung,https://shop.example.org/product?=,466,23.0,4.0,2.0
2024-09-24,fb werbung,https://shop.example.org/imprint,423,21.0,3.0,2.0
2024-09-25,fb werbung,https://shop.example.org/imprint,364,18.0,3.0,2.0
2024-09-26,fb werbung,https://shop.example.org/product?=,505,25.0,4.0,2.0
2024-09-27,fb werbung,https://shop.example.org/imprint,679,34.0,5.0,3.0
2024-09-28,fb werbung,https://shop.example.org/product?=,606,30.0,5.0,3.0
2024-09-29,fb werbung,https://shop.example.org/imprint,456,23.0,4.0,2.0
2024-09-30,fb werbung,https://shop.example.org/imprint,458,23.0,4.0,2.0
2024-10-01,fb werbung,https://shop.example.org/imprint,296,15.0,2.0,1.0
2024-10-02,fb werbung,https://shop.example.org/imprint,816,41.0,7.0,4.0
2024-10-03,fb werbung,https://shop.example.org/imprint,165,8.0,1.0,1.0
2024-10-04,fb werbung,https://shop.example.org/product?=,158,8.0,1.0,1.0
2024-10-05,fb werbung,https://shop.example.org/product?=,842,42.0,7.0,4.0
2024-10-06,fb werbung,https://shop.example.org/imprint,966,48.0,8.0,4.0
2024-10-07,fb werbung,https://shop.example.org/product?=,540,27.0,4.0,2.0
2024-10-08,fb werbung,https://shop.example.org/imprint,503,25.0,4.0,2.0
2024-10-09,fb werbung,https://shop.example.org/imprint,502,25.0,4.0,2.0
2024-10-10,fb werbung,https://shop.example.org/imprint,1038,52.0,8.0,4.0
2024-10-11,fb werbung,https://shop.example.org/imprint,887,44.0,7.0,4.0
2024-10-12,fb werbung,https://shop.example.org/product?=,789,39.0,6.0,3.0
2024-10-13,fb werbung,https://shop.example.org/product?=,249,12.0,2.0,1.0
2024-10-14,fb werbung,https://shop.example.org/product?=,560,28.0,4.0,2.0
2024-10-15,fb werbung,https://shop.example.org/imprint,547,27.0,4.0,2.0
2024-10-16,fb werbung,https://shop.example.org/imprint,657,33.0,5.0,3.0
2024-10-17,fb werbung,https://shop.example.org/imprint,852,43.0,7.0,4.0
2024-10-18,fb werbung,https://shop.example.org/imprint,197,10.0,2.0,1.0
2024-10-19,fb werbung,https://shop.example.org/imprint,251,13.0,2.0,1.0
2024-10-20,fb werbung,https://shop.example.org/imprint,240,12.0,2.0,1.0
2024-10-21,fb werbung,https://shop.example.org/product?=,488,24.0,4.0,2.0
2024-10-22,fb werbung,https://shop.example.org/product?=,190,10.0,2.0,1.0
2024-10-23,fb werbung,https://shop.example.org/product?=,324,16.0,3.0,2.0
2024-10-24,fb werbung,https://shop.example.org/imprint,135,7.0,1.0,1.0
2024-10-25,fb werbung,https://shop.example.org/product?=,501,25.0,4.0,2.0
2024-10-26,fb werbung,https://shop.example.org/imprint,528,26.0,4.0,2.0
2024-10-27,fb werbung,https://shop.example.org/product?=,748,37.0,6.0,3.0
2024-10-28,fb werbung,https://shop.example.org/imprint,249,12.0,2.0,1.0
2024-10-29,fb werbung,https://shop.example.org/imprint,451,23.0,4.0,2.0
2024-10-30,fb werbung,https://shop.example.org/imprint,281,14.0,2.0,1.0
2024-10-31,fb werbung,https://shop.example.org/product?=,780,39.0,6.0,3.0
2024-11-01,fb werbung,https://shop.example.org/product?=,494,25.0,4.0,2.0
2024-11-02,fb werbung,https://shop.example.org/product?=,632,32.0,5.0,3.0
2024-11-03,fb werbung,https://shop.example.org/imprint,410,20.0,3.0,2.0
2024-11-04,fb werbung,https://shop.example.org/product?=,441,22.0,4.0,2.0
2024-11-05,fb werbung,https://shop.example.org/imprint,166,8.0,1.0,1.0
2024-11-06,fb werbung,https://shop.example.org/imprint,484,24.0,4.0,2.0
2024-11-07,fb werbung,https://shop.example.org/product?=,544,27.0,4.0,2.0
2024-11-08,fb werbung,https://shop.example.org/product?=,730,36.0,6.0,3.0
2024-11-09,fb werbung,https://shop.example.org/product?=,213,11.0,2.0,1.0
2024-11-10,fb werbung,https://shop.example.org/imprint,557,28.0,4.0,2.0
2024-11-11,fb werbung,https://shop.example.org/imprint,841,42.0,7.0,4.0
2024-11-12,fb werbung,https://shop.example.org/product?=,403,20.0,3.0,2.0
2024-11-13,fb werbung,https://shop.example.org/product?=,596,30.0,5.0,3.0
2024-11-14,fb werbung,https://shop.example.org/imprint,314,16.0,3.0,2.0
2024-11-15,fb werbung,https://shop.example.org/imprint,644,32.0,5.0,3.0
2024-11-16,fb werbung,https://shop.example.org/product?=,301,15.0,2.0,1.0
2024-11-17,fb werbung,https://shop.example.org/imprint,263,13.0,2.0,1.0
2024-11-18,fb werbung,https://shop.example.org/imprint,481,24.0,4.0,2.0
2024-11-19,fb werbung,https://shop.example.org/product?=,333,17.0,3.0,2.0
2024-11-20,fb werbung,https://shop.example.org/imprint,360,18.0,3.0,2.0
2024-11-21,fb werbung,https://shop.example.org/imprint,353,18.0,3.0,2.0
2024-11-22,fb werbung,https://shop.example.org/product?=,993,50.0,8.0,4.0
2024-11-23,fb werbung,https://shop.example.org/product?=,1025,51.0,8.0,4.0
2024-11-24,fb werbung,https://shop.example.org/imprint,271,14.0,2.0,1.0
