date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,force,https://shop.example.org/product?=,660,40.0,11.0,7.0
2024-08-02,force,https://shop.example.org/product?=,693,42.0,11.0,7.0
2024-08-03,force,https://shop.example.org/imprint,648,39.0,11.0,7.0
2024-08-04,force,https://shop.example.org/product?=,370,22.0,6.0,4.0
2024-08-05,force,https://shop.example.org/imprint,861,52.0,14.0,9.0
2024-08-06,force,https://shop.example.org/imprint,209,13.0,4.0,2.0
2024-08-07,force,https://shop.example.org/product?=,653,39.0,11.0,7.0
2024-08-08,force,https://shop.example.org/product?=,555,33.0,9.0,5.0
2024-08-09,force,https://shop.example.org/imprint,290,17.0,5.0,3.0
2024-08-10,force,https://shop.example.org/product?=,197,12.0,3.0,2.0
2024-08-11,force,https://shop.example.org/imprint,288,17.0,5.0,3.0
2024-08-12,force,https://shop.example.org/imprint,577,35.0,9.0,5.0
2024-08-13,force,https://shop.example.org/product?=,638,38.0,10.0,6.0
2024-08-14,force,https://shop.example.org/product?=,685,41.0,11.0,7.0
2024-08-15,force,https://shop.example.org/imprint,215,13.0,4.0,2.0
2024-08-16,force,https://shop.example.org/imprint,861,52.0,14.0,9.0
2024-08-17,force,https://shop.example.org/imprint,915,55.0,15.0,9.0
2024-08-18,force,https://shop.example.org/imprint,243,15.0,4.0,2.0
2024-08-19,force,https://shop.example.org/imprint,597,36.0,10.0,6.0
2024-08-20,force,https://shop.example.org/imprint,445,27.0,7.0,4.0
2024-08-21,force,https://shop.example.org/imprint,161,10.0,3.0,2.0
2024-08-22,force,https://shop.example.org/product?=,577,35.0,9.0,5.0
2024-08-23,force,https://shop.example.org/imprint,633,38.0,10.0,6.0
2024-08-24,force,https://shop.example.org/imprint,731,44.0,12.0,7.0
2024-08-25,force,https://shop.example.org/product?=,247,15.0,4.0,2.0
2024-08-26,force,https://shop.example.org/imprint,704,42.0,11.0,7.0
2024-08-27,force,https://shop.example.org/product?=,448,27.0,7.0,4.0
2024-08-28,force,https://shop.example.org/product?=,435,26.0,7.0,4.0
