date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,good-apps,https://shop.example.org/product?=,869,17.0,4.0,3.0
2024-08-02,good-apps,https://shop.example.org/product?=,818,16.0,4.0,3.0
2024-08-03,good-apps,https://shop.example.org/imprint,898,18.0,4.0,3.0
2024-08-04,good-apps,https://shop.example.org/product?=,636,13.0,3.0,2.0
2024-08-05,good-apps,https://shop.example.org/imprint,326,7.0,2.0,2.0
2024-08-06,good-apps,https://shop.example.org/imprint,589,12.0,3.0,2.0
2024-08-07,good-apps,https://shop.example.org/product?=,189,4.0,1.0,1.0
2024-08-08,good-apps,https://shop.example.org/product?=,381,8.0,2.0,2.0
2024-08-09,good-apps,https://shop.example.org/product?=,686,14.0,3.0,2.0
2024-08-10,good-apps,https://shop.example.org/imprint,644,13.0,3.0,2.0
2024-08-11,good-apps,https://shop.example.org/imprint,1049,21.0,5.0,4.0
2024-08-12,good-apps,https://shop.example.org/imprint,918,18.0,4.0,3.0
2024-08-13,good-apps,https://shop.example.org/product?=,855,17.0,4.0,3.0
2024-08-14,good-apps,https://shop.example.org/imprint,462,9.0,2.0,2.0
2024-08-15,good-apps,https://shop.example.org/product?=,731,15.0,3.0,2.0
2024-08-16,good-apps,https://shop.example.org/product?=,324,6.0,1.0,1.0
2024-08-17,good-apps,https://shop.example.org/imprint,720,14.0,3.0,2.0
2024-08-18,good-apps,https://shop.example.org/imprint,616,12.0,3.0,2.0
2024-08-19,good-apps,https://shop.example.org/product?=,241,5.0,1.0,1.0
2024-08-20,good-apps,https://shop.example.org/product?=,812,16.0,4.0,3.0
2024-08-21,good-apps,https://shop.example.org/product?=,484,10.0,2.0,2.0
2024-08-22,good-apps,https://shop.example.org/imprint,1054,21.0,5.0,4.0
2024-08-23,good-apps,https://shop.example.org/imprint,539,11.0,3.0,2.0
2024-08-24,good-apps,https://shop.example.org/imprint,709,14.0,3.0,2.0
2024-08-25,good-apps,https://shop.example.org/product?=,828,17.0,4.0,3.0
2024-08-26,good-apps,https://shop.example.org/product?=,802,16.0,4.0,3.0
2024-08-27,good-apps,https://shop.example.org/imprint,662,13.0,3.0,2.0
2024-08-28,good-apps,https://shop.example.org/product?=,946,19.0,4.0,3.0
2024-08-29,good-apps,https://shop.example.org/product?=,969,19.0,4.0,3.0
2024-08-30,good-apps,https://shop.example.org/imprint,126,3.0,1.0,1.0
2024-08-31,good-apps,https://shop.example.org/product?=,596,12.0,3.0,2.0
2024-09-01,good-apps,https://shop.example.org/imprint,543,11.0,3.0,2.0
2024-09-02,good-apps,https://shop.example.org/imprint,695,14.0,3.0,2.0
2024-09-03,good-apps,https://shop.example.org/imprint,571,11.0,3.0,2.0
2024-09-04,good-apps,https://shop.example.org/imprint,455,9.0,2.0,2.0
2024-09-05,good-apps,https://shop.example.org/imprint,1109,22.0,5.0,4.0
2024-09-06,good-apps,https://shop.example.org/imprint,990,20.0,5.0,4.0
2024-09-07,good-apps,https://shop.example.org/imprint,303,6.0,1.0,1.0
2024-09-08,good-apps,https://shop.example.org/product?=,1067,21.0,5.0,4.0
2024-09-09,good-apps,https://shop.example.org/product?=,996,20.0,5.0,4.0
2024-09-10,good-apps,https://shop.example.org/product?=,305,6.0,1.0,1.0
2024-09-11,good-apps,https://shop.example.org/product?=,1009,20.0,5.0,4.0
2024-09-12,good-apps,https://shop.example.org/product?=,759,15.0,3.0,2.0
2024-09-13,good-apps,https://shop.example.org/imprint,147,3.0,1.0,1.0
2024-09-14,good-apps,https://shop.example.org/imprint,857,17.0,4.0,3.0
2024-09-15,good-apps,https://shop.example.org/product?=,898,18.0,4.0,3.0
2024-09-16,good-apps,https://shop.example.org/imprint,933,19.0,4.0,3.0
2024-09-17,good-apps,https://shop.example.org/product?=,856,17.0,4.0,3.0
2024-09-18,good-apps,https://shop.example.org/product?=,979,20.0,5.0,4.0
2024-09-19,good-apps,https://shop.example.org/imprint,297,6.0,1.0,1.0
2024-09-20,good-apps,https://shop.example.org/product?=,405,8.0,2.0,2.0
2024-09-21,good-apps,https://shop.example.org/product?=,681,14.0,3.0,2.0
2024-09-22,good-apps,https://shop.example.org/product?=,600,12.0,3.0,2.0
2024-09-23,good-apps,https://shop.example.org/product?=,282,6.0,1.0,1.0
2024-09-24,good-apps,https://shop.example.org/imprint,1077,22.0,5.0,4.0
2024-09-25,good-apps,https://shop.example.org/product?=,1054,21.0,5.0,4.0
2024-09-26,good-apps,https://shop.example.org/product?=,847,17.0,4.0,3.0
2024-09-27,good-apps,https://shop.example.org/product?=,158,3.0,1.0,1.0
2024-09-28,good-apps,https://shop.example.org/imprint,1052,21.0,5.0,4.0
2024-09-29,good-apps,https://shop.example.org/product?=,223,4.0,1.0,1.0
2024-09-30,good-apps,https://shop.example.org/imprint,797,16.0,4.0,3.0
2024-10-01,good-apps,https://shop.example.org/product?=,238,5.0,1.0,1.0
2024-10-02,good-apps,https://shop.example.org/imprint,811,16.0,4.0,3.0
2024-10-03,good-apps,https://shop.example.org/product?=,846,17.0,4.0,3.0
2024-10-04,good-apps,https://shop.example.org/imprint,299,6.0,1.0,1.0
2024-10-05,good-apps,https://shop.example.org/imprint,246,5.0,1.0,1.0
2024-10-06,good-apps,https://shop.example.org/product?=,655,13.0,3.0,2.0
2024-10-07,good-apps,https://shop.example.org/imprint,402,8.0,2.0,2.0
2024-10-08,good-apps,https://shop.example.org/imprint,1038,21.0,5.0,4.0
2024-10-09,good-apps,https://shop.example.org/imprint,149,3.0,1.0,1.0
2024-10-10,good-apps,https://shop.example.org/product?=,936,19.0,4.0,3.0
2024-10-11,good-apps,https://shop.example.org/imprint,673,13.0,3.0,2.0
2024-10-12,good-apps,https://shop.example.org/imprint,686,14.0,3.0,2.0
2024-10-13,good-apps,https://shop.example.org/imprint,220,4.0,1.0,1.0
2024-10-14,good-apps,https://shop.example.org/imprint,696,14.0,3.0,2.0
2024-10-15,good-apps,https://shop.example.org/imprint,619,12.0,3.0,2.0
2024-10-16,good-apps,https://shop.example.org/product?=,718,14.0,3.0,2.0
2024-10-17,good-apps,https://shop.example.org/product?=,194,4.0,1.0,1.0
2024-10-18,good-apps,https://shop.example.org/product?=,351,7.0,2.0,2.0
2024-10-19,good-apps,https://shop.example.org/imprint,753,15.0,3.0,2.0
2024-10-20,good-apps,https://shop.example.org/product?=,340,7.0,2.0,2.0
2024-10-21,good-apps,https://shop.example.org/imprint,138,3.0,1.0,1.0
2024-10-22,good-apps,https://shop.example.org/product?=,382,8.0,2.0,2.0
2024-10-23,good-apps,https://shop.example.org/product?=,278,6.0,1.0,1.0
2024-10-24,good-apps,https://shop.example.org/product?=,221,4.0,1.0,1.0
2024-10-25,good-apps,https://shop.example.org/product?=,390,8.0,2.0,2.0
2024-10-26,good-apps,https://shop.example.org/imprint,1103,22.0,5.0,4.0
