date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,linkedin,https://shop.example.org/product?=,438,35.0,8.0,5.0
2024-08-02,linkedin,https://shop.example.org/imprint,190,15.0,4.0,3.0
2024-08-03,linkedin,https://shop.example.org/product?=,471,38.0,9.0,6.0
2024-08-04,linkedin,https://shop.example.org/product?=,533,43.0,10.0,6.0
2024-08-05,linkedin,https://shop.example.org/imprint,1090,87.0,21.0,13.0
2024-08-06,linkedin,https://shop.example.org/imprint,418,33.0,8.0,5.0
2024-08-07,linkedin,https://shop.example.org/imprint,315,25.0,6.0,4.0
2024-08-08,linkedin,https://shop.example.org/product?=,290,23.0,6.0,4.0
2024-08-09,linkedin,https://shop.example.org/product?=,348,28.0,7.0,4.0
2024-08-10,linkedin,https://shop.example.org/product?=,723,58.0,14.0,9.0
2024-08-11,linkedin,https://shop.example.org/product?=,736,59.0,14.0,9.0
2024-08-12,linkedin,https://shop.example.org/product?=,182,15.0,4.0,3.0
2024-08-13,linkedin,https://shop.example.org/product?=,599,48.0,12.0,8.0
2024-08-14,linkedin,https://shop.example.org/imprint,541,43.0,10.0,6.0
2024-08-15,linkedin,https://shop.example.org/product?=,444,36.0,9.0,6.0
2024-08-16,linkedin,https://shop.example.org/product?=,738,59.0,14.0,9.0
2024-08-17,linkedin,https://shop.example.org/imprint,346,28.0,7.0,4.0
2024-08-18,linkedin,https://shop.example.org/imprint,1021,82.0,20.0,13.0
2024-08-19,linkedin,https://shop.example.org/imprint,532,43.0,10.0,6.0
2024-08-20,linkedin,https://shop.example.org/imprint,811,65.0,16.0,10.0
2024-08-21,linkedin,https://shop.example.org/product?=,343,27.0,6.0,4.0
2024-08-22,linkedin,https://shop.example.org/imprint,656,52.0,12.0,8.0
2024-08-23,linkedin,https://shop.example.org/imprint,148,12.0,3.0,2.0
2024-08-24,linkedin,https://shop.example.org/imprint,514,41.0,10.0,6.0
2024-08-25,linkedin,https://shop.example.org/product?=,1012,81.0,19.0,12.0
2024-08-26,linkedin,https://shop.example.org/imprint,599,48.0,12.0,8.0
2024-08-27,linkedin,https://shop.example.org/imprint,762,61.0,15.0,10.0
2024-08-28,linkedin,https://shop.example.org/product?=,889,71.0,17.0,11.0
