date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,meta-sitelink-2,https://shop.example.org/imprint,824,58.0,19.0,16.0
2024-08-02,meta-sitelink-2,https://shop.example.org/imprint,989,69.0,22.0,19.0
2024-08-03,meta-sitelink-2,https://shop.example.org/product?=,125,9.0,3.0,3.0
2024-08-04,meta-sitelink-2,https://shop.example.org/imprint,356,25.0,8.0,7.0
2024-08-05,meta-sitelink-2,https://shop.example.org/product?=,904,63.0,20.0,17.0
2024-08-06,meta-sitelink-2,https://shop.example.org/imprint,590,41.0,13.0,11.0
2024-08-07,meta-sitelink-2,https://shop.example.org/imprint,973,68.0,22.0,19.0
2024-08-08,meta-sitelink-2,https://shop.example.org/product?=,810,57.0,18.0,15.0
2024-08-09,meta-sitelink-2,https://shop.example.org/product?=,312,22.0,7.0,6.0
2024-08-10,meta-sitelink-2,https://shop.example.org/imprint,1047,73.0,23.0,20.0
2024-08-11,meta-sitelink-2,https://shop.example.org/imprint,806,56.0,18.0,15.0
2024-08-12,meta-sitelink-2,https://shop.example.org/imprint,200,14.0,4.0,3.0
2024-08-13,meta-sitelink-2,https://shop.example.org/product?=,187,13.0,4.0,3.0
2024-08-14,meta-sitelink-2,https://shop.example.org/imprint,732,51.0,16.0,14.0
2024-08-15,meta-sitelink-2,https://shop.example.org/product?=,577,40.0,13.0,11.0
2024-08-16,meta-sitelink-2,https://shop.example.org/product?=,543,38.0,12.0,10.0
2024-08-17,meta-sitelink-2,https://shop.example.org/imprint,909,64.0,20.0,17.0
2024-08-18,meta-sitelink-2,https://shop.example.org/imprint,1066,75.0,24.0,21.0
2024-08-19,meta-sitelink-2,https://shop.example.org/imprint,526,37.0,12.0,10.0
2024-08-20,meta-sitelink-2,https://shop.example.org/product?=,450,32.0,10.0,9.0
2024-08-21,meta-sitelink-2,https://shop.example.org/product?=,964,67.0,21.0,18.0
2024-08-22,meta-sitelink-2,https://shop.example.org/product?=,805,56.0,18.0,15.0
2024-08-23,meta-sitelink-2,https://shop.example.org/imprint,723,51.0,16.0,14.0
2024-08-24,meta-sitelink-2,https://shop.example.org/imprint,481,34.0,11.0,9.0
2024-08-25,meta-sitelink-2,https://shop.example.org/product?=,238,17.0,5.0,4.0
2024-08-26,meta-sitelink-2,https://shop.example.org/product?=,132,9.0,3.0,3.0
2024-08-27,meta-sitelink-2,https://shop.example.org/product?=,301,21.0,7.0,6.0
2024-08-28,meta-sitelink-2,https://shop.example.org/product?=,869,61.0,20.0,17.0
2024-08-29,meta-sitelink-2,https://shop.example.org/imprint,415,29.0,9.0,8.0
2024-08-30,meta-sitelink-2,https://shop.example.org/imprint,590,41.0,13.0,11.0
2024-08-31,meta-sitelink-2,https://shop.example.org/imprint,171,12.0,4.0,3.0
2024-09-01,meta-sitelink-2,https://shop.example.org/product?=,162,11.0,4.0,3.0
2024-09-02,meta-sitelink-2,https://shop.example.org/imprint,1092,76.0,24.0,21.0
2024-09-03,meta-sitelink-2,https://shop.example.org/product?=,613,43.0,14.0,12.0
2024-09-04,meta-sitelink-2,https://shop.example.org/imprint,789,55.0,18.0,15.0
2024-09-05,meta-sitelink-2,https://shop.example.org/product?=,685,48.0,15.0,13.0
2024-09-06,meta-sitelink-2,https://shop.example.org/product?=,404,28.0,9.0,8.0
2024-09-07,meta-sitelink-2,https://shop.example.org/product?=,898,63.0,20.0,17.0
2024-09-08,meta-sitelink-2,https://shop.example.org/product?=,1063,74.0,24.0,21.0
2024-09-09,meta-sitelink-2,https://shop.example.org/imprint,127,9.0,3.0,3.0
2024-09-10,meta-sitelink-2,https://shop.example.org/product?=,989,69.0,22.0,19.0
2024-09-11,meta-sitelink-2,https://shop.example.org/imprint,764,53.0,17.0,15.0
2024-09-12,meta-sitelink-2,https://shop.example.org/imprint,367,26.0,8.0,7.0
2024-09-13,meta-sitelink-2,https://shop.example.org/product?=,874,61.0,20.0,17.0
2024-09-14,meta-sitelink-2,https://shop.example.org/imprint,822,58.0,19.0,16.0
2024-09-15,meta-sitelink-2,https://shop.example.org/product?=,331,23.0,7.0,6.0
2024-09-16,meta-sitelink-2,https://shop.example.org/product?=,1065,75.0,24.0,21.0
2024-09-17,meta-sitelink-2,https://shop.example.org/imprint,1023,72.0,23.0,20.0
2024-09-18,meta-sitelink-2,https://shop.example.org/product?=,918,64.0,20.0,17.0
2024-09-19,meta-sitelink-2,https://shop.example.org/product?=,154,11.0,4.0,3.0
2024-09-20,meta-sitelink-2,https://shop.example.org/imprint,897,63.0,20.0,17.0
2024-09-21,meta-sitelink-2,https://shop.example.org/product?=,428,30.0,10.0,9.0
2024-09-22,meta-sitelink-2,https://shop.example.org/product?=,753,53.0,17.0,15.0
2024-09-23,meta-sitelink-2,https://shop.example.org/imprint,985,69.0,22.0,19.0
2024-09-24,meta-sitelink-2,https://shop.example.org/product?=,494,35.0,11.0,9.0
2024-09-25,meta-sitelink-2,https://shop.example.org/imprint,578,40.0,13.0,11.0
2024-09-26,meta-sitelink-2,https://shop.example.org/product?=,974,68.0,22.0,19.0
2024-09-27,meta-sitelink-2,https://shop.example.org/imprint,517,36.0,12.0,10.0
2024-09-28,meta-sitelink-2,https://shop.example.org/imprint,581,41.0,13.0,11.0
2024-09-29,meta-sitelink-2,https://shop.example.org/product?=,136,10.0,3.0,3.0
2024-09-30,meta-sitelink-2,https://shop.example.org/imprint,783,55.0,18.0,15.0
2024-10-01,meta-sitelink-2,https://shop.example.org/product?=,859,60.0,19.0,16.0
2024-10-02,meta-sitelink-2,https://shop.example.org/imprint,817,57.0,18.0,15.0
2024-10-03,meta-sitelink-2,https://shop.example.org/product?=,934,65.0,21.0,18.0
2024-10-04,meta-sitelink-2,https://shop.example.org/imprint,129,9.0,3.0,3.0
2024-10-05,meta-sitelink-2,https://shop.example.org/imprint,828,58.0,19.0,16.0
2024-10-06,meta-sitelink-2,https://shop.example.org/product?=,665,47.0,15.0,13.0
2024-10-07,meta-sitelink-2,https://shop.example.org/product?=,1008,71.0,23.0,20.0
2024-10-08,meta-sitelink-2,https://shop.example.org/imprint,705,49.0,16.0,14.0
2024-10-09,meta-sitelink-2,https://shop.example.org/imprint,605,42.0,13.0,11.0
2024-10-10,meta-sitelink-2,https://shop.example.org/product?=,349,24.0,8.0,7.0
2024-10-11,meta-sitelink-2,https://shop.example.org/imprint,789,55.0,18.0,15.0
2024-10-12,meta-sitelink-2,https://shop.example.org/product?=,777,54.0,17.0,15.0
2024-10-13,meta-sitelink-2,https://shop.example.org/imprint,385,27.0,9.0,8.0
2024-10-14,meta-sitelink-2,https://shop.example.org/imprint,860,60.0,19.0,16.0
2024-10-15,meta-sitelink-2,https://shop.example.org/product?=,415,29.0,9.0,8.0
2024-10-16,meta-sitelink-2,https://shop.example.org/product?=,542,38.0,12.0,10.0
2024-10-17,meta-sitelink-2,https://shop.example.org/imprint,1052,74.0,24.0,21.0
2024-10-18,meta-sitelink-2,https://shop.example.org/imprint,773,54.0,17.0,15.0
2024-10-19,meta-sitelink-2,https://shop.example.org/product?=,383,27.0,9.0,8.0
2024-10-20,meta-sitelink-2,https://shop.example.org/imprint,484,34.0,11.0,9.0
2024-10-21,meta-sitelink-2,https://shop.example.org/imprint,548,38.0,12.0,10.0
2024-10-22,meta-sitelink-2,https://shop.example.org/imprint,349,24.0,8.0,7.0
2024-10-23,meta-sitelink-2,https://shop.example.org/imprint,829,58.0,19.0,16.0
2024-10-24,meta-sitelink-2,https://shop.example.org/imprint,318,22.0,7.0,6.0
2024-10-25,meta-sitelink-2,https://shop.example.org/imprint,874,61.0,20.0,17.0
2024-10-26,meta-sitelink-2,https://shop.example.org/product?=,181,13.0,4.0,3.0
2024-10-27,meta-sitelink-2,https://shop.example.org/imprint,820,57.0,18.0,15.0
2024-10-28,meta-sitelink-2,https://shop.example.org/imprint,924,65.0,21.0,18.0
2024-10-29,meta-sitelink-2,https://shop.example.org/product?=,1068,75.0,24.0,21.0
2024-10-30,meta-sitelink-2,https://shop.example.org/product?=,192,13.0,4.0,3.0
2024-10-31,meta-sitelink-2,https://shop.example.org/imprint,160,11.0,4.0,3.0
2024-11-01,meta-sitelink-2,https://shop.example.org/product?=,921,64.0,20.0,17.0
2024-11-02,meta-sitelink-2,https://shop.example.org/product?=,318,22.0,7.0,6.0
2024-11-03,meta-sitelink-2,https://shop.example.org/product?=,979,69.0,22.0,19.0
2024-11-04,meta-sitelink-2,https://shop.example.org/imprint,172,12.0,4.0,3.0
2024-11-05,meta-sitelink-2,https://shop.example.org/imprint,1048,73.0,23.0,20.0
2024-11-06,meta-sitelink-2,https://shop.example.org/product?=,946,66.0,21.0,18.0
2024-11-07,meta-sitelink-2,https://shop.example.org/product?=,660,46.0,15.0,13.0
2024-11-08,meta-sitelink-2,https://shop.example.org/product?=,641,45.0,14.0,12.0
2024-11-09,meta-sitelink-2,https://shop.example.org/product?=,308,22.0,7.0,6.0
2024-11-10,meta-sitelink-2,https://shop.example.org/product?=,982,69.0,22.0,19.0
2024-11-11,meta-sitelink-2,https://shop.example.org/product?=,185,13.0,4.0,3.0
2024-11-12,meta-sitelink-2,https://shop.example.org/imprint,204,14.0,4.0,3.0
2024-11-13,meta-sitelink-2,https://shop.example.org/product?=,592,41.0,13.0,11.0
2024-11-14,meta-sitelink-2,https://shop.example.org/product?=,583,41.0,13.0,11.0
2024-11-15,meta-sitelink-2,https://shop.example.org/product?=,858,60.0,19.0,16.0
2024-11-16,meta-sitelink-2,https://shop.example.org/imprint,468,33.0,11.0,9.0
2024-11-17,meta-sitelink-2,https://shop.example.org/imprint,654,46.0,15.0,13.0
2024-11-18,meta-sitelink-2,https://shop.example.org/imprint,840,59.0,19.0,16.0
2024-11-19,meta-sitelink-2,https://shop.example.org/imprint,921,64.0,20.0,17.0
2024-11-20,meta-sitelink-2,https://shop.example.org/imprint,313,22.0,7.0,6.0
2024-11-21,meta-sitelink-2,https://shop.example.org/product?=,435,30.0,10.0,9.0
2024-11-22,meta-sitelink-2,https://shop.example.org/product?=,372,26.0,8.0,7.0
2024-11-23,meta-sitelink-2,https://shop.example.org/imprint,269,19.0,6.0,5.0
2024-11-24,meta-sitelink-2,https://shop.example.org/imprint,770,54.0,17.0,15.0
2024-11-25,meta-sitelink-2,https://shop.example.org/imprint,381,27.0,9.0,8.0
2024-11-26,meta-sitelink-2,https://shop.example.org/product?=,164,11.0,4.0,3.0
2024-11-27,meta-sitelink-2,https://shop.example.org/imprint,232,16.0,5.0,4.0
2024-11-28,meta-sitelink-2,https://shop.example.org/product?=,460,32.0,10.0,9.0
2024-11-29,meta-sitelink-2,https://shop.example.org/product?=,831,58.0,19.0,16.0
2024-11-30,meta-sitelink-2,https://shop.example.org/product?=,612,43.0,14.0,12.0
2024-12-01,meta-sitelink-2,https://shop.example.org/product?=,1083,76.0,24.0,21.0
2024-12-02,meta-sitelink-2,https://shop.example.org/imprint,752,53.0,17.0,15.0
2024-12-03,meta-sitelink-2,https://shop.example.org/imprint,370,26.0,8.0,7.0
2024-12-04,meta-sitelink-2,https://shop.example.org/product?=,990,69.0,22.0,19.0
2024-12-05,meta-sitelink-2,https://shop.example.org/product?=,1079,76.0,24.0,21.0
