date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,meta,https://shop.example.org/product?=,408,33.0,8.0,5.0
2024-08-02,meta,https://shop.example.org/product?=,818,65.0,16.0,9.0
2024-08-03,meta,https://shop.example.org/product?=,795,64.0,16.0,9.0
2024-08-04,meta,https://shop.example.org/product?=,1098,88.0,22.0,13.0
2024-08-05,meta,https://shop.example.org/imprint,491,39.0,10.0,6.0
2024-08-06,meta,https://shop.example.org/imprint,240,19.0,5.0,3.0
2024-08-07,meta,https://shop.example.org/imprint,1089,87.0,22.0,13.0
2024-08-08,meta,https://shop.example.org/product?=,783,63.0,16.0,9.0
2024-08-09,meta,https://shop.example.org/imprint,825,66.0,16.0,9.0
2024-08-10,meta,https://shop.example.org/imprint,933,75.0,19.0,11.0
2024-08-11,meta,https://shop.example.org/product?=,673,54.0,14.0,8.0
2024-08-12,meta,https://shop.example.org/product?=,221,18.0,4.0,2.0
2024-08-13,meta,https://shop.example.org/product?=,436,35.0,9.0,5.0
2024-08-14,meta,https://shop.example.org/imprint,870,70.0,18.0,10.0
2024-08-15,meta,https://shop.example.org/product?=,186,15.0,4.0,2.0
2024-08-16,meta,https://shop.example.org/product?=,343,27.0,7.0,4.0
2024-08-17,meta,https://shop.example.org/imprint,898,72.0,18.0,10.0
2024-08-18,meta,https://shop.example.org/product?=,540,43.0,11.0,6.0
2024-08-19,meta,https://shop.example.org/product?=,366,29.0,7.0,4.0
2024-08-20,meta,https://shop.example.org/product?=,998,80.0,20.0,12.0
2024-08-21,meta,https://shop.example.org/product?=,777,62.0,16.0,9.0
2024-08-22,meta,https://shop.example.org/product?=,939,75.0,19.0,11.0
2024-08-23,meta,https://shop.example.org/product?=,239,19.0,5.0,3.0
2024-08-24,meta,https://shop.example.org/product?=,1043,83.0,21.0,12.0
2024-08-25,meta,https://shop.example.org/product?=,396,32.0,8.0,5.0
2024-08-26,meta,https://shop.example.org/product?=,886,71.0,18.0,10.0
2024-08-27,meta,https://shop.example.org/product?=,239,19.0,5.0,3.0
2024-08-28,meta,https://shop.example.org/imprint,680,54.0,14.0,8.0
2024-08-29,meta,https://shop.example.org/product?=,439,35.0,9.0,5.0
2024-08-30,meta,https://shop.example.org/imprint,403,32.0,8.0,5.0
2024-08-31,meta,https://shop.example.org/imprint,135,11.0,3.0,2.0
