date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,microsoft,https://shop.example.org/product?=,302,24.0,9.0,7.0
2024-08-02,microsoft,https://shop.example.org/imprint,239,19.0,7.0,5.0
2024-08-03,microsoft,https://shop.example.org/imprint,1020,82.0,30.0,22.0
2024-08-04,microsoft,https://shop.example.org/imprint,704,56.0,21.0,16.0
2024-08-05,microsoft,https://shop.example.org/product?=,255,20.0,7.0,5.0
2024-08-06,microsoft,https://shop.example.org/imprint,996,80.0,30.0,22.0
2024-08-07,microsoft,https://shop.example.org/imprint,303,24.0,9.0,7.0
2024-08-08,microsoft,https://shop.example.org/product?=,1056,84.0,31.0,23.0
2024-08-09,microsoft,https://shop.example.org/product?=,792,63.0,23.0,17.0
2024-08-10,microsoft,https://shop.example.org/imprint,233,19.0,7.0,5.0
2024-08-11,microsoft,https://shop.example.org/imprint,709,57.0,21.0,16.0
2024-08-12,microsoft,https://shop.example.org/imprint,415,33.0,12.0,9.0
2024-08-13,microsoft,https://shop.example.org/imprint,162,13.0,5.0,4.0
2024-08-14,microsoft,https://shop.example.org/product?=,816,65.0,24.0,18.0
2024-08-15,microsoft,https://shop.example.org/imprint,324,26.0,10.0,8.0
2024-08-16,microsoft,https://shop.example.org/imprint,485,39.0,14.0,10.0
2024-08-17,microsoft,https://shop.example.org/product?=,497,40.0,15.0,11.0
2024-08-18,microsoft,https://shop.example.org/product?=,715,57.0,21.0,16.0
2024-08-19,microsoft,https://shop.example.org/product?=,1034,83.0,31.0,23.0
2024-08-20,microsoft,https://shop.example.org/product?=,491,39.0,14.0,10.0
2024-08-21,microsoft,https://shop.example.org/product?=,508,41.0,15.0,11.0
2024-08-22,microsoft,https://shop.example.org/product?=,975,78.0,29.0,22.0
2024-08-23,microsoft,https://shop.example.org/product?=,1048,84.0,31.0,23.0
2024-08-24,microsoft,https://shop.example.org/imprint,954,76.0,28.0,21.0
2024-08-25,microsoft,https://shop.example.org/imprint,256,20.0,7.0,5.0
2024-08-26,microsoft,https://shop.example.org/product?=,902,72.0,27.0,20.0
2024-08-27,microsoft,https://shop.example.org/imprint,551,44.0,16.0,12.0
2024-08-28,microsoft,https://shop.example.org/product?=,569,46.0,17.0,13.0
2024-08-29,microsoft,https://shop.example.org/imprint,1050,84.0,31.0,23.0
2024-08-30,microsoft,https://shop.example.org/imprint,924,74.0,27.0,20.0
2024-08-31,microsoft,https://shop.example.org/imprint,910,73.0,27.0,20.0
2024-09-01,microsoft,https://shop.example.org/imprint,400,32.0,12.0,9.0
2024-09-02,microsoft,https://shop.example.org/product?=,956,76.0,28.0,21.0
2024-09-03,microsoft,https://shop.example.org/product?=,663,53.0,20.0,15.0
2024-09-04,microsoft,https://shop.example.org/product?=,452,36.0,13.0,10.0
2024-09-05,microsoft,https://shop.example.org/product?=,774,62.0,23.0,17.0
2024-09-06,microsoft,https://shop.example.org/imprint,675,54.0,20.0,15.0
2024-09-07,microsoft,https://shop.example.org/imprint,624,50.0,18.0,14.0
2024-09-08,microsoft,https://shop.example.org/imprint,891,71.0,26.0,20.0
2024-09-09,microsoft,https://shop.example.org/product?=,276,22.0,8.0,6.0
2024-09-10,microsoft,https://shop.example.org/imprint,473,38.0,14.0,10.0
2024-09-11,microsoft,https://shop.example.org/product?=,258,21.0,8.0,6.0
2024-09-12,microsoft,https://shop.example.org/imprint,238,19.0,7.0,5.0
2024-09-13,microsoft,https://shop.example.org/imprint,395,32.0,12.0,9.0
2024-09-14,microsoft,https://shop.example.org/imprint,503,40.0,15.0,11.0
2024-09-15,microsoft,https://shop.example.org/product?=,402,32.0,12.0,9.0
2024-09-16,microsoft,https://shop.example.org/product?=,377,30.0,11.0,8.0
2024-09-17,microsoft,https://shop.example.org/product?=,851,68.0,25.0,19.0
2024-09-18,microsoft,https://shop.example.org/imprint,544,44.0,16.0,12.0
2024-09-19,microsoft,https://shop.example.org/product?=,1038,83.0,31.0,23.0
2024-09-20,microsoft,https://shop.example.org/imprint,257,21.0,8.0,6.0
2024-09-21,microsoft,https://shop.example.org/imprint,668,53.0,20.0,15.0
2024-09-22,microsoft,https://shop.example.org/product?=,854,68.0,25.0,19.0
2024-09-23,microsoft,https://shop.example.org/product?=,429,34.0,13.0,10.0
2024-09-24,microsoft,https://shop.example.org/imprint,251,20.0,7.0,5.0
2024-09-25,microsoft,https://shop.example.org/imprint,204,16.0,6.0,4.0
2024-09-26,microsoft,https://shop.example.org/product?=,201,16.0,6.0,4.0
2024-09-27,microsoft,https://shop.example.org/imprint,527,42.0,16.0,12.0
2024-09-28,microsoft,https://shop.example.org/imprint,1068,85.0,31.0,23.0
2024-09-29,microsoft,https://shop.example.org/product?=,656,52.0,19.0,14.0
2024-09-30,microsoft,https://shop.example.org/imprint,628,50.0,18.0,14.0
2024-10-01,microsoft,https://shop.example.org/product?=,821,66.0,24.0,18.0
2024-10-02,microsoft,https://shop.example.org/imprint,497,40.0,15.0,11.0
2024-10-03,microsoft,https://shop.example.org/product?=,541,43.0,16.0,12.0
2024-10-04,microsoft,https://shop.example.org/imprint,909,73.0,27.0,20.0
2024-10-05,microsoft,https://shop.example.org/product?=,1021,82.0,30.0,22.0
2024-10-06,microsoft,https://shop.example.org/imprint,436,35.0,13.0,10.0
2024-10-07,microsoft,https://shop.example.org/product?=,445,36.0,13.0,10.0
2024-10-08,microsoft,https://shop.example.org/product?=,209,17.0,6.0,4.0
2024-10-09,microsoft,https://shop.example.org/product?=,618,49.0,18.0,14.0
2024-10-10,microsoft,https://shop.example.org/imprint,572,46.0,17.0,13.0
2024-10-11,microsoft,https://shop.example.org/imprint,967,77.0,28.0,21.0
2024-10-12,microsoft,https://shop.example.org/product?=,274,22.0,8.0,6.0
2024-10-13,microsoft,https://shop.example.org/product?=,278,22.0,8.0,6.0
2024-10-14,microsoft,https://shop.example.org/imprint,983,79.0,29.0,22.0
2024-10-15,microsoft,https://shop.example.org/imprint,767,61.0,23.0,17.0
2024-10-16,microsoft,https://shop.example.org/imprint,379,30.0,11.0,8.0
2024-10-17,microsoft,https://shop.example.org/product?=,987,79.0,29.0,22.0
2024-10-18,microsoft,https://shop.example.org/product?=,222,18.0,7.0,5.0
2024-10-19,microsoft,https://shop.example.org/product?=,701,56.0,21.0,16.0
2024-10-20,microsoft,https://shop.example.org/product?=,437,35.0,13.0,10.0
2024-10-21,microsoft,https://shop.example.org/product?=,836,67.0,25.0,19.0
2024-10-22,microsoft,https://shop.example.org/imprint,493,39.0,14.0,10.0
2024-10-23,microsoft,https://shop.example.org/imprint,399,32.0,12.0,9.0
2024-10-24,microsoft,https://shop.example.org/product?=,674,54.0,20.0,15.0
2024-10-25,microsoft,https://shop.example.org/imprint,269,22.0,8.0,6.0
