Monat,Vertriebskanal,Bruttoumsatz
2024-11,CedCommerce eBay Integration,406.0
2024-11,Online Store,408.0
2024-12,Online Store,642.0
2025-01,CedCommerce eBay Integration,262.5
2025-02,CedCommerce eBay Integration,437.0
2025-02,Online Store,881.0
2025-03,CedCommerce eBay Integration,426.0
2025-03,Online Store,845.0
2025-04,CedCommerce eBay Integration,40.0
2025-04,Online Store,527.96
2025-05,CedCommerce eBay Integration,104.5
2025-05,Online Store,65.0
2025-06,Online Store,335.0
2025-07,CedCommerce eBay Integration,191.4
2025-07,Online Store,350.0
2025-08,CedCommerce eBay Integration,619.27
2025-08,Online Store,117.0
