date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,office,https://shop.example.org/product?=,1009,81.0,35.0,20.0
2024-08-02,office,https://shop.example.org/product?=,478,38.0,16.0,9.0
2024-08-03,office,https://shop.example.org/imprint,481,38.0,16.0,9.0
2024-08-04,office,https://shop.example.org/imprint,809,65.0,28.0,16.0
2024-08-05,office,https://shop.example.org/imprint,690,55.0,24.0,14.0
2024-08-06,office,https://shop.example.org/imprint,780,62.0,27.0,15.0
2024-08-07,office,https://shop.example.org/imprint,986,79.0,34.0,19.0
2024-08-08,office,https://shop.example.org/product?=,696,56.0,24.0,14.0
2024-08-09,office,https://shop.example.org/product?=,1107,89.0,38.0,22.0
2024-08-10,office,https://shop.example.org/imprint,838,67.0,29.0,17.0
2024-08-11,office,https://shop.example.org/product?=,821,66.0,28.0,16.0
2024-08-12,office,https://shop.example.org/product?=,877,70.0,30.0,17.0
2024-08-13,office,https://shop.example.org/product?=,380,30.0,13.0,7.0
2024-08-14,office,https://shop.example.org/imprint,177,14.0,6.0,3.0
2024-08-15,office,https://shop.example.org/product?=,768,61.0,26.0,15.0
2024-08-16,office,https://shop.example.org/imprint,662,53.0,23.0,13.0
2024-08-17,office,https://shop.example.org/product?=,552,44.0,19.0,11.0
2024-08-18,office,https://shop.example.org/imprint,679,54.0,23.0,13.0
2024-08-19,office,https://shop.example.org/imprint,358,29.0,12.0,7.0
2024-08-20,office,https://shop.example.org/product?=,455,36.0,15.0,9.0
2024-08-21,office,https://shop.example.org/product?=,365,29.0,12.0,7.0
2024-08-22,office,https://shop.example.org/imprint,953,76.0,33.0,19.0
2024-08-23,office,https://shop.example.org/product?=,430,34.0,15.0,9.0
2024-08-24,office,https://shop.example.org/imprint,651,52.0,22.0,13.0
2024-08-25,office,https://shop.example.org/product?=,327,26.0,11.0,6.0
2024-08-26,office,https://shop.example.org/product?=,1077,86.0,37.0,21.0
2024-08-27,office,https://shop.example.org/imprint,779,62.0,27.0,15.0
2024-08-28,office,https://shop.example.org/imprint,220,18.0,8.0,5.0
2024-08-29,office,https://shop.example.org/imprint,788,63.0,27.0,15.0
2024-08-30,office,https://shop.example.org/product?=,356,28.0,12.0,7.0
2024-08-31,office,https://shop.example.org/imprint,675,54.0,23.0,13.0
2024-09-01,office,https://shop.example.org/product?=,183,15.0,6.0,3.0
2024-09-02,office,https://shop.example.org/imprint,1060,85.0,37.0,21.0
2024-09-03,office,https://shop.example.org/product?=,694,56.0,24.0,14.0
2024-09-04,office,https://shop.example.org/imprint,796,64.0,28.0,16.0
2024-09-05,office,https://shop.example.org/product?=,836,67.0,29.0,17.0
2024-09-06,office,https://shop.example.org/product?=,881,70.0,30.0,17.0
2024-09-07,office,https://shop.example.org/imprint,325,26.0,11.0,6.0
2024-09-08,office,https://shop.example.org/imprint,491,39.0,17.0,10.0
2024-09-09,office,https://shop.example.org/product?=,717,57.0,25.0,14.0
2024-09-10,office,https://shop.example.org/product?=,1005,80.0,34.0,19.0
2024-09-11,office,https://shop.example.org/imprint,697,56.0,24.0,14.0
2024-09-12,office,https://shop.example.org/product?=,992,79.0,34.0,19.0
2024-09-13,office,https://shop.example.org/imprint,1116,89.0,38.0,22.0
2024-09-14,office,https://shop.example.org/product?=,387,31.0,13.0,7.0
2024-09-15,office,https://shop.example.org/product?=,154,12.0,5.0,3.0
2024-09-16,office,https://shop.example.org/imprint,218,17.0,7.0,4.0
2024-09-17,office,https://shop.example.org/imprint,1045,84.0,36.0,21.0
2024-09-18,office,https://shop.example.org/product?=,323,26.0,11.0,6.0
2024-09-19,office,https://shop.example.org/imprint,406,32.0,14.0,8.0
2024-09-20,office,https://shop.example.org/imprint,355,28.0,12.0,7.0
2024-09-21,office,https://shop.example.org/product?=,999,80.0,34.0,19.0
2024-09-22,office,https://shop.example.org/imprint,210,17.0,7.0,4.0
2024-09-23,office,https://shop.example.org/imprint,679,54.0,23.0,13.0
2024-09-24,office,https://shop.example.org/imprint,170,14.0,6.0,3.0
2024-09-25,office,https://shop.example.org/product?=,429,34.0,15.0,9.0
2024-09-26,office,https://shop.example.org/imprint,323,26.0,11.0,6.0
2024-09-27,office,https://shop.example.org/product?=,584,47.0,20.0,11.0
2024-09-28,office,https://shop.example.org/product?=,368,29.0,12.0,7.0
2024-09-29,office,https://shop.example.org/product?=,443,35.0,15.0,9.0
2024-09-30,office,https://shop.example.org/product?=,608,49.0,21.0,12.0
2024-10-01,office,https://shop.example.org/product?=,130,10.0,4.0,2.0
2024-10-02,office,https://shop.example.org/product?=,213,17.0,7.0,4.0
2024-10-03,office,https://shop.example.org/imprint,299,24.0,10.0,6.0
2024-10-04,office,https://shop.example.org/product?=,643,51.0,22.0,13.0
2024-10-05,office,https://shop.example.org/product?=,994,80.0,34.0,19.0
2024-10-06,office,https://shop.example.org/imprint,201,16.0,7.0,4.0
2024-10-07,office,https://shop.example.org/product?=,808,65.0,28.0,16.0
2024-10-08,office,https://shop.example.org/imprint,160,13.0,6.0,3.0
2024-10-09,office,https://shop.example.org/product?=,212,17.0,7.0,4.0
2024-10-10,office,https://shop.example.org/imprint,179,14.0,6.0,3.0
2024-10-11,office,https://shop.example.org/imprint,479,38.0,16.0,9.0
2024-10-12,office,https://shop.example.org/product?=,777,62.0,27.0,15.0
2024-10-13,office,https://shop.example.org/imprint,883,71.0,31.0,18.0
2024-10-14,office,https://shop.example.org/product?=,974,78.0,34.0,19.0
2024-10-15,office,https://shop.example.org/imprint,868,69.0,30.0,17.0
2024-10-16,office,https://shop.example.org/imprint,1093,87.0,37.0,21.0
2024-10-17,office,https://shop.example.org/product?=,830,66.0,28.0,16.0
2024-10-18,office,https://shop.example.org/imprint,808,65.0,28.0,16.0
2024-10-19,office,https://shop.example.org/imprint,1104,88.0,38.0,22.0
2024-10-20,office,https://shop.example.org/imprint,691,55.0,24.0,14.0
2024-10-21,office,https://shop.example.org/product?=,277,22.0,9.0,5.0
2024-10-22,office,https://shop.example.org/imprint,138,11.0,5.0,3.0
2024-10-23,office,https://shop.example.org/imprint,265,21.0,9.0,5.0
2024-10-24,office,https://shop.example.org/product?=,428,34.0,15.0,9.0
2024-10-25,office,https://shop.example.org/imprint,363,29.0,12.0,7.0
2024-10-26,office,https://shop.example.org/imprint,602,48.0,21.0,12.0
2024-10-27,office,https://shop.example.org/product?=,972,78.0,34.0,19.0
2024-10-28,office,https://shop.example.org/imprint,482,39.0,17.0,10.0
2024-10-29,office,https://shop.example.org/product?=,1006,80.0,34.0,19.0
2024-10-30,office,https://shop.example.org/imprint,482,39.0,17.0,10.0
2024-10-31,office,https://shop.example.org/product?=,559,45.0,19.0,11.0
2024-11-01,office,https://shop.example.org/imprint,977,78.0,34.0,19.0
2024-11-02,office,https://shop.example.org/imprint,513,41.0,18.0,10.0
2024-11-03,office,https://shop.example.org/product?=,1040,83.0,36.0,21.0
2024-11-04,office,https://shop.example.org/imprint,512,41.0,18.0,10.0
2024-11-05,office,https://shop.example.org/imprint,412,33.0,14.0,8.0
2024-11-06,office,https://shop.example.org/product?=,957,77.0,33.0,19.0
2024-11-07,office,https://shop.example.org/imprint,829,66.0,28.0,16.0
2024-11-08,office,https://shop.example.org/imprint,488,39.0,17.0,10.0
2024-11-09,office,https://shop.example.org/imprint,1041,83.0,36.0,21.0
2024-11-10,office,https://shop.example.org/product?=,504,40.0,17.0,10.0
2024-11-11,office,https://shop.example.org/product?=,398,32.0,14.0,8.0
2024-11-12,office,https://shop.example.org/imprint,847,68.0,29.0,17.0
2024-11-13,office,https://shop.example.org/imprint,324,26.0,11.0,6.0
2024-11-14,office,https://shop.example.org/imprint,834,67.0,29.0,17.0
2024-11-15,office,https://shop.example.org/product?=,705,56.0,24.0,14.0
2024-11-16,office,https://shop.example.org/imprint,333,27.0,12.0,7.0
2024-11-17,office,https://shop.example.org/imprint,311,25.0,11.0,6.0
2024-11-18,office,https://shop.example.org/product?=,610,49.0,21.0,12.0
2024-11-19,office,https://shop.example.org/product?=,382,31.0,13.0,7.0
2024-11-20,office,https://shop.example.org/imprint,210,17.0,7.0,4.0
2024-11-21,office,https://shop.example.org/imprint,134,11.0,5.0,3.0
2024-11-22,office,https://shop.example.org/product?=,1053,84.0,36.0,21.0
2024-11-23,office,https://shop.example.org/imprint,958,77.0,33.0,19.0
2024-11-24,office,https://shop.example.org/product?=,127,10.0,4.0,2.0
2024-11-25,office,https://shop.example.org/product?=,894,72.0,31.0,18.0
2024-11-26,office,https://shop.example.org/imprint,357,29.0,12.0,7.0
2024-11-27,office,https://shop.example.org/product?=,546,44.0,19.0,11.0
2024-11-28,office,https://shop.example.org/imprint,142,11.0,5.0,3.0
2024-11-29,office,https://shop.example.org/product?=,338,27.0,12.0,7.0
2024-11-30,office,https://shop.example.org/product?=,453,36.0,15.0,9.0
2024-12-01,office,https://shop.example.org/product?=,1055,84.0,36.0,21.0
2024-12-02,office,https://shop.example.org/imprint,666,53.0,23.0,13.0
2024-12-03,office,https://shop.example.org/imprint,712,57.0,25.0,14.0
2024-12-04,office,https://shop.example.org/product?=,258,21.0,9.0,5.0
2024-12-05,office,https://shop.example.org/imprint,548,44.0,19.0,11.0
2024-12-06,office,https://shop.example.org/product?=,1038,83.0,36.0,21.0
2024-12-07,office,https://shop.example.org/product?=,306,24.0,10.0,6.0
