date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,shopify,https://shop.example.org/imprint,870,17.0,2.0,1.0
2024-08-02,shopify,https://shop.example.org/product?=,752,15.0,2.0,1.0
2024-08-03,shopify,https://shop.example.org/imprint,799,16.0,2.0,1.0
2024-08-04,shopify,https://shop.example.org/imprint,669,13.0,2.0,1.0
2024-08-05,shopify,https://shop.example.org/imprint,268,5.0,1.0,1.0
2024-08-06,shopify,https://shop.example.org/product?=,855,17.0,2.0,1.0
2024-08-07,shopify,https://shop.example.org/imprint,1092,22.0,3.0,2.0
2024-08-08,shopify,https://shop.example.org/product?=,164,3.0,0.0,0.0
2024-08-09,shopify,https://shop.example.org/product?=,141,3.0,0.0,0.0
2024-08-10,shopify,https://shop.example.org/product?=,1007,20.0,2.0,1.0
2024-08-11,shopify,https://shop.example.org/product?=,410,8.0,1.0,1.0
2024-08-12,shopify,https://shop.example.org/imprint,953,19.0,2.0,1.0
2024-08-13,shopify,https://shop.example.org/imprint,146,3.0,0.0,0.0
2024-08-14,shopify,https://shop.example.org/product?=,883,18.0,2.0,1.0
2024-08-15,shopify,https://shop.example.org/product?=,877,18.0,2.0,1.0
2024-08-16,shopify,https://shop.example.org/imprint,256,5.0,1.0,1.0
2024-08-17,shopify,https://shop.example.org/product?=,685,14.0,2.0,1.0
2024-08-18,shopify,https://shop.example.org/imprint,128,3.0,0.0,0.0
2024-08-19,shopify,https://shop.example.org/imprint,906,18.0,2.0,1.0
2024-08-20,shopify,https://shop.example.org/imprint,508,10.0,1.0,1.0
2024-08-21,shopify,https://shop.example.org/product?=,1029,21.0,3.0,2.0
2024-08-22,shopify,https://shop.example.org/imprint,163,3.0,0.0,0.0
2024-08-23,shopify,https://shop.example.org/imprint,451,9.0,1.0,1.0
2024-08-24,shopify,https://shop.example.org/imprint,177,4.0,0.0,0.0
2024-08-25,shopify,https://shop.example.org/product?=,978,20.0,2.0,1.0
2024-08-26,shopify,https://shop.example.org/product?=,1052,21.0,3.0,2.0
2024-08-27,shopify,https://shop.example.org/product?=,808,16.0,2.0,1.0
2024-08-28,shopify,https://shop.example.org/product?=,645,13.0,2.0,1.0
2024-08-29,shopify,https://shop.example.org/imprint,896,18.0,2.0,1.0
2024-08-30,shopify,https://shop.example.org/product?=,1004,20.0,2.0,1.0
2024-08-31,shopify,https://shop.example.org/product?=,166,3.0,0.0,0.0
2024-09-01,shopify,https://shop.example.org/imprint,139,3.0,0.0,0.0
2024-09-02,shopify,https://shop.example.org/imprint,456,9.0,1.0,1.0
2024-09-03,shopify,https://shop.example.org/imprint,990,20.0,2.0,1.0
2024-09-04,shopify,https://shop.example.org/imprint,834,17.0,2.0,1.0
2024-09-05,shopify,https://shop.example.org/product?=,858,17.0,2.0,1.0
2024-09-06,shopify,https://shop.example.org/imprint,391,8.0,1.0,1.0
2024-09-07,shopify,https://shop.example.org/imprint,854,17.0,2.0,1.0
2024-09-08,shopify,https://shop.example.org/product?=,259,5.0,1.0,1.0
2024-09-09,shopify,https://shop.example.org/product?=,849,17.0,2.0,1.0
2024-09-10,shopify,https://shop.example.org/imprint,640,13.0,2.0,1.0
2024-09-11,shopify,https://shop.example.org/product?=,1005,20.0,2.0,1.0
2024-09-12,shopify,https://shop.example.org/product?=,872,17.0,2.0,1.0
2024-09-13,shopify,https://shop.example.org/product?=,1057,21.0,3.0,2.0
2024-09-14,shopify,https://shop.example.org/product?=,985,20.0,2.0,1.0
2024-09-15,shopify,https://shop.example.org/imprint,667,13.0,2.0,1.0
2024-09-16,shopify,https://shop.example.org/imprint,935,19.0,2.0,1.0
2024-09-17,shopify,https://shop.example.org/product?=,643,13.0,2.0,1.0
2024-09-18,shopify,https://shop.example.org/imprint,605,12.0,1.0,1.0
2024-09-19,shopify,https://shop.example.org/imprint,889,18.0,2.0,1.0
2024-09-20,shopify,https://shop.example.org/imprint,789,16.0,2.0,1.0
2024-09-21,shopify,https://shop.example.org/imprint,985,20.0,2.0,1.0
2024-09-22,shopify,https://shop.example.org/product?=,762,15.0,2.0,1.0
2024-09-23,shopify,https://shop.example.org/imprint,735,15.0,2.0,1.0
2024-09-24,shopify,https://shop.example.org/product?=,448,9.0,1.0,1.0
2024-09-25,shopify,https://shop.example.org/imprint,519,10.0,1.0,1.0
2024-09-26,shopify,https://shop.example.org/imprint,471,9.0,1.0,1.0
2024-09-27,shopify,https://shop.example.org/imprint,474,9.0,1.0,1.0
2024-09-28,shopify,https://shop.example.org/product?=,779,16.0,2.0,1.0
2024-09-29,shopify,https://shop.example.org/imprint,260,5.0,1.0,1.0
2024-09-30,shopify,https://shop.example.org/imprint,447,9.0,1.0,1.0
2024-10-01,shopify,https://shop.example.org/imprint,1065,21.0,3.0,2.0
2024-10-02,shopify,https://shop.example.org/product?=,467,9.0,1.0,1.0
2024-10-03,shopify,https://shop.example.org/imprint,985,20.0,2.0,1.0
