date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,spiritradar,https://shop.example.org/product?=,667,13.0,6.0,3.0
2024-08-02,spiritradar,https://shop.example.org/imprint,600,12.0,5.0,3.0
2024-08-03,spiritradar,https://shop.example.org/imprint,566,11.0,5.0,3.0
2024-08-04,spiritradar,https://shop.example.org/imprint,712,14.0,6.0,3.0
2024-08-05,spiritradar,https://shop.example.org/imprint,160,3.0,1.0,1.0
2024-08-06,spiritradar,https://shop.example.org/imprint,834,17.0,7.0,4.0
2024-08-07,spiritradar,https://shop.example.org/imprint,922,18.0,8.0,4.0
2024-08-08,spiritradar,https://shop.example.org/product?=,923,18.0,8.0,4.0
2024-08-09,spiritradar,https://shop.example.org/product?=,157,3.0,1.0,1.0
2024-08-10,spiritradar,https://shop.example.org/product?=,434,9.0,4.0,2.0
2024-08-11,spiritradar,https://shop.example.org/imprint,775,16.0,7.0,4.0
2024-08-12,spiritradar,https://shop.example.org/product?=,344,7.0,3.0,2.0
2024-08-13,spiritradar,https://shop.example.org/imprint,771,15.0,6.0,3.0
2024-08-14,spiritradar,https://shop.example.org/product?=,648,13.0,6.0,3.0
2024-08-15,spiritradar,https://shop.example.org/imprint,582,12.0,5.0,3.0
2024-08-16,spiritradar,https://shop.example.org/imprint,1041,21.0,9.0,5.0
2024-08-17,spiritradar,https://shop.example.org/imprint,444,9.0,4.0,2.0
2024-08-18,spiritradar,https://shop.example.org/product?=,598,12.0,5.0,3.0
2024-08-19,spiritradar,https://shop.example.org/product?=,910,18.0,8.0,4.0
2024-08-20,spiritradar,https://shop.example.org/imprint,415,8.0,3.0,2.0
2024-08-21,spiritradar,https://shop.example.org/imprint,695,14.0,6.0,3.0
2024-08-22,spiritradar,https://shop.example.org/imprint,216,4.0,2.0,1.0
2024-08-23,spiritradar,https://shop.example.org/imprint,806,16.0,7.0,4.0
2024-08-24,spiritradar,https://shop.example.org/imprint,1051,21.0,9.0,5.0
2024-08-25,spiritradar,https://shop.example.org/imprint,168,3.0,1.0,1.0
2024-08-26,spiritradar,https://shop.example.org/imprint,476,10.0,4.0,2.0
2024-08-27,spiritradar,https://shop.example.org/product?=,373,7.0,3.0,2.0
2024-08-28,spiritradar,https://shop.example.org/product?=,196,4.0,2.0,1.0
2024-08-29,spiritradar,https://shop.example.org/imprint,768,15.0,6.0,3.0
2024-08-30,spiritradar,https://shop.example.org/imprint,190,4.0,2.0,1.0
2024-08-31,spiritradar,https://shop.example.org/imprint,886,18.0,8.0,4.0
2024-09-01,spiritradar,https://shop.example.org/imprint,1050,21.0,9.0,5.0
2024-09-02,spiritradar,https://shop.example.org/product?=,215,4.0,2.0,1.0
2024-09-03,spiritradar,https://shop.example.org/product?=,489,10.0,4.0,2.0
2024-09-04,spiritradar,https://shop.example.org/imprint,831,17.0,7.0,4.0
2024-09-05,spiritradar,https://shop.example.org/product?=,664,13.0,6.0,3.0
2024-09-06,spiritradar,https://shop.example.org/imprint,832,17.0,7.0,4.0
2024-09-07,spiritradar,https://shop.example.org/product?=,459,9.0,4.0,2.0
2024-09-08,spiritradar,https://shop.example.org/product?=,680,14.0,6.0,3.0
2024-09-09,spiritradar,https://shop.example.org/product?=,529,11.0,5.0,3.0
2024-09-10,spiritradar,https://shop.example.org/product?=,260,5.0,2.0,1.0
2024-09-11,spiritradar,https://shop.example.org/imprint,347,7.0,3.0,2.0
2024-09-12,spiritradar,https://shop.example.org/imprint,910,18.0,8.0,4.0
2024-09-13,spiritradar,https://shop.example.org/imprint,183,4.0,2.0,1.0
2024-09-14,spiritradar,https://shop.example.org/imprint,617,12.0,5.0,3.0
2024-09-15,spiritradar,https://shop.example.org/product?=,399,8.0,3.0,2.0
2024-09-16,spiritradar,https://shop.example.org/imprint,476,10.0,4.0,2.0
2024-09-17,spiritradar,https://shop.example.org/imprint,1023,20.0,9.0,5.0
2024-09-18,spiritradar,https://shop.example.org/product?=,1066,21.0,9.0,5.0
2024-09-19,spiritradar,https://shop.example.org/imprint,533,11.0,5.0,3.0
2024-09-20,spiritradar,https://shop.example.org/product?=,1062,21.0,9.0,5.0
2024-09-21,spiritradar,https://shop.example.org/product?=,202,4.0,2.0,1.0
2024-09-22,spiritradar,https://shop.example.org/imprint,967,19.0,8.0,4.0
2024-09-23,spiritradar,https://shop.example.org/product?=,251,5.0,2.0,1.0
2024-09-24,spiritradar,https://shop.example.org/product?=,904,18.0,8.0,4.0
2024-09-25,spiritradar,https://shop.example.org/imprint,525,10.0,4.0,2.0
2024-09-26,spiritradar,https://shop.example.org/imprint,908,18.0,8.0,4.0
2024-09-27,spiritradar,https://shop.example.org/product?=,582,12.0,5.0,3.0
2024-09-28,spiritradar,https://shop.example.org/imprint,816,16.0,7.0,4.0
2024-09-29,spiritradar,https://shop.example.org/product?=,985,20.0,9.0,5.0
2024-09-30,spiritradar,https://shop.example.org/imprint,541,11.0,5.0,3.0
2024-10-01,spiritradar,https://shop.example.org/imprint,218,4.0,2.0,1.0
2024-10-02,spiritradar,https://shop.example.org/product?=,761,15.0,6.0,3.0
2024-10-03,spiritradar,https://shop.example.org/product?=,147,3.0,1.0,1.0
2024-10-04,spiritradar,https://shop.example.org/imprint,1057,21.0,9.0,5.0
2024-10-05,spiritradar,https://shop.example.org/imprint,814,16.0,7.0,4.0
2024-10-06,spiritradar,https://shop.example.org/imprint,942,19.0,8.0,4.0
2024-10-07,spiritradar,https://shop.example.org/imprint,585,12.0,5.0,3.0
2024-10-08,spiritradar,https://shop.example.org/imprint,929,19.0,8.0,4.0
2024-10-09,spiritradar,https://shop.example.org/product?=,929,19.0,8.0,4.0
2024-10-10,spiritradar,https://shop.example.org/product?=,1044,21.0,9.0,5.0
2024-10-11,spiritradar,https://shop.example.org/imprint,451,9.0,4.0,2.0
2024-10-12,spiritradar,https://shop.example.org/product?=,916,18.0,8.0,4.0
2024-10-13,spiritradar,https://shop.example.org/imprint,563,11.0,5.0,3.0
2024-10-14,spiritradar,https://shop.example.org/imprint,508,10.0,4.0,2.0
2024-10-15,spiritradar,https://shop.example.org/product?=,592,12.0,5.0,3.0
2024-10-16,spiritradar,https://shop.example.org/product?=,532,11.0,5.0,3.0
2024-10-17,spiritradar,https://shop.example.org/product?=,229,5.0,2.0,1.0
2024-10-18,spiritradar,https://shop.example.org/product?=,236,5.0,2.0,1.0
2024-10-19,spiritradar,https://shop.example.org/product?=,758,15.0,6.0,3.0
2024-10-20,spiritradar,https://shop.example.org/imprint,317,6.0,3.0,2.0
2024-10-21,spiritradar,https://shop.example.org/imprint,901,18.0,8.0,4.0
2024-10-22,spiritradar,https://shop.example.org/product?=,725,14.0,6.0,3.0
2024-10-23,spiritradar,https://shop.example.org/imprint,952,19.0,8.0,4.0
2024-10-24,spiritradar,https://shop.example.org/imprint,868,17.0,7.0,4.0
2024-10-25,spiritradar,https://shop.example.org/product?=,274,5.0,2.0,1.0
2024-10-26,spiritradar,https://shop.example.org/imprint,1020,20.0,9.0,5.0
2024-10-27,spiritradar,https://shop.example.org/product?=,843,17.0,7.0,4.0
