date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,syndicatedsearch,https://shop.example.org/imprint,907,54.0,19.0,15.0
2024-08-02,syndicatedsearch,https://shop.example.org/imprint,225,14.0,5.0,4.0
2024-08-03,syndicatedsearch,https://shop.example.org/imprint,515,31.0,11.0,9.0
2024-08-04,syndicatedsearch,https://shop.example.org/imprint,560,34.0,12.0,10.0
2024-08-05,syndicatedsearch,https://shop.example.org/product?=,833,50.0,18.0,15.0
2024-08-06,syndicatedsearch,https://shop.example.org/imprint,297,18.0,6.0,5.0
2024-08-07,syndicatedsearch,https://shop.example.org/product?=,860,52.0,19.0,15.0
2024-08-08,syndicatedsearch,https://shop.example.org/imprint,1043,63.0,23.0,19.0
2024-08-09,syndicatedsearch,https://shop.example.org/product?=,902,54.0,19.0,15.0
2024-08-10,syndicatedsearch,https://shop.example.org/product?=,132,8.0,3.0,2.0
2024-08-11,syndicatedsearch,https://shop.example.org/product?=,316,19.0,7.0,6.0
2024-08-12,syndicatedsearch,https://shop.example.org/imprint,882,53.0,19.0,15.0
2024-08-13,syndicatedsearch,https://shop.example.org/product?=,396,24.0,9.0,7.0
2024-08-14,syndicatedsearch,https://shop.example.org/product?=,1046,63.0,23.0,19.0
2024-08-15,syndicatedsearch,https://shop.example.org/product?=,324,19.0,7.0,6.0
2024-08-16,syndicatedsearch,https://shop.example.org/imprint,881,53.0,19.0,15.0
2024-08-17,syndicatedsearch,https://shop.example.org/imprint,320,19.0,7.0,6.0
2024-08-18,syndicatedsearch,https://shop.example.org/product?=,342,21.0,8.0,6.0
2024-08-19,syndicatedsearch,https://shop.example.org/imprint,898,54.0,19.0,15.0
2024-08-20,syndicatedsearch,https://shop.example.org/product?=,823,49.0,18.0,15.0
2024-08-21,syndicatedsearch,https://shop.example.org/imprint,1018,61.0,22.0,18.0
2024-08-22,syndicatedsearch,https://shop.example.org/imprint,315,19.0,7.0,6.0
2024-08-23,syndicatedsearch,https://shop.example.org/imprint,546,33.0,12.0,10.0
2024-08-24,syndicatedsearch,https://shop.example.org/imprint,297,18.0,6.0,5.0
2024-08-25,syndicatedsearch,https://shop.example.org/product?=,292,18.0,6.0,5.0
2024-08-26,syndicatedsearch,https://shop.example.org/product?=,1093,66.0,24.0,19.0
2024-08-27,syndicatedsearch,https://shop.example.org/imprint,628,38.0,14.0,11.0
2024-08-28,syndicatedsearch,https://shop.example.org/imprint,337,20.0,7.0,6.0
2024-08-29,syndicatedsearch,https://shop.example.org/imprint,648,39.0,14.0,11.0
2024-08-30,syndicatedsearch,https://shop.example.org/product?=,295,18.0,6.0,5.0
2024-08-31,syndicatedsearch,https://shop.example.org/imprint,425,26.0,9.0,7.0
2024-09-01,syndicatedsearch,https://shop.example.org/product?=,550,33.0,12.0,10.0
2024-09-02,syndicatedsearch,https://shop.example.org/imprint,733,44.0,16.0,13.0
2024-09-03,syndicatedsearch,https://shop.example.org/imprint,623,37.0,13.0,11.0
2024-09-04,syndicatedsearch,https://shop.example.org/imprint,880,53.0,19.0,15.0
2024-09-05,syndicatedsearch,https://shop.example.org/product?=,698,42.0,15.0,12.0
2024-09-06,syndicatedsearch,https://shop.example.org/imprint,558,33.0,12.0,10.0
2024-09-07,syndicatedsearch,https://shop.example.org/imprint,452,27.0,10.0,8.0
