date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,whiskystats,https://shop.example.org/imprint,644,32.0,14.0,11.0
2024-08-02,whiskystats,https://shop.example.org/imprint,483,24.0,11.0,9.0
2024-08-03,whiskystats,https://shop.example.org/imprint,784,39.0,18.0,14.0
2024-08-04,whiskystats,https://shop.example.org/imprint,668,33.0,15.0,12.0
2024-08-05,whiskystats,https://shop.example.org/imprint,257,13.0,6.0,5.0
2024-08-06,whiskystats,https://shop.example.org/imprint,171,9.0,4.0,3.0
2024-08-07,whiskystats,https://shop.example.org/imprint,133,7.0,3.0,2.0
2024-08-08,whiskystats,https://shop.example.org/imprint,369,18.0,8.0,6.0
2024-08-09,whiskystats,https://shop.example.org/product?=,788,39.0,18.0,14.0
2024-08-10,whiskystats,https://shop.example.org/imprint,212,11.0,5.0,4.0
2024-08-11,whiskystats,https://shop.example.org/product?=,186,9.0,4.0,3.0
2024-08-12,whiskystats,https://shop.example.org/product?=,765,38.0,17.0,13.0
2024-08-13,whiskystats,https://shop.example.org/product?=,746,37.0,17.0,13.0
2024-08-14,whiskystats,https://shop.example.org/product?=,477,24.0,11.0,9.0
2024-08-15,whiskystats,https://shop.example.org/imprint,707,35.0,16.0,12.0
2024-08-16,whiskystats,https://shop.example.org/imprint,269,13.0,6.0,5.0
2024-08-17,whiskystats,https://shop.example.org/product?=,271,14.0,6.0,5.0
2024-08-18,whiskystats,https://shop.example.org/product?=,638,32.0,14.0,11.0
2024-08-19,whiskystats,https://shop.example.org/imprint,804,40.0,18.0,14.0
2024-08-20,whiskystats,https://shop.example.org/product?=,835,42.0,19.0,15.0
2024-08-21,whiskystats,https://shop.example.org/product?=,853,43.0,19.0,15.0
2024-08-22,whiskystats,https://shop.example.org/product?=,403,20.0,9.0,7.0
2024-08-23,whiskystats,https://shop.example.org/product?=,433,22.0,10.0,8.0
2024-08-24,whiskystats,https://shop.example.org/product?=,556,28.0,13.0,10.0
2024-08-25,whiskystats,https://shop.example.org/product?=,195,10.0,4.0,3.0
2024-08-26,whiskystats,https://shop.example.org/imprint,827,41.0,18.0,14.0
2024-08-27,whiskystats,https://shop.example.org/product?=,913,46.0,21.0,16.0
2024-08-28,whiskystats,https://shop.example.org/product?=,657,33.0,15.0,12.0
2024-08-29,whiskystats,https://shop.example.org/imprint,1075,54.0,24.0,19.0
2024-08-30,whiskystats,https://shop.example.org/imprint,747,37.0,17.0,13.0
2024-08-31,whiskystats,https://shop.example.org/product?=,201,10.0,4.0,3.0
2024-09-01,whiskystats,https://shop.example.org/imprint,932,47.0,21.0,16.0
2024-09-02,whiskystats,https://shop.example.org/imprint,149,7.0,3.0,2.0
2024-09-03,whiskystats,https://shop.example.org/imprint,504,25.0,11.0,9.0
2024-09-04,whiskystats,https://shop.example.org/product?=,779,39.0,18.0,14.0
2024-09-05,whiskystats,https://shop.example.org/imprint,238,12.0,5.0,4.0
2024-09-06,whiskystats,https://shop.example.org/product?=,391,20.0,9.0,7.0
2024-09-07,whiskystats,https://shop.example.org/imprint,909,45.0,20.0,16.0
2024-09-08,whiskystats,https://shop.example.org/product?=,531,27.0,12.0,9.0
2024-09-09,whiskystats,https://shop.example.org/product?=,1076,54.0,24.0,19.0
2024-09-10,whiskystats,https://shop.example.org/imprint,293,15.0,7.0,5.0
2024-09-11,whiskystats,https://shop.example.org/imprint,374,19.0,9.0,7.0
2024-09-12,whiskystats,https://shop.example.org/product?=,124,6.0,3.0,2.0
2024-09-13,whiskystats,https://shop.example.org/imprint,769,38.0,17.0,13.0
2024-09-14,whiskystats,https://shop.example.org/imprint,333,17.0,8.0,6.0
2024-09-15,whiskystats,https://shop.example.org/product?=,662,33.0,15.0,12.0
2024-09-16,whiskystats,https://shop.example.org/product?=,211,11.0,5.0,4.0
2024-09-17,whiskystats,https://shop.example.org/imprint,683,34.0,15.0,12.0
2024-09-18,whiskystats,https://shop.example.org/imprint,548,27.0,12.0,9.0
2024-09-19,whiskystats,https://shop.example.org/imprint,425,21.0,9.0,7.0
2024-09-20,whiskystats,https://shop.example.org/product?=,871,44.0,20.0,16.0
2024-09-21,whiskystats,https://shop.example.org/imprint,236,12.0,5.0,4.0
2024-09-22,whiskystats,https://shop.example.org/imprint,454,23.0,10.0,8.0
2024-09-23,whiskystats,https://shop.example.org/product?=,729,36.0,16.0,12.0
2024-09-24,whiskystats,https://shop.example.org/product?=,277,14.0,6.0,5.0
2024-09-25,whiskystats,https://shop.example.org/imprint,1070,54.0,24.0,19.0
2024-09-26,whiskystats,https://shop.example.org/product?=,561,28.0,13.0,10.0
2024-09-27,whiskystats,https://shop.example.org/imprint,983,49.0,22.0,17.0
2024-09-28,whiskystats,https://shop.example.org/product?=,208,10.0,4.0,3.0
2024-09-29,whiskystats,https://shop.example.org/imprint,815,41.0,18.0,14.0
2024-09-30,whiskystats,https://shop.example.org/imprint,1081,54.0,24.0,19.0
