datum,sessions," ""sess_cart""",sess_co,sess_co_done,c_r,dat_old,sess_old,sess_cart_add_old,sess_co_old,sess_co_done_old
2024-08-01,0,0,0,0,,2023-08-01,0,0,0,0
2024-09-01,0,0,0,0,,2023-09-01,0,0,0,0
2024-10-01,222,3,2,0,0.0,2023-10-01,0,0,0,0
2024-11-01,363,9,6,3,0.0082644628099173,2023-11-01,0,0,0,0
2024-12-01,298,11,11,5,0.0167785234899328,2023-12-01,0,0,0,0
2025-01-01,122,1,1,0,0.0,2024-01-01,0,0,0,0
2025-02-01,158,9,8,4,0.0253164556962025,2024-02-01,0,0,0,0
2025-03-01,531,9,6,3,0.0056497175141242,2024-03-01,0,0,0,0
2025-04-01,442,16,12,3,0.006787330316742,2024-04-01,0,0,0,0
2025-05-01,193,4,1,1,0.005181347150259,2024-05-01,0,0,0,0
2025-06-01,174,10,6,2,0.0114942528735632,2024-06-01,0,0,0,0
2025-07-01,416,17,16,2,0.0048076923076923,2024-07-01,0,0,0,0
2025-08-01,854,11,7,1,0.0011709601873536,2024-08-01,0,0,0,0
