brand,date,price
a-case,2019-12-31,34.66
a-case,2020-01-31,28.73
a-case,2020-02-29,46.06
a-case,2020-03-31,55.99
a-case,2020-04-30,216.83
a-derma,2019-12-31,13.13
a-derma,2020-01-31,
a-derma,2020-02-29,14.38
a-derma,2020-03-31,21.04
a-derma,2020-04-30,33.03
a-elita,2019-11-30,8.49
a-elita,2019-12-31,37.58
a-elita,2020-01-31,
a-elita,2020-02-29,8.49
a-elita,2020-03-31,
a-elita,2020-04-30,8.49
a-mega,2019-12-31,133.85
a-mega,2020-01-31,74.17
a-mega,2020-02-29,86.49
a-mega,2020-03-31,256.55
a-mega,2020-04-30,193.06
a-toys,2020-02-29,61.78
aardwolf,2019-11-30,73.03
aardwolf,2019-12-31,46.43
aardwolf,2020-01-31,23.75
aardwolf,2020-02-29,47.02
aardwolf,2020-03-31,39.82
aardwolf,2020-04-30,29.12
abaybooks,2019-12-31,5.12
abaybooks,2020-01-31,5.12
abc,2020-03-31,41.14
abc,2020-04-30,38.56
abhika,2020-03-31,38.12
abris,2019-12-31,14.44
absolutechampion,2019-12-31,55.02
absolutechampion,2020-01-31,45.05
abtoys,2019-12-31,50.94
abtoys,2020-01-31,
abtoys,2020-02-29,32.9
abtoys,2020-03-31,40.15
abtoys,2020-04-30,65.12
acana,2020-03-31,48.9
acase,2020-01-31,5.12
acase,2020-02-29,7.68
acase,2020-03-31,5.12
acase,2020-04-30,10.42
accesstyle,2020-02-29,105.56
accesstyle,2020-03-31,121.93
accesstyle,2020-04-30,61.63
acd,2019-12-31,1.74
acd,2020-01-31,
acd,2020-02-29,
acd,2020-03-31,6.01
acd,2020-04-30,5.79
acer,2019-10-31,115378.05
acer,2019-11-30,115424.36
acer,2019-12-31,107859.14
acer,2020-01-31,96997.18
acer,2020-02-29,187302.55
acer,2020-03-31,207506.79
acer,2020-04-30,239799.31
aces,2019-11-30,86.49
achilles,2019-12-31,69.5
achilles,2020-01-31,47.62
acm,2019-12-31,26.7
acm,2020-01-31,30.21
acm,2020-02-29,46.33
acm,2020-03-31,29.67
acm,2020-04-30,46.5
acme,2019-10-31,112.72
acme,2019-11-30,164.94
acme,2019-12-31,393.51
acme,2020-01-31,346.04
acme,2020-02-29,716.47
acme,2020-03-31,356.08
acme,2020-04-30,252.64
acoola,2020-04-30,26.77
acorp,2020-02-29,20.8
acorp,2020-03-31,7.9
acorp,2020-04-30,11.66
acqua,2019-10-31,3.95
acqua,2019-11-30,2.96
acqua,2019-12-31,4.44
acqua,2020-01-31,
acqua,2020-02-29,2.51
acqua,2020-03-31,
acqua,2020-04-30,10.74
acron,2019-10-31,15.42
acron,2019-11-30,15.42
acron,2019-12-31,15.42
acron,2020-01-31,15.42
action,2020-01-31,37.3
action,2020-02-29,46.62
action,2020-03-31,36.78
actiontrack,2019-12-31,19.28
actiontrack,2020-01-31,20.57
activision,2019-12-31,85.98
activision,2020-01-31,139.13
activision,2020-02-29,181.06
activision,2020-03-31,158.27
activision,2020-04-30,123.2
acuvue,2019-12-31,34.94
