Produkttitel;Inventareinheiten zu Beginn;Inventareinheiten zum Ende;Verkaufte Inventareinheiten;Verkaufsrate
Highland Park - 15 Yo - Viking Heart - 0.7L;0;0;1;1
Bowmore - Legend - 0.7L;0;0;1;1
Caol Ila - Moch - 0.7L;0;0;1;1
Macallan - Harmony Collection - Green Meadow - 0,7L;0;0;4;1
Macallan - Folio 8 - 0,7L;0;0;1;1
Birkenhof - Fading Hill - Warehouse Selection - 0,7L;0;0;12;1
Macallan - Quest Collection - Lumina - 0,7L;0;0;3;1
Macallan - Gold - Double Cask - 0,7L;0;0;1;1
Glenturret - Triple Wood - 2022 - 0.7L;0;0;2;1
Bruichladdich - Laddie Eight - 0.7L;0;0;1;1
Glenmorangie - The Quinta Ruban - Port Cask Finish - 0.7L;0;0;2;1
Laphroaig - Cairdeas - Warehouse 1 - 0.7L;0;0;2;1
Kavalan - Solist Brandy - 0.7L;0;0;1;1
Suntory Yamazaki - 12Years - 0.7L;0;0;1;1
Macallan - Classic Cut 2020 - 0.7L;0;0;1;1
Balvenie - 12 Years old - Double Wood - 0.7L;0;0;2;1
Testprodukt;0;0;13;1
Auchentoshan - Blood Oak - 1L;0;0;1;1
Dingle - Single Cask - The Village 2025 - 0,7L;0;0;1;1
Green Spot - Single Pot Still Whiskey - 0,7L;0;1;9;9
Macallan - Quest Collection - Quest - 1L;0;2;5;7143
Suntory Hibiki - Harmony - 0.7L;0;1;2;6667
Glenfiddich - 15 Years old - 0.7L;0;9;18;6667
Glenturret - 12 YO - 2024 - 0.7L;0;12;13;52
Bunnahabhain - 12 Years old - 0.7L;0;1;1;5
Glenallachie -  The Sinteis Series - 0.7L;0;6;6;5
Stauning - RYE - Virgin Oak & Barbados Rum Cask - Distillery Edition - 0.35L;0;1;1;5
Glenturret - 10 YO - Peat Smoked - 2024 - 0.7L;0;2;2;5
Stauning - Smoke - Moscatel Cask - Distillery Edition - 0.35L;0;1;1;5
Macallan - A night on Earth - Scotland 2022 - 0,7L;0;4;4;5
GlenDronach - 12 Years - 0.7L;0;1;1;5
Stauning - Smoke - Recioto Wine Cask - Distillery Edition - 0.35L;0;1;1;5
Highland Park - Dragon Legend - 0.7L;0;2;2;5
St. Kilian - Judas Priest - 50 Heavy Metal Years Edt. - 0,7L;0;1;1;5
Dalwhinnie - 15 Years old - 0.7L;0;1;1;5
Bruichladdich - Laddie TwentyTwo - 0.7L;0;1;1;5
Glenturret - Triple Wood - 2024 - 0.7L;0;1;1;5
Deanston - Virgin Oak - 0.7L;0;1;1;5
Macallan - Classic Cut 2021 - 0.7L;0;1;1;5
Ardnahoe - 5 Yo - The Inaugural Release - 0.7L;0;12;11;4783
Glenmorangie - 16 yo - The Nectar - 0.7L;0;12;11;4783
Stauning - RYE - 20th Anniversary Edition - 0.7L;0;2;1;3333
Auchentoshan - 12Y - Triple Destilled - 0,7L;0;2;1;3333
Stauning - HØST - 20th Anniversary Edition - 0.7L;0;2;1;3333
Macallan - 12YO - Double Cask - 0,7L;0;2;1;3333
Caol Ila - 12 Years - 0.7L;0;2;1;3333
Macallan - Harmony Collection - Amber Meadow - 0,7L;0;2;0;0
Dalwhinnie - Winter's Gold - 0.7L;0;2;0;0
Glenturret - Manager's Dram - Release No. 2 - 701/750 - 0.7L;0;1;0;0
Macallan - Concept No. 2 - 0,7L;0;2;0;0
Macallan - Rare Cask 2022 - 0,7L;0;1;0;0
Macallan - Concept No. 3 - 0,7L;0;1;0;0
Macallan - Edition No. 3 - 0,7L;0;1;0;0
Glenturret - Manager's Dram - Release No. 2 - 258/750 - 0.7L;0;1;0;0
Macallan - 18 YO - Colour Collection - 0.7L;0;2;0;0
Suntory Hibiki - Blossom Harmony 2022 - 0.7L;0;1;0;0
Roseisle - 12 Years old -  The Origami Kite - 0.7L;0;2;0;0
Macallan - 12 YO - Colour Collection - 0.7L;0;2;0;0
Macallan - Classic Cut 2022 - 0.7L;0;2;0;0
Macallan - Harmony Collection - Rich Cacao - 0,7L;0;5;0;0
Macallan - 15 YO - Colour Collection - 0.7L;0;2;0;0
Bruichladdich - Laddie Ten - 0.7L;0;1;0;0
Port Charlotte - Heavily Peated - SYC: 01  - 0.7L;0;5;0;0
Macallan - Edition No. 5 - 0,7L;0;6;0;0
Lagavulin - 16 Years - 0.7L;0;2;0;0
Macallan - Classic Cut 2023 - 0.7L;0;2;0;0
Suntory Hibiki - 100th Anniversary - 0.7L;0;2;0;0
Bruichladdich - The Classic Laddie - 0.7L;0;2;0;0
Macallan - Harmony Collection - Intense Arabica - 0,7L;0;1;0;0
Macallan - A night on Earth - Scotland 2021 - 0,7L;0;1;0;0
Ardbeg - Ardcore - 0,7L;0;1;0;0
Tasting-Set: Kloster Veßra 2025 - 7x 20ml;0;10;0;0
Macallan - 18Y - Sherry Oak - 2022 - 0,7L;0;2;0;0
Ardnahoe - Infinite Loch - 0.7L;0;4;0;0
Bruichladdich - Laddie Origins - Feis Ile 2021 - 0.7L;0;1;0;0
Macallan - Edition No. 6 - 0,7L;0;1;0;0
Macallan - Quest Collection - Enigma - 0,7L;0;5;0;0
Glenfiddich - Experimental Series - Project XX - 0.7L;0;2;0;0
Macallan - The 1824 Series - Gold - 0,7L;0;1;0;0
Stauning - KAOS - First-fill  - Distillery Edition - 0.35L;0;2;0;0
Stauning - Barley - Rye/Moscatel - Distillery Edition - 0.35L;0;2;0;0
GlenDronach - Traditionally Peated - 0.7L;0;1;0;0
Birkenhof - Fading Hill - Warehouse Selection (Bourbon) - 0,7L;0;6;0;0
Macallan - Harmony Collection - Vibrant Oak - 0,7L;0;2;0;0
Stauning - Barley - Burbon & Barbados Rum Cask - Distillery Edition - 0.35L;0;2;0;0
Macallan - Quest Collection - Terra - 0,7L;0;3;0;0
Ardnahoe - Bholsa - 0.7L;0;3;0;0
Macallan - 18Y - Sherry Oak - 2023 - 0,7L;0;2;0;0
Macallan - Concept No. 1 - 0,7L;0;2;0;0
Bruichladdich - The Laddie Valinch - No. 12 - 0,7L;0;1;0;0
