date,sugg_plt,lnd_pg,sessions,sess_add_cart,sess_co,sess_co_done
2024-08-01,7bb991-55,https://shop.example.org/product?=,674,54.0,23.0,16.0
2024-08-01,alphabet,https://shop.example.org/product?=,226,18.0,5.0,3.0
2024-08-01,direct,https://shop.example.org/product?=,899,27.0,8.0,6.0
2024-08-01,duckduckgo,https://shop.example.org/imprint,652,13.0,2.0,1.0
2024-08-01,fb werbung,https://shop.example.org/imprint,333,17.0,3.0,2.0
2024-08-01,force,https://shop.example.org/product?=,660,40.0,11.0,7.0
2024-08-01,good-apps,https://shop.example.org/product?=,869,17.0,4.0,3.0
2024-08-01,linkedin,https://shop.example.org/product?=,438,35.0,8.0,5.0
2024-08-01,meta-sitelink-2,https://shop.example.org/imprint,824,58.0,19.0,16.0
2024-08-01,meta,https://shop.example.org/product?=,408,33.0,8.0,5.0
2024-08-01,microsoft,https://shop.example.org/product?=,302,24.0,9.0,7.0
2024-08-01,office,https://shop.example.org/product?=,1009,81.0,35.0,20.0
2024-08-01,shopify,https://shop.example.org/imprint,870,17.0,2.0,1.0
2024-08-01,spiritradar,https://shop.example.org/product?=,667,13.0,6.0,3.0
2024-08-01,syndicatedsearch,https://shop.example.org/imprint,907,54.0,19.0,15.0
2024-08-01,whiskybase,https://shop.example.org/imprint,1024,41.0,8.0,5.0
2024-08-01,whiskystats,https://shop.example.org/imprint,644,32.0,14.0,11.0
2024-08-02,7bb991-55,https://shop.example.org/product?=,1039,83.0,35.0,24.0
2024-08-02,alphabet,https://shop.example.org/product?=,176,14.0,4.0,2.0
2024-08-02,direct,https://shop.example.org/product?=,997,30.0,9.0,7.0
2024-08-02,duckduckgo,https://shop.example.org/imprint,638,13.0,2.0,1.0
2024-08-02,fb werbung,https://shop.example.org/product?=,323,16.0,3.0,2.0
2024-08-02,force,https://shop.example.org/product?=,693,42.0,11.0,7.0
2024-08-02,good-apps,https://shop.example.org/product?=,818,16.0,4.0,3.0
2024-08-02,linkedin,https://shop.example.org/imprint,190,15.0,4.0,3.0
2024-08-02,meta-sitelink-2,https://shop.example.org/imprint,989,69.0,22.0,19.0
2024-08-02,meta,https://shop.example.org/product?=,818,65.0,16.0,9.0
2024-08-02,microsoft,https://shop.example.org/imprint,239,19.0,7.0,5.0
2024-08-02,office,https://shop.example.org/product?=,478,38.0,16.0,9.0
2024-08-02,shopify,https://shop.example.org/product?=,752,15.0,2.0,1.0
2024-08-02,spiritradar,https://shop.example.org/imprint,600,12.0,5.0,3.0
2024-08-02,syndicatedsearch,https://shop.example.org/imprint,225,14.0,5.0,4.0
2024-08-02,whiskybase,https://shop.example.org/imprint,738,30.0,6.0,4.0
2024-08-02,whiskystats,https://shop.example.org/imprint,483,24.0,11.0,9.0
2024-08-03,7bb991-55,https://shop.example.org/imprint,780,62.0,26.0,18.0
2024-08-03,alphabet,https://shop.example.org/product?=,585,47.0,14.0,8.0
2024-08-03,direct,https://shop.example.org/product?=,801,24.0,7.0,5.0
2024-08-03,duckduckgo,https://shop.example.org/imprint,245,5.0,1.0,1.0
2024-08-03,fb werbung,https://shop.example.org/product?=,758,38.0,6.0,3.0
2024-08-03,force,https://shop.example.org/imprint,648,39.0,11.0,7.0
2024-08-03,good-apps,https://shop.example.org/imprint,898,18.0,4.0,3.0
2024-08-03,linkedin,https://shop.example.org/product?=,471,38.0,9.0,6.0
2024-08-03,meta-sitelink-2,https://shop.example.org/product?=,125,9.0,3.0,3.0
2024-08-03,meta,https://shop.example.org/product?=,795,64.0,16.0,9.0
2024-08-03,microsoft,https://shop.example.org/imprint,1020,82.0,30.0,22.0
2024-08-03,office,https://shop.example.org/imprint,481,38.0,16.0,9.0
2024-08-03,shopify,https://shop.example.org/imprint,799,16.0,2.0,1.0
2024-08-03,spiritradar,https://shop.example.org/imprint,566,11.0,5.0,3.0
2024-08-03,syndicatedsearch,https://shop.example.org/imprint,515,31.0,11.0,9.0
2024-08-03,whiskybase,https://shop.example.org/imprint,603,24.0,5.0,3.0
2024-08-03,whiskystats,https://shop.example.org/imprint,784,39.0,18.0,14.0
2024-08-04,7bb991-55,https://shop.example.org/product?=,934,75.0,32.0,22.0
2024-08-04,alphabet,https://shop.example.org/product?=,1095,88.0,26.0,16.0
2024-08-04,direct,https://shop.example.org/product?=,775,23.0,7.0,5.0
2024-08-04,duckduckgo,https://shop.example.org/imprint,230,5.0,1.0,1.0
2024-08-04,fb werbung,https://shop.example.org/imprint,845,42.0,7.0,4.0
2024-08-04,force,https://shop.example.org/product?=,370,22.0,6.0,4.0
2024-08-04,good-apps,https://shop.example.org/product?=,636,13.0,3.0,2.0
2024-08-04,linkedin,https://shop.example.org/product?=,533,43.0,10.0,6.0
2024-08-04,meta-sitelink-2,https://shop.example.org/imprint,356,25.0,8.0,7.0
2024-08-04,meta,https://shop.example.org/product?=,1098,88.0,22.0,13.0
2024-08-04,microsoft,https://shop.example.org/imprint,704,56.0,21.0,16.0
2024-08-04,office,https://shop.example.org/imprint,809,65.0,28.0,16.0
2024-08-04,shopify,https://shop.example.org/imprint,669,13.0,2.0,1.0
2024-08-04,spiritradar,https://shop.example.org/imprint,712,14.0,6.0,3.0
2024-08-04,syndicatedsearch,https://shop.example.org/imprint,560,34.0,12.0,10.0
2024-08-04,whiskybase,https://shop.example.org/product?=,790,32.0,6.0,4.0
2024-08-04,whiskystats,https://shop.example.org/imprint,668,33.0,15.0,12.0
2024-08-05,7bb991-55,https://shop.example.org/product?=,540,43.0,18.0,12.0
2024-08-05,alphabet,https://shop.example.org/product?=,564,45.0,13.0,8.0
2024-08-05,direct,https://shop.example.org/product?=,924,28.0,8.0,6.0
2024-08-05,duckduckgo,https://shop.example.org/product?=,819,16.0,2.0,1.0
2024-08-05,fb werbung,https://shop.example.org/product?=,1028,51.0,8.0,4.0
2024-08-05,force,https://shop.example.org/imprint,861,52.0,14.0,9.0
2024-08-05,good-apps,https://shop.example.org/imprint,326,7.0,2.0,2.0
2024-08-05,linkedin,https://shop.example.org/imprint,1090,87.0,21.0,13.0
2024-08-05,meta-sitelink-2,https://shop.example.org/product?=,904,63.0,20.0,17.0
2024-08-05,meta,https://shop.example.org/imprint,491,39.0,10.0,6.0
2024-08-05,microsoft,https://shop.example.org/product?=,255,20.0,7.0,5.0
2024-08-05,office,https://shop.example.org/imprint,690,55.0,24.0,14.0
