Tag,Kampagne,Impressionen,Klicks,Währungscode,Kosten,CTR,Durchschn. CPC,Datum
22.11.2024,Whiskyquartier-Kampagne,305.0,9,EUR,5.0,"2,95%","0,56",2024-11-22
23.11.2024,Whiskyquartier-Kampagne,867.0,9,EUR,3.99,"1,04%","0,44",2024-11-23
24.11.2024,Whiskyquartier-Kampagne,902.0,14,EUR,7.67,"1,55%","0,55",2024-11-24
13.03.2025,Whiskyquartier-Kampagne,708.0,9,EUR,2.76,"1,27%","0,31",2025-03-13
14.03.2025,Whiskyquartier-Kampagne,924.0,3,EUR,8.6,"0,32%","2,87",2025-03-14
15.03.2025,Whiskyquartier-Kampagne,1.347,13,EUR,3.7,"0,97%","0,28",2025-03-15
16.03.2025,Whiskyquartier-Kampagne,1.116,14,EUR,4.12,"1,25%","0,29",2025-03-16
31.03.2025,Whiskyquartier-Kampagne,288.0,3,EUR,0.6,"1,04%","0,2",2025-03-31
01.04.2025,Whiskyquartier-Kampagne,988.0,9,EUR,5.32,"0,91%","0,59",2025-04-01
02.04.2025,Whiskyquartier-Kampagne,1.206,12,EUR,5.17,"1,00%","0,43",2025-04-02
03.04.2025,Whiskyquartier-Kampagne,760.0,13,EUR,6.08,"1,71%","0,47",2025-04-03
04.04.2025,Whiskyquartier-Kampagne,982.0,9,EUR,4.22,"0,92%","0,47 ",2025-04-04
05.04.2025,Whiskyquartier-Kampagne,987.0,9,EUR,2.62,"0,91%","0,29",2025-04-05
06.04.2025,Whiskyquartier-Kampagne,1.336,18,EUR,7.98,"1,35%","0,44",2025-04-06
07.04.2025,Whiskyquartier-Kampagne,1.158,13,EUR,5.63,"1,12%","0,43",2025-04-07
08.04.2025,Whiskyquartier-Kampagne,912.0,13,EUR,3.35,"1,43%","0,26",2025-04-08
09.04.2025,Whiskyquartier-Kampagne,932.0,7,EUR,3.64,"0,75%","0,52",2025-04-09
10.04.2025,Whiskyquartier-Kampagne,1.061,16,EUR,11.32,"1,51%","0,71",2025-04-10
11.04.2025,Whiskyquartier-Kampagne,1.394,11,EUR,4.49,"0,79%","0,41",2025-04-11
12.04.2025,Whiskyquartier-Kampagne,989.0,9,EUR,5.01,"0,91%","0,56",2025-04-12
13.04.2025,Whiskyquartier-Kampagne,926.0,6,EUR,5.04,"0,65%","0,84",2025-04-13
13.07.2025,Whiskyquartier-Kampagne,489.0,12,EUR,3.41,"2,45%","0,28",2025-07-13
14.07.2025,Whiskyquartier-Kampagne,388.0,6,EUR,6.81,"1,55%","1,13",2025-07-14
15.07.2025,Whiskyquartier-Kampagne,619.0,6,EUR,2.61,"0,97%","0,44",2025-07-15
16.07.2025,Whiskyquartier-Kampagne,1.236,10,EUR,7.03,"0,81%","0,7",2025-07-16
15.08.2025,Whiskyquartier-Kampagne,665.0,7,EUR,4.93,"1,05%","0,7",2025-08-15
16.08.2025,Whiskyquartier-Kampagne,1.619,12,EUR,8.05,"0,74%","0,67",2025-08-16
17.08.2025,Whiskyquartier-Kampagne,3.468,16,EUR,18.19,"0,46%","1,14",2025-08-17
19.08.2025,Whiskyquartier-Kampagne,826.0,10,EUR,6.24,"1,21%","0,62",2025-08-19
20.08.2025,Whiskyquartier-Kampagne,1.528,9,EUR,3.92,"0,59%","0,44",2025-08-20
21.08.2025,Whiskyquartier-Kampagne,1.318,21,EUR,19.66,"1,59%","0,94",2025-08-21
