,Datum,Impressionen,Klicks,Kosten,CPC_Manuell,CRT_Manuell,Provider
0,2024-11-22,305.0,9.0,5.0,0.5556,0.0295,Alpha
1,2024-11-22,480.0,23.0,2.0,0.087,0.0479,Meta
2,2024-11-23,663.0,42.0,4.61,0.1098,0.0633,Meta
3,2024-11-23,867.0,9.0,3.99,0.4433,0.0104,Alpha
4,2024-11-24,823.0,71.0,4.98,0.0701,0.0863,Meta
5,2024-11-24,902.0,14.0,7.67,0.5479,0.0155,Alpha
6,2024-12-20,1718.0,83.0,8.68,0.1046,0.0483,Meta
7,2024-12-21,1405.0,56.0,8.16,0.1457,0.0399,Meta
8,2025-03-13,708.0,9.0,2.76,0.3067,0.0127,Alpha
9,2025-03-14,924.0,3.0,8.6,2.8667,0.0032,Alpha
10,2025-03-15,1.347,13.0,3.7,0.2846,9.6511,Alpha
11,2025-03-15,818.0,41.0,4.15,0.1012,0.0501,Meta
12,2025-03-16,1.116,14.0,4.12,0.2943,12.5448,Alpha
13,2025-03-16,1910.0,92.0,11.71,0.1273,0.0482,Meta
14,2025-03-18,674.0,55.0,4.3,0.0782,0.0816,Meta
15,2025-03-19,1469.0,71.0,7.46,0.1051,0.0483,Meta
16,2025-03-20,1396.0,66.0,6.86,0.1039,0.0473,Meta
17,2025-03-26,333.0,24.0,1.61,0.0671,0.0721,Meta
18,2025-03-27,894.0,55.0,3.88,0.0705,0.0615,Meta
19,2025-03-28,1050.0,58.0,4.03,0.0695,0.0552,Meta
20,2025-03-31,288.0,3.0,0.6,0.2,0.0104,Alpha
21,2025-04-01,988.0,9.0,5.32,0.5911,0.0091,Alpha
22,2025-04-02,1.206,12.0,5.17,0.4308,9.9502,Alpha
23,2025-04-03,760.0,13.0,6.08,0.4677,0.0171,Alpha
24,2025-04-04,982.0,9.0,4.22,0.4689,0.0092,Alpha
25,2025-04-05,987.0,9.0,2.62,0.2911,0.0091,Alpha
26,2025-04-06,1.336,18.0,7.98,0.4433,13.4731,Alpha
27,2025-04-06,1653.0,97.0,7.68,0.0792,0.0587,Meta
28,2025-04-07,1.158,13.0,5.63,0.4331,11.2263,Alpha
29,2025-04-07,1729.0,71.0,7.87,0.1108,0.0411,Meta
30,2025-04-08,1575.0,71.0,6.76,0.0952,0.0451,Meta
31,2025-04-08,912.0,13.0,3.35,0.2577,0.0143,Alpha
32,2025-04-09,1666.0,71.0,7.29,0.1027,0.0426,Meta
33,2025-04-09,932.0,7.0,3.64,0.52,0.0075,Alpha
34,2025-04-10,1.061,16.0,11.32,0.7075,15.0801,Alpha
35,2025-04-11,1.394,11.0,4.49,0.4082,7.891,Alpha
36,2025-04-12,989.0,9.0,5.01,0.5567,0.0091,Alpha
37,2025-04-13,926.0,6.0,5.04,0.84,0.0065,Alpha
38,2025-07-13,489.0,12.0,3.41,0.2842,0.0245,Alpha
39,2025-07-14,388.0,6.0,6.81,1.135,0.0155,Alpha
40,2025-07-15,619.0,6.0,2.61,0.435,0.0097,Alpha
41,2025-07-16,1.236,10.0,7.03,0.703,8.0906,Alpha
42,2025-08-15,665.0,7.0,4.93,0.7043,0.0105,Alpha
43,2025-08-16,1.619,12.0,8.05,0.6708,7.412,Alpha
44,2025-08-16,731.0,10.0,2.63,0.263,0.0137,Meta
45,2025-08-17,3.468,16.0,18.19,1.1369,4.6136,Alpha
46,2025-08-18,3283.0,95.0,12.45,0.1311,0.0289,Meta
47,2025-08-19,3117.0,58.0,11.13,0.1919,0.0186,Meta
48,2025-08-19,826.0,10.0,6.24,0.624,0.0121,Alpha
49,2025-08-20,1.528,9.0,3.92,0.4356,5.8901,Alpha
50,2025-08-20,2805.0,83.0,11.87,0.143,0.0296,Meta
51,2025-08-21,1.318,21.0,19.66,0.9362,15.9332,Alpha
52,2025-08-21,2954.0,72.0,12.36,0.1717,0.0244,Meta
53,2025-08-22,2424.0,71.0,11.53,0.1624,0.0293,Meta
54,2025-08-23,2348.0,54.0,10.39,0.1924,0.023,Meta
55,2025-08-24,4371.0,93.0,16.38,0.1761,0.0213,Meta
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
