Datum,Impressionen,Klicks,Kosten,CPC_Manuell,CRT_Manuell,Provider
2024-11-22,305.0,9,5.0,0.5556,0.0295,Alpha
2024-11-22,480,23,2.0,0.087,0.0479,Meta
2024-11-23,663,42,4.61,0.1098,0.0633,Meta
2024-11-23,867.0,9,3.99,0.4433,0.0104,Alpha
2024-11-24,823,71,4.98,0.0701,0.0863,Meta
2024-11-24,902.0,14,7.67,0.5479,0.0155,Alpha
2024-12-20,1718,83,8.68,0.1046,0.0483,Meta
2024-12-21,1405,56,8.16,0.1457,0.0399,Meta
2025-03-13,708.0,9,2.76,0.3067,0.0127,Alpha
2025-03-14,924.0,3,8.6,2.8667,0.0032,Alpha
2025-03-15,1.347,13,3.7,0.2846,9.6511,Alpha
2025-03-15,818,41,4.15,0.1012,0.0501,Meta
2025-03-16,1.116,14,4.12,0.2943,12.5448,Alpha
2025-03-16,1910,92,11.71,0.1273,0.0482,Meta
2025-03-18,674,55,4.3,0.0782,0.0816,Meta
2025-03-19,1469,71,7.46,0.1051,0.0483,Meta
2025-03-20,1396,66,6.86,0.1039,0.0473,Meta
2025-03-26,333,24,1.61,0.0671,0.0721,Meta
2025-03-27,894,55,3.88,0.0705,0.0615,Meta
2025-03-28,1050,58,4.03,0.0695,0.0552,Meta
2025-03-31,288.0,3,0.6,0.2,0.0104,Alpha
2025-04-01,988.0,9,5.32,0.5911,0.0091,Alpha
2025-04-02,1.206,12,5.17,0.4308,9.9502,Alpha
2025-04-03,760.0,13,6.08,0.4677,0.0171,Alpha
2025-04-04,982.0,9,4.22,0.4689,0.0092,Alpha
2025-04-05,987.0,9,2.62,0.2911,0.0091,Alpha
2025-04-06,1.336,18,7.98,0.4433,13.4731,Alpha
2025-04-06,1653,97,7.68,0.0792,0.0587,Meta
2025-04-07,1.158,13,5.63,0.4331,11.2263,Alpha
2025-04-07,1729,71,7.87,0.1108,0.0411,Meta
2025-04-08,1575,71,6.76,0.0952,0.0451,Meta
2025-04-08,912.0,13,3.35,0.2577,0.0143,Alpha
2025-04-09,1666,71,7.29,0.1027,0.0426,Meta
2025-04-09,932.0,7,3.64,0.52,0.0075,Alpha
2025-04-10,1.061,16,11.32,0.7075,15.0801,Alpha
2025-04-11,1.394,11,4.49,0.4082,7.891,Alpha
2025-04-12,989.0,9,5.01,0.5567,0.0091,Alpha
2025-04-13,926.0,6,5.04,0.84,0.0065,Alpha
2025-07-13,489.0,12,3.41,0.2842,0.0245,Alpha
2025-07-14,388.0,6,6.81,1.135,0.0155,Alpha
2025-07-15,619.0,6,2.61,0.435,0.0097,Alpha
2025-07-16,1.236,10,7.03,0.703,8.0906,Alpha
2025-08-15,665.0,7,4.93,0.7043,0.0105,Alpha
2025-08-16,1.619,12,8.05,0.6708,7.412,Alpha
2025-08-16,731,10,2.63,0.263,0.0137,Meta
2025-08-17,3.468,16,18.19,1.1369,4.6136,Alpha
2025-08-18,3283,95,12.45,0.1311,0.0289,Meta
2025-08-19,3117,58,11.13,0.1919,0.0186,Meta
2025-08-19,826.0,10,6.24,0.624,0.0121,Alpha
2025-08-20,1.528,9,3.92,0.4356,5.8901,Alpha
2025-08-20,2805,83,11.87,0.143,0.0296,Meta
2025-08-21,1.318,21,19.66,0.9362,15.9332,Alpha
2025-08-21,2954,72,12.36,0.1717,0.0244,Meta
2025-08-22,2424,71,11.53,0.1624,0.0293,Meta
2025-08-23,2348,54,10.39,0.1924,0.023,Meta
2025-08-24,4371,93,16.38,0.1761,0.0213,Meta
